time,"P(A)","I(L1)","I(BS)","P(Q)"
0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00
1.500000e-14,6.215045e-04,1.926048e-10,1.913640e-10,6.174069e-04
3.000000e-14,1.247293e-03,3.866850e-10,3.809885e-10,1.239064e-03
4.500000e-14,1.878663e-03,5.830900e-10,5.675046e-10,1.866248e-03
6.000000e-14,2.516835e-03,7.827145e-10,7.496245e-10,2.500160e-03
7.500000e-14,3.163013e-03,9.864797e-10,9.262592e-10,3.141980e-03
9.000000e-14,3.818400e-03,1.195323e-09,1.096573e-09,3.792891e-03
1.050000e-13,4.484200e-03,1.410196e-09,1.260007e-09,4.454074e-03
1.200000e-13,5.161615e-03,1.632061e-09,1.416289e-09,5.126709e-03
1.350000e-13,5.851846e-03,1.861890e-09,1.565428e-09,5.811974e-03
1.500000e-13,6.556089e-03,2.100666e-09,1.707711e-09,6.511043e-03
1.650000e-13,7.275532e-03,2.349384e-09,1.843690e-09,7.225083e-03
1.800000e-13,8.011358e-03,2.609047e-09,1.974159e-09,7.955251e-03
1.950000e-13,8.764736e-03,2.880669e-09,2.100141e-09,8.702694e-03
2.100000e-13,9.536824e-03,3.165274e-09,2.222855e-09,9.468548e-03
2.250000e-13,1.032877e-02,3.463895e-09,2.343692e-09,1.025393e-02
2.400000e-13,1.114169e-02,3.777573e-09,2.464184e-09,1.105995e-02
2.550000e-13,1.197670e-02,4.107359e-09,2.585973e-09,1.188769e-02
2.700000e-13,1.283489e-02,4.454310e-09,2.710779e-09,1.273822e-02
2.850000e-13,1.371733e-02,4.819494e-09,2.840365e-09,1.361258e-02
3.000000e-13,1.462506e-02,5.203981e-09,2.976507e-09,1.451179e-02
3.150000e-13,1.555911e-02,5.608851e-09,3.120962e-09,1.543684e-02
3.300000e-13,1.652046e-02,6.035187e-09,3.275438e-09,1.638871e-02
3.450000e-13,1.751008e-02,6.484076e-09,3.441568e-09,1.736834e-02
3.600000e-13,1.852891e-02,6.956613e-09,3.620885e-09,1.837664e-02
3.750000e-13,1.957785e-02,7.453891e-09,3.814801e-09,1.941449e-02
3.900000e-13,2.065778e-02,7.977010e-09,4.024585e-09,2.048273e-02
4.050000e-13,2.176953e-02,8.527070e-09,4.251358e-09,2.158219e-02
4.200000e-13,2.291392e-02,9.105171e-09,4.496070e-09,2.271364e-02
4.350000e-13,2.409171e-02,9.712417e-09,4.759505e-09,2.387783e-02
4.500000e-13,2.530364e-02,1.034991e-08,5.042270e-09,2.507547e-02
4.650000e-13,2.655039e-02,1.101875e-08,5.344802e-09,2.630721e-02
4.800000e-13,2.783263e-02,1.172003e-08,5.667366e-09,2.757370e-02
