time,"P(Q1|XMUX)","P(Q2|XMUX)","P(QQ)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,2.952552e-04,2.940956e-04,2.403278e-04
2.000000e-14,5.935138e-04,5.911838e-04,4.818349e-04
3.000000e-14,8.966400e-04,8.931264e-04,7.249486e-04
4.000000e-14,1.206593e-03,1.201881e-03,9.700877e-04
5.000000e-14,1.525366e-03,1.519438e-03,1.217672e-03
6.000000e-14,1.854953e-03,1.847792e-03,1.468124e-03
7.000000e-14,2.197340e-03,2.188925e-03,1.721872e-03
8.000000e-14,2.554487e-03,2.544796e-03,1.979346e-03
9.000000e-14,2.928332e-03,2.917341e-03,2.240982e-03
1.000000e-13,3.320779e-03,3.308464e-03,2.507221e-03
1.100000e-13,3.733699e-03,3.720031e-03,2.778507e-03
1.200000e-13,4.168924e-03,4.153875e-03,3.055292e-03
1.300000e-13,4.628242e-03,4.611781e-03,3.338031e-03
1.400000e-13,5.113397e-03,5.095491e-03,3.627186e-03
1.500000e-13,5.626085e-03,5.606700e-03,3.923227e-03
1.600000e-13,6.167948e-03,6.147048e-03,4.226627e-03
1.700000e-13,6.740574e-03,6.718120e-03,4.537867e-03
1.800000e-13,7.345492e-03,7.321443e-03,4.857435e-03
1.900000e-13,7.984169e-03,7.958486e-03,5.185824e-03
2.000000e-13,8.658013e-03,8.630649e-03,5.523535e-03
2.100000e-13,9.368360e-03,9.339271e-03,5.871075e-03
2.200000e-13,1.011648e-02,1.008562e-02,6.228957e-03
2.300000e-13,1.090358e-02,1.087089e-02,6.597699e-03
2.400000e-13,1.173078e-02,1.169622e-02,6.977828e-03
2.500000e-13,1.259913e-02,1.256264e-02,7.369874e-03
2.600000e-13,1.350961e-02,1.347115e-02,7.774374e-03
2.700000e-13,1.446313e-02,1.442262e-02,8.191870e-03
2.800000e-13,1.546049e-02,1.541789e-02,8.622908e-03
2.900000e-13,1.650245e-02,1.645769e-02,9.068038e-03
3.000000e-13,1.758966e-02,1.754267e-02,9.527814e-03
3.100000e-13,1.872269e-02,1.867342e-02,1.000279e-02
3.200000e-13,1.990205e-02,1.985043e-02,1.049354e-02
3.300000e-13,2.112815e-02,2.107410e-02,1.100060e-02
3.400000e-13,2.240131e-02,2.234477e-02,1.152456e-02
3.500000e-13,2.372179e-02,2.366268e-02,1.206596e-02
3.600000e-13,2.508974e-02,2.502800e-02,1.262538e-02
3.700000e-13,2.650526e-02,2.644080e-02,1.320337e-02
3.800000e-13,2.796833e-02,2.790107e-02,1.380050e-02
3.900000e-13,2.947888e-02,2.940875e-02,1.441731e-02
4.000000e-13,3.103675e-02,3.096366e-02,1.505437e-02
4.100000e-13,3.264170e-02,3.256556e-02,1.571221e-02
4.200000e-13,3.429340e-02,3.421413e-02,1.639139e-02
4.300000e-13,3.599146e-02,3.590898e-02,1.709242e-02
4.400000e-13,3.773541e-02,3.764963e-02,1.781585e-02
4.500000e-13,3.952471e-02,3.943553e-02,1.856218e-02
4.600000e-13,4.135875e-02,4.126607e-02,1.933192e-02
4.700000e-13,4.323683e-02,4.314056e-02,2.012556e-02
4.800000e-13,4.515820e-02,4.505825e-02,2.094360e-02
4.900000e-13,4.712206e-02,4.701832e-02,2.178649e-02
5.000000e-13,4.912751e-02,4.901988e-02,2.265469e-02
5.100000e-13,5.117362e-02,5.106200e-02,2.354864e-02
5.200000e-13,5.325938e-02,5.314368e-02,2.446875e-02
5.300000e-13,5.538376e-02,5.526386e-02,2.541544e-02
5.400000e-13,5.754564e-02,5.742143e-02,2.638908e-02
5.500000e-13,5.974387e-02,5.961524e-02,2.739004e-02
5.600000e-13,6.197725e-02,6.184409e-02,2.841866e-02
5.700000e-13,6.424454e-02,6.410674e-02,2.947526e-02
5.800000e-13,6.654446e-02,6.640190e-02,3.056013e-02
5.900000e-13,6.887568e-02,6.872825e-02,3.167354e-02
6.000000e-13,7.123686e-02,7.108444e-02,3.281575e-02
6.100000e-13,7.362662e-02,7.346909e-02,3.398697e-02
6.200000e-13,7.604354e-02,7.588078e-02,3.518740e-02
6.300000e-13,7.848620e-02,7.831809e-02,3.641720e-02
6.400000e-13,8.095314e-02,8.077956e-02,3.767651e-02
6.500000e-13,8.344290e-02,8.326372e-02,3.896543e-02
6.600000e-13,8.595400e-02,8.576910e-02,4.028405e-02
6.700000e-13,8.848495e-02,8.829419e-02,4.163241e-02
6.800000e-13,9.103425e-02,9.083751e-02,4.301053e-02
6.900000e-13,9.360040e-02,9.339755e-02,4.441840e-02
7.000000e-13,9.618191e-02,9.597281e-02,4.585596e-02
7.100000e-13,9.877728e-02,9.856181e-02,4.732314e-02
7.200000e-13,1.013850e-01,1.011630e-01,4.881983e-02
