time,"P(D0)","P(D1)","P(S)","P(Q)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,4.134269e-04,4.136092e-04,4.141865e-04,2.244747e-06
2.000000e-14,8.285457e-04,8.289047e-04,8.300646e-04,7.474057e-06
3.000000e-14,1.245782e-03,1.246305e-03,1.248054e-03,1.592677e-05
4.000000e-14,1.665516e-03,1.666184e-03,1.668529e-03,2.767611e-05
5.000000e-14,2.088117e-03,2.088899e-03,2.091850e-03,4.274167e-05
6.000000e-14,2.513950e-03,2.514810e-03,2.518375e-03,6.112688e-05
7.000000e-14,2.943379e-03,2.944273e-03,2.948462e-03,8.283146e-05
8.000000e-14,3.376772e-03,3.377645e-03,3.382471e-03,1.078556e-04
9.000000e-14,3.814494e-03,3.815285e-03,3.820759e-03,1.362013e-04
1.000000e-13,4.256912e-03,4.257550e-03,4.263686e-03,1.678728e-04
1.100000e-13,4.704392e-03,4.704799e-03,4.711611e-03,2.028770e-04
1.200000e-13,5.157300e-03,5.157389e-03,5.164892e-03,2.412229e-04
1.300000e-13,5.616002e-03,5.615676e-03,5.623888e-03,2.829223e-04
1.400000e-13,6.080861e-03,6.080017e-03,6.088954e-03,3.279893e-04
1.500000e-13,6.552241e-03,6.550767e-03,6.560449e-03,3.764402e-04
1.600000e-13,7.030505e-03,7.028280e-03,7.038724e-03,4.282939e-04
1.700000e-13,7.516011e-03,7.512906e-03,7.524134e-03,4.835716e-04
1.800000e-13,8.009117e-03,8.004996e-03,8.017030e-03,5.422969e-04
1.900000e-13,8.510181e-03,8.504896e-03,8.517759e-03,6.044954e-04
2.000000e-13,9.019555e-03,9.012953e-03,9.026667e-03,6.701951e-04
2.100000e-13,9.537589e-03,9.529508e-03,9.544099e-03,7.394263e-04
2.200000e-13,1.006463e-02,1.005490e-02,1.007039e-02,8.122213e-04
2.300000e-13,1.060103e-02,1.058947e-02,1.060589e-02,8.886146e-04
2.400000e-13,1.114711e-02,1.113354e-02,1.115092e-02,9.686427e-04
2.500000e-13,1.170323e-02,1.168745e-02,1.170582e-02,1.052344e-03
2.600000e-13,1.226971e-02,1.225152e-02,1.227090e-02,1.139760e-03
2.700000e-13,1.284689e-02,1.282607e-02,1.284650e-02,1.230931e-03
2.800000e-13,1.343508e-02,1.341142e-02,1.343292e-02,1.325904e-03
2.900000e-13,1.403461e-02,1.400788e-02,1.403050e-02,1.424724e-03
3.000000e-13,1.464579e-02,1.461575e-02,1.463952e-02,1.527438e-03
3.100000e-13,1.526893e-02,1.523535e-02,1.526029e-02,1.634098e-03
3.200000e-13,1.590434e-02,1.586696e-02,1.589312e-02,1.744753e-03
3.300000e-13,1.655231e-02,1.651088e-02,1.653829e-02,1.859457e-03
3.400000e-13,1.721315e-02,1.716739e-02,1.719610e-02,1.978266e-03
3.500000e-13,1.788713e-02,1.783677e-02,1.786681e-02,2.101234e-03
3.600000e-13,1.857454e-02,1.851931e-02,1.855072e-02,2.228419e-03
3.700000e-13,1.927565e-02,1.921525e-02,1.924808e-02,2.359880e-03
3.800000e-13,1.999074e-02,1.992488e-02,1.995916e-02,2.495678e-03
3.900000e-13,2.072006e-02,2.064843e-02,2.068421e-02,2.635874e-03
4.000000e-13,2.146388e-02,2.138617e-02,2.142349e-02,2.780531e-03
4.100000e-13,2.222243e-02,2.213833e-02,2.217723e-02,2.929712e-03
4.200000e-13,2.299597e-02,2.290514e-02,2.294568e-02,3.083483e-03
4.300000e-13,2.378472e-02,2.368683e-02,2.372905e-02,3.241909e-03
4.400000e-13,2.458892e-02,2.448363e-02,2.452758e-02,3.405058e-03
4.500000e-13,2.540878e-02,2.529575e-02,2.534147e-02,3.572997e-03
4.600000e-13,2.624452e-02,2.612338e-02,2.617093e-02,3.745794e-03
4.700000e-13,2.709633e-02,2.696673e-02,2.701616e-02,3.923520e-03
4.800000e-13,2.796442e-02,2.782599e-02,2.787734e-02,4.106243e-03
4.900000e-13,2.884898e-02,2.870134e-02,2.875467e-02,4.294036e-03
5.000000e-13,2.975018e-02,2.959295e-02,2.964831e-02,4.486969e-03
5.100000e-13,3.066820e-02,3.050099e-02,3.055844e-02,4.685113e-03
5.200000e-13,3.160319e-02,3.142561e-02,3.148520e-02,4.888541e-03
5.300000e-13,3.255533e-02,3.236697e-02,3.242875e-02,5.097324e-03
5.400000e-13,3.352474e-02,3.332520e-02,3.338923e-02,5.311537e-03
5.500000e-13,3.451158e-02,3.430044e-02,3.436678e-02,5.531252e-03
5.600000e-13,3.551597e-02,3.529280e-02,3.536151e-02,5.756541e-03
5.700000e-13,3.653803e-02,3.630241e-02,3.637354e-02,5.987478e-03
5.800000e-13,3.757788e-02,3.732937e-02,3.740299e-02,6.224136e-03
5.900000e-13,3.863561e-02,3.837378e-02,3.844994e-02,6.466588e-03
6.000000e-13,3.971133e-02,3.943573e-02,3.951448e-02,6.714907e-03
6.100000e-13,4.080511e-02,4.051529e-02,4.059671e-02,6.969165e-03
6.200000e-13,4.191704e-02,4.161254e-02,4.169668e-02,7.229435e-03
6.300000e-13,4.304718e-02,4.272753e-02,4.281447e-02,7.495789e-03
6.400000e-13,4.419560e-02,4.386033e-02,4.395012e-02,7.768299e-03
6.500000e-13,4.536234e-02,4.501098e-02,4.510368e-02,8.047036e-03
6.600000e-13,4.654744e-02,4.617951e-02,4.627518e-02,8.332070e-03
6.700000e-13,4.775093e-02,4.736595e-02,4.746466e-02,8.623472e-03
6.800000e-13,4.897284e-02,4.857031e-02,4.867213e-02,8.921311e-03
6.900000e-13,5.021319e-02,4.979261e-02,4.989760e-02,9.225656e-03
7.000000e-13,5.147197e-02,5.103285e-02,5.114108e-02,9.536574e-03
7.100000e-13,5.274918e-02,5.229101e-02,5.240254e-02,9.854133e-03
7.200000e-13,5.404481e-02,5.356709e-02,5.368198e-02,1.017840e-02
7.300000e-13,5.535884e-02,5.486104e-02,5.497937e-02,1.050944e-02
7.400000e-13,5.669124e-02,5.617284e-02,5.629467e-02,1.084731e-02
7.500000e-13,5.804196e-02,5.750244e-02,5.762784e-02,1.119208e-02
7.600000e-13,5.941096e-02,5.884979e-02,5.897883e-02,1.154382e-02
7.700000e-13,6.079818e-02,6.021483e-02,6.034757e-02,1.190257e-02
7.800000e-13,6.220355e-02,6.159749e-02,6.173400e-02,1.226841e-02
7.900000e-13,6.362701e-02,6.299769e-02,6.313804e-02,1.264139e-02
8.000000e-13,6.506846e-02,6.441535e-02,6.455961e-02,1.302156e-02
8.100000e-13,6.652782e-02,6.585036e-02,6.599859e-02,1.340899e-02
8.200000e-13,6.800498e-02,6.730262e-02,6.745490e-02,1.380372e-02
8.300000e-13,6.949984e-02,6.877203e-02,6.892843e-02,1.420581e-02
8.400000e-13,7.101228e-02,7.025847e-02,7.041905e-02,1.461531e-02
8.500000e-13,7.254217e-02,7.176180e-02,7.192663e-02,1.503227e-02
8.600000e-13,7.408939e-02,7.328189e-02,7.345104e-02,1.545674e-02
8.700000e-13,7.565379e-02,7.481861e-02,7.499214e-02,1.588875e-02
8.800000e-13,7.723523e-02,7.637178e-02,7.654978e-02,1.632837e-02
8.900000e-13,7.883354e-02,7.794127e-02,7.812379e-02,1.677563e-02
9.000000e-13,8.044856e-02,7.952691e-02,7.971402e-02,1.723056e-02
9.100000e-13,8.208013e-02,8.112851e-02,8.132028e-02,1.769322e-02
9.200000e-13,8.372806e-02,8.274591e-02,8.294241e-02,1.816364e-02
9.300000e-13,8.539217e-02,8.437891e-02,8.458021e-02,1.864184e-02
9.400000e-13,8.707226e-02,8.602732e-02,8.623348e-02,1.912788e-02
9.500000e-13,8.876814e-02,8.769095e-02,8.790204e-02,1.962177e-02
9.600000e-13,9.047960e-02,8.936958e-02,8.958567e-02,2.012355e-02
9.700000e-13,9.220642e-02,9.106299e-02,9.128415e-02,2.063325e-02
9.800000e-13,9.394839e-02,9.277098e-02,9.299727e-02,2.115089e-02
9.900000e-13,9.570528e-02,9.449331e-02,9.472480e-02,2.167649e-02
1.000000e-12,9.747686e-02,9.622976e-02,9.646651e-02,2.221008e-02
1.010000e-12,9.926288e-02,9.798008e-02,9.822216e-02,2.275168e-02
1.020000e-12,1.010631e-01,9.974404e-02,9.999151e-02,2.330130e-02
1.030000e-12,1.028773e-01,1.015214e-01,1.017743e-01,2.385896e-02
1.040000e-12,1.047052e-01,1.033119e-01,1.035703e-01,2.442467e-02
1.050000e-12,1.065465e-01,1.051152e-01,1.053792e-01,2.499845e-02
1.060000e-12,1.084010e-01,1.069312e-01,1.072008e-01,2.558030e-02
1.070000e-12,1.102684e-01,1.087594e-01,1.090348e-01,2.617024e-02
1.080000e-12,1.121484e-01,1.105998e-01,1.108810e-01,2.676826e-02
