time,"P(SOUT)","P(A0)","P(B0)","P(CIN)","P(COUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.000000e-14,6.269753e-05,2.068513e-03,2.068513e-03,2.068516e-03,1.135721e-03
1.000000e-13,2.074204e-04,4.224989e-03,4.224989e-03,4.224996e-03,2.334196e-03
1.500000e-13,4.404942e-04,6.512231e-03,6.512231e-03,6.512242e-03,3.631802e-03
2.000000e-13,7.655791e-04,8.973617e-03,8.973617e-03,8.973634e-03,5.066069e-03
2.500000e-13,1.187060e-03,1.165204e-02,1.165204e-02,1.165207e-02,6.674262e-03
3.000000e-13,1.711014e-03,1.458891e-02,1.458891e-02,1.458894e-02,8.492421e-03
3.500000e-13,2.345316e-03,1.782327e-02,1.782327e-02,1.782331e-02,1.055465e-02
4.000000e-13,3.099452e-03,2.139107e-02,2.139107e-02,2.139113e-02,1.289255e-02
4.500000e-13,3.984203e-03,2.532454e-02,2.532454e-02,2.532462e-02,1.553474e-02
5.000000e-13,5.011304e-03,2.965165e-02,2.965165e-02,2.965176e-02,1.850648e-02
5.500000e-13,6.193084e-03,3.439568e-02,3.439568e-02,3.439581e-02,2.182927e-02
6.000000e-13,7.542116e-03,3.957482e-02,3.957482e-02,3.957499e-02,2.552059e-02
6.500000e-13,9.070871e-03,4.520197e-02,4.520197e-02,4.520218e-02,2.959366e-02
7.000000e-13,1.079140e-02,5.128457e-02,5.128457e-02,5.128483e-02,3.405728e-02
7.500000e-13,1.271502e-02,5.782451e-02,5.782451e-02,5.782483e-02,3.891568e-02
8.000000e-13,1.485205e-02,6.481821e-02,6.481821e-02,6.481859e-02,4.416850e-02
8.500000e-13,1.721157e-02,7.225670e-02,7.225670e-02,7.225717e-02,4.981080e-02
9.000000e-13,1.980119e-02,8.012590e-02,8.012590e-02,8.012646e-02,5.583310e-02
9.500000e-13,2.262688e-02,8.840683e-02,8.840683e-02,8.840751e-02,6.222153e-02
1.000000e-12,2.569284e-02,9.707607e-02,9.707607e-02,9.707687e-02,6.895804e-02
1.050000e-12,2.900137e-02,1.061061e-01,1.061061e-01,1.061071e-01,7.602058e-02
1.100000e-12,3.255282e-02,1.154659e-01,1.154659e-01,1.154671e-01,8.338347e-02
1.150000e-12,3.634555e-02,1.251215e-01,1.251215e-01,1.251228e-01,9.101771e-02
1.200000e-12,4.037594e-02,1.350363e-01,1.350363e-01,1.350378e-01,9.889140e-02
1.250000e-12,4.463842e-02,1.451721e-01,1.451721e-01,1.451739e-01,1.069702e-01
1.300000e-12,4.912555e-02,1.554894e-01,1.554894e-01,1.554914e-01,1.152176e-01
1.350000e-12,5.382812e-02,1.659480e-01,1.659480e-01,1.659503e-01,1.235959e-01
1.400000e-12,5.873529e-02,1.765081e-01,1.765081e-01,1.765107e-01,1.320663e-01
1.450000e-12,6.383475e-02,1.871301e-01,1.871301e-01,1.871331e-01,1.405896e-01
1.500000e-12,6.911289e-02,1.977760e-01,1.977760e-01,1.977794e-01,1.491268e-01
1.550000e-12,7.455501e-02,2.084094e-01,2.084094e-01,2.084132e-01,1.576398e-01
1.600000e-12,8.014553e-02,2.189962e-01,2.189962e-01,2.190005e-01,1.660915e-01
1.650000e-12,8.586823e-02,2.295051e-01,2.295051e-01,2.295099e-01,1.744469e-01
1.700000e-12,9.170648e-02,2.399077e-01,2.399077e-01,2.399131e-01,1.826733e-01
1.750000e-12,9.764348e-02,2.501794e-01,2.501794e-01,2.501853e-01,1.907410e-01
1.800000e-12,1.036625e-01,2.602990e-01,2.602990e-01,2.603056e-01,1.986232e-01
1.850000e-12,1.097471e-01,2.702494e-01,2.702494e-01,2.702567e-01,2.062973e-01
1.900000e-12,1.158815e-01,2.800176e-01,2.800176e-01,2.800256e-01,2.137444e-01
