time,"P(Q)","P(A)","P(B)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.500000e-14,3.338948e-04,3.123551e-04,3.123551e-04
3.000000e-14,6.704553e-04,6.274815e-04,6.274815e-04
4.500000e-14,1.010751e-03,9.466027e-04,9.466027e-04
6.000000e-14,1.355847e-03,1.270954e-03,1.270954e-03
7.500000e-14,1.706812e-03,1.601780e-03,1.601780e-03
9.000000e-14,2.064719e-03,1.940329e-03,1.940329e-03
1.050000e-13,2.430643e-03,2.287846e-03,2.287846e-03
1.200000e-13,2.805655e-03,2.645571e-03,2.645571e-03
1.350000e-13,3.190823e-03,3.014734e-03,3.014734e-03
1.500000e-13,3.587210e-03,3.396554e-03,3.396554e-03
1.650000e-13,3.995872e-03,3.792236e-03,3.792236e-03
1.800000e-13,4.417856e-03,4.202971e-03,4.202971e-03
1.950000e-13,4.854199e-03,4.629930e-03,4.629930e-03
2.100000e-13,5.305927e-03,5.074267e-03,5.074267e-03
2.250000e-13,5.774053e-03,5.537112e-03,5.537112e-03
2.400000e-13,6.259576e-03,6.019575e-03,6.019575e-03
2.550000e-13,6.763480e-03,6.522740e-03,6.522740e-03
2.700000e-13,7.286731e-03,7.047667e-03,7.047667e-03
2.850000e-13,7.830277e-03,7.595387e-03,7.595387e-03
3.000000e-13,8.395048e-03,8.166903e-03,8.166903e-03
3.150000e-13,8.981951e-03,8.763191e-03,8.763191e-03
3.300000e-13,9.591873e-03,9.385192e-03,9.385192e-03
3.450000e-13,1.022568e-02,1.003382e-02,1.003382e-02
3.600000e-13,1.088421e-02,1.070995e-02,1.070995e-02
3.750000e-13,1.156827e-02,1.141444e-02,1.141444e-02
3.900000e-13,1.227866e-02,1.214809e-02,1.214809e-02
4.050000e-13,1.301614e-02,1.291167e-02,1.291167e-02
4.200000e-13,1.378143e-02,1.370595e-02,1.370595e-02
4.350000e-13,1.457525e-02,1.453161e-02,1.453161e-02
4.500000e-13,1.539826e-02,1.538933e-02,1.538933e-02
4.650000e-13,1.625112e-02,1.627975e-02,1.627975e-02
4.800000e-13,1.713443e-02,1.720346e-02,1.720346e-02
4.950000e-13,1.804877e-02,1.816103e-02,1.816103e-02
5.100000e-13,1.899468e-02,1.915296e-02,1.915296e-02
5.250000e-13,1.997269e-02,2.017977e-02,2.017977e-02
5.400000e-13,2.098327e-02,2.124188e-02,2.124188e-02
5.550000e-13,2.202687e-02,2.233971e-02,2.233971e-02
5.700000e-13,2.310389e-02,2.347364e-02,2.347364e-02
5.850000e-13,2.421471e-02,2.464401e-02,2.464401e-02
6.000000e-13,2.535966e-02,2.585111e-02,2.585111e-02
6.150000e-13,2.653904e-02,2.709520e-02,2.709520e-02
6.300000e-13,2.775313e-02,2.837652e-02,2.837652e-02
6.450000e-13,2.900214e-02,2.969525e-02,2.969525e-02
6.600000e-13,3.028626e-02,3.105155e-02,3.105155e-02
6.750000e-13,3.160565e-02,3.244553e-02,3.244553e-02
6.900000e-13,3.296042e-02,3.387727e-02,3.387727e-02
7.050000e-13,3.435065e-02,3.534683e-02,3.534683e-02
7.200000e-13,3.577637e-02,3.685420e-02,3.685420e-02
7.350000e-13,3.723759e-02,3.839936e-02,3.839936e-02
7.500000e-13,3.873427e-02,3.998226e-02,3.998226e-02
7.650000e-13,4.026633e-02,4.160279e-02,4.160279e-02
7.800000e-13,4.183366e-02,4.326084e-02,4.326084e-02
7.950000e-13,4.343612e-02,4.495623e-02,4.495623e-02
8.100000e-13,4.507351e-02,4.668877e-02,4.668877e-02
8.250000e-13,4.674561e-02,4.845822e-02,4.845822e-02
8.400000e-13,4.845217e-02,5.026433e-02,5.026433e-02
8.550000e-13,5.019288e-02,5.210679e-02,5.210679e-02
8.700000e-13,5.196741e-02,5.398528e-02,5.398528e-02
8.850000e-13,5.377540e-02,5.589944e-02,5.589944e-02
9.000000e-13,5.561644e-02,5.784887e-02,5.784887e-02
9.150000e-13,5.749010e-02,5.983315e-02,5.983315e-02
9.300000e-13,5.939590e-02,6.185182e-02,6.185182e-02
9.450000e-13,6.133335e-02,6.390439e-02,6.390439e-02
9.600000e-13,6.330189e-02,6.599035e-02,6.599035e-02
9.750000e-13,6.530098e-02,6.810915e-02,6.810915e-02
9.900000e-13,6.733000e-02,7.026021e-02,7.026021e-02
1.005000e-12,6.938833e-02,7.244293e-02,7.244293e-02
1.020000e-12,7.147531e-02,7.465666e-02,7.465666e-02
1.035000e-12,7.359025e-02,7.690075e-02,7.690075e-02
1.050000e-12,7.573243e-02,7.917450e-02,7.917450e-02
1.065000e-12,7.790112e-02,8.147720e-02,8.147720e-02
1.080000e-12,8.009554e-02,8.380809e-02,8.380809e-02
1.095000e-12,8.231489e-02,8.616640e-02,8.616640e-02
1.110000e-12,8.455837e-02,8.855134e-02,8.855134e-02
