time,"P(A)","P(B)","P(C)","P(Q)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-14,1.062557e-03,6.578875e-04,6.578875e-04,1.014691e-03
5.000000e-14,2.140388e-03,1.353387e-03,1.353387e-03,2.044649e-03
7.500000e-14,3.239215e-03,2.112083e-03,2.112083e-03,3.095790e-03
1.000000e-13,4.364677e-03,2.960504e-03,2.960504e-03,4.173971e-03
1.250000e-13,5.522408e-03,3.924788e-03,3.924788e-03,5.285060e-03
1.500000e-13,6.718036e-03,5.029906e-03,5.029906e-03,6.434920e-03
1.750000e-13,7.957157e-03,6.299181e-03,6.299181e-03,7.629372e-03
2.000000e-13,9.245302e-03,7.753937e-03,7.753937e-03,8.874169e-03
2.250000e-13,1.058791e-02,9.413230e-03,9.413230e-03,1.017496e-02
2.500000e-13,1.199032e-02,1.129364e-02,1.129364e-02,1.153728e-02
2.750000e-13,1.345770e-02,1.340909e-02,1.340909e-02,1.296648e-02
3.000000e-13,1.499509e-02,1.577077e-02,1.577077e-02,1.446776e-02
3.250000e-13,1.660732e-02,1.838701e-02,1.838701e-02,1.604610e-02
3.500000e-13,1.829903e-02,2.126326e-02,2.126326e-02,1.770626e-02
3.750000e-13,2.007463e-02,2.440212e-02,2.440212e-02,1.945275e-02
4.000000e-13,2.193828e-02,2.780336e-02,2.780336e-02,2.128980e-02
4.250000e-13,2.389388e-02,3.146401e-02,3.146401e-02,2.322138e-02
4.500000e-13,2.594506e-02,3.537844e-02,3.537844e-02,2.525114e-02
4.750000e-13,2.809514e-02,3.953852e-02,3.953852e-02,2.738242e-02
5.000000e-13,3.034717e-02,4.393379e-02,4.393379e-02,2.961822e-02
5.250000e-13,3.270385e-02,4.855161e-02,4.855161e-02,3.196121e-02
5.500000e-13,3.516755e-02,5.337739e-02,5.337739e-02,3.441370e-02
5.750000e-13,3.774035e-02,5.839480e-02,5.839480e-02,3.697766e-02
6.000000e-13,4.042393e-02,6.358598e-02,6.358598e-02,3.965466e-02
6.250000e-13,4.321967e-02,6.893182e-02,6.893182e-02,4.244593e-02
6.500000e-13,4.612856e-02,7.441220e-02,7.441220e-02,4.535231e-02
6.750000e-13,4.915127e-02,8.000623e-02,8.000623e-02,4.837429e-02
7.000000e-13,5.228809e-02,8.569256e-02,8.569256e-02,5.151195e-02
7.250000e-13,5.553896e-02,9.144962e-02,9.144962e-02,5.476502e-02
7.500000e-13,5.890348e-02,9.725590e-02,9.725590e-02,5.813287e-02
7.750000e-13,6.238089e-02,1.030902e-01,1.030902e-01,6.161449e-02
8.000000e-13,6.597008e-02,1.089321e-01,1.089321e-01,6.520854e-02
8.250000e-13,6.966963e-02,1.147618e-01,1.147618e-01,6.891330e-02
8.500000e-13,7.347776e-02,1.205607e-01,1.205607e-01,7.272675e-02
8.750000e-13,7.739238e-02,1.263119e-01,1.263119e-01,7.664653e-02
9.000000e-13,8.141110e-02,1.319997e-01,1.319997e-01,8.066995e-02
9.250000e-13,8.553122e-02,1.376105e-01,1.376105e-01,8.479405e-02
9.500000e-13,8.974975e-02,1.431326e-01,1.431326e-01,8.901557e-02
9.750000e-13,9.406344e-02,1.485565e-01,1.485565e-01,9.333099e-02
1.000000e-12,9.846878e-02,1.538750e-01,1.538750e-01,9.773652e-02
1.025000e-12,1.029620e-01,1.590834e-01,1.590834e-01,1.022282e-01
1.050000e-12,1.075392e-01,1.641792e-01,1.641792e-01,1.068017e-01
1.075000e-12,1.121960e-01,1.691628e-01,1.691628e-01,1.114527e-01
