time,"P(A)","P(B)","P(Q)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.500000e-14,4.229904e-04,4.229904e-04,3.029583e-04
3.000000e-14,8.550171e-04,8.550171e-04,6.092730e-04
4.500000e-14,1.302025e-03,1.302025e-03,9.206331e-04
6.000000e-14,1.770272e-03,1.770272e-03,1.238791e-03
7.500000e-14,2.266086e-03,2.266086e-03,1.565547e-03
9.000000e-14,2.795753e-03,2.795753e-03,1.902743e-03
1.050000e-13,3.365442e-03,3.365442e-03,2.252257e-03
1.200000e-13,3.981170e-03,3.981170e-03,2.616008e-03
1.350000e-13,4.648764e-03,4.648764e-03,2.995953e-03
1.500000e-13,5.373841e-03,5.373841e-03,3.394097e-03
1.650000e-13,6.161779e-03,6.161779e-03,3.812485e-03
1.800000e-13,7.017697e-03,7.017697e-03,4.253209e-03
1.950000e-13,7.946436e-03,7.946436e-03,4.718404e-03
2.100000e-13,8.952535e-03,8.952535e-03,5.210251e-03
2.250000e-13,1.004022e-02,1.004022e-02,5.730967e-03
2.400000e-13,1.121338e-02,1.121338e-02,6.282808e-03
2.550000e-13,1.247557e-02,1.247557e-02,6.868058e-03
2.700000e-13,1.382998e-02,1.382998e-02,7.489029e-03
2.850000e-13,1.527942e-02,1.527942e-02,8.148050e-03
3.000000e-13,1.682635e-02,1.682635e-02,8.847458e-03
3.150000e-13,1.847282e-02,1.847282e-02,9.589592e-03
3.300000e-13,2.022052e-02,2.022052e-02,1.037678e-02
3.450000e-13,2.207073e-02,2.207073e-02,1.121132e-02
3.600000e-13,2.402434e-02,2.402434e-02,1.209550e-02
3.750000e-13,2.608186e-02,2.608186e-02,1.303154e-02
3.900000e-13,2.824340e-02,2.824340e-02,1.402161e-02
4.050000e-13,3.050872e-02,3.050872e-02,1.506781e-02
4.200000e-13,3.287715e-02,3.287715e-02,1.617214e-02
4.350000e-13,3.534771e-02,3.534771e-02,1.733653e-02
4.500000e-13,3.791903e-02,3.791903e-02,1.856278e-02
4.650000e-13,4.058939e-02,4.058939e-02,1.985255e-02
4.800000e-13,4.335675e-02,4.335675e-02,2.120738e-02
4.950000e-13,4.621875e-02,4.621875e-02,2.262867e-02
5.100000e-13,4.917273e-02,4.917273e-02,2.411762e-02
5.250000e-13,5.221572e-02,5.221572e-02,2.567528e-02
5.400000e-13,5.534452e-02,5.534452e-02,2.730251e-02
5.550000e-13,5.855564e-02,5.855564e-02,2.899998e-02
5.700000e-13,6.184538e-02,6.184538e-02,3.076814e-02
5.850000e-13,6.520982e-02,6.520982e-02,3.260726e-02
6.000000e-13,6.864486e-02,6.864486e-02,3.451736e-02
6.150000e-13,7.214623e-02,7.214623e-02,3.649827e-02
6.300000e-13,7.570950e-02,7.570950e-02,3.854958e-02
6.450000e-13,7.933013e-02,7.933013e-02,4.067067e-02
6.600000e-13,8.300347e-02,8.300347e-02,4.286069e-02
6.750000e-13,8.672479e-02,8.672479e-02,4.511858e-02
6.900000e-13,9.048931e-02,9.048931e-02,4.744306e-02
7.050000e-13,9.429221e-02,9.429221e-02,4.983264e-02
7.200000e-13,9.812864e-02,9.812864e-02,5.228563e-02
7.350000e-13,1.019938e-01,1.019938e-01,5.480014e-02
7.500000e-13,1.058828e-01,1.058828e-01,5.737412e-02
7.650000e-13,1.097910e-01,1.097910e-01,6.000532e-02
7.800000e-13,1.137137e-01,1.137137e-01,6.269136e-02
7.950000e-13,1.176462e-01,1.176462e-01,6.542969e-02
8.100000e-13,1.215841e-01,1.215841e-01,6.821767e-02
8.250000e-13,1.255231e-01,1.255231e-01,7.105253e-02
8.400000e-13,1.294588e-01,1.294588e-01,7.393140e-02
8.550000e-13,1.333872e-01,1.333872e-01,7.685135e-02
8.700000e-13,1.373045e-01,1.373045e-01,7.980940e-02
8.850000e-13,1.412068e-01,1.412068e-01,8.280252e-02
9.000000e-13,1.450907e-01,1.450907e-01,8.582769e-02
9.150000e-13,1.489528e-01,1.489528e-01,8.888187e-02
9.300000e-13,1.527901e-01,1.527901e-01,9.196206e-02
9.450000e-13,1.565997e-01,1.565997e-01,9.506530e-02
9.600000e-13,1.603790e-01,1.603790e-01,9.818869e-02
9.750000e-13,1.641255e-01,1.641255e-01,1.013294e-01
9.900000e-13,1.678371e-01,1.678371e-01,1.044848e-01
1.005000e-12,1.715119e-01,1.715119e-01,1.076522e-01
1.020000e-12,1.751484e-01,1.751484e-01,1.108292e-01
1.035000e-12,1.787451e-01,1.787451e-01,1.140134e-01
1.050000e-12,1.823008e-01,1.823008e-01,1.172027e-01
1.065000e-12,1.858149e-01,1.858149e-01,1.203951e-01
1.080000e-12,1.892866e-01,1.892866e-01,1.235888e-01
1.095000e-12,1.927156e-01,1.927156e-01,1.267822e-01
1.110000e-12,1.961019e-01,1.961019e-01,1.299738e-01
1.125000e-12,1.994457e-01,1.994457e-01,1.331624e-01
1.140000e-12,2.027472e-01,2.027472e-01,1.363471e-01
1.155000e-12,2.060074e-01,2.060074e-01,1.395269e-01
1.170000e-12,2.092269e-01,2.092269e-01,1.427013e-01
1.185000e-12,2.124070e-01,2.124070e-01,1.458699e-01
1.200000e-12,2.155490e-01,2.155490e-01,1.490324e-01
1.215000e-12,2.186544e-01,2.186544e-01,1.521888e-01
1.230000e-12,2.217251e-01,2.217251e-01,1.553393e-01
1.245000e-12,2.247630e-01,2.247630e-01,1.584841e-01
1.260000e-12,2.277702e-01,2.277702e-01,1.616239e-01
1.275000e-12,2.307491e-01,2.307491e-01,1.647592e-01
1.290000e-12,2.337020e-01,2.337020e-01,1.678907e-01
1.305000e-12,2.366317e-01,2.366317e-01,1.710195e-01
1.320000e-12,2.395408e-01,2.395408e-01,1.741464e-01
1.335000e-12,2.424323e-01,2.424323e-01,1.772727e-01
1.350000e-12,2.453090e-01,2.453090e-01,1.803993e-01
1.365000e-12,2.481741e-01,2.481741e-01,1.835277e-01
1.380000e-12,2.510307e-01,2.510307e-01,1.866589e-01
1.395000e-12,2.538820e-01,2.538820e-01,1.897944e-01
1.410000e-12,2.567312e-01,2.567312e-01,1.929353e-01
1.425000e-12,2.595817e-01,2.595817e-01,1.960829e-01
1.440000e-12,2.624367e-01,2.624367e-01,1.992385e-01
1.455000e-12,2.652996e-01,2.652996e-01,2.024032e-01
1.470000e-12,2.681735e-01,2.681735e-01,2.055782e-01
1.485000e-12,2.710619e-01,2.710619e-01,2.087643e-01
1.500000e-12,2.739678e-01,2.739678e-01,2.119627e-01
1.515000e-12,2.768945e-01,2.768945e-01,2.151741e-01
1.530000e-12,2.798450e-01,2.798450e-01,2.183992e-01
1.545000e-12,2.828224e-01,2.828224e-01,2.216385e-01
1.560000e-12,2.858295e-01,2.858295e-01,2.248925e-01
1.575000e-12,2.888691e-01,2.888691e-01,2.281615e-01
1.590000e-12,2.919438e-01,2.919438e-01,2.314456e-01
1.605000e-12,2.950563e-01,2.950563e-01,2.347447e-01
1.620000e-12,2.982087e-01,2.982087e-01,2.380587e-01
1.635000e-12,3.014033e-01,3.014033e-01,2.413872e-01
1.650000e-12,3.046421e-01,3.046421e-01,2.447296e-01
1.665000e-12,3.079269e-01,3.079269e-01,2.480853e-01
1.680000e-12,3.112593e-01,3.112593e-01,2.514534e-01
1.695000e-12,3.146407e-01,3.146407e-01,2.548330e-01
1.710000e-12,3.180723e-01,3.180723e-01,2.582229e-01
