time,"P(B)","P(Q)"
0.000000e+00,0.000000e+00,0.000000e+00
1.500000e-14,5.964018e-04,6.063179e-04
3.000000e-14,1.197172e-03,1.217130e-03
4.500000e-14,1.803628e-03,1.833809e-03
6.000000e-14,2.417007e-03,2.457648e-03
7.500000e-14,3.038530e-03,3.089924e-03
9.000000e-14,3.669416e-03,3.731914e-03
1.050000e-13,4.310884e-03,4.384895e-03
1.200000e-13,4.964154e-03,5.050144e-03
1.350000e-13,5.630439e-03,5.728935e-03
1.500000e-13,6.310949e-03,6.422538e-03
1.650000e-13,7.006886e-03,7.132213e-03
1.800000e-13,7.719442e-03,7.859214e-03
1.950000e-13,8.449793e-03,8.604779e-03
2.100000e-13,9.199106e-03,9.370136e-03
2.250000e-13,9.968526e-03,1.015649e-02
2.400000e-13,1.075918e-02,1.096505e-02
2.550000e-13,1.157218e-02,1.179696e-02
2.700000e-13,1.240861e-02,1.265339e-02
2.850000e-13,1.326953e-02,1.353546e-02
3.000000e-13,1.415597e-02,1.444426e-02
3.150000e-13,1.506894e-02,1.538087e-02
3.300000e-13,1.600941e-02,1.634633e-02
3.450000e-13,1.697832e-02,1.734165e-02
3.600000e-13,1.797659e-02,1.836781e-02
3.750000e-13,1.900509e-02,1.942574e-02
3.900000e-13,2.006466e-02,2.051637e-02
4.050000e-13,2.115610e-02,2.164054e-02
4.200000e-13,2.228017e-02,2.279911e-02
4.350000e-13,2.343760e-02,2.399285e-02
4.500000e-13,2.462908e-02,2.522253e-02
4.650000e-13,2.585523e-02,2.648884e-02
4.800000e-13,2.711666e-02,2.779245e-02
4.950000e-13,2.841392e-02,2.913399e-02
5.100000e-13,2.974753e-02,3.051402e-02
5.250000e-13,3.111794e-02,3.193309e-02
5.400000e-13,3.252557e-02,3.339167e-02
5.550000e-13,3.397081e-02,3.489021e-02
5.700000e-13,3.545397e-02,3.642909e-02
5.850000e-13,3.697533e-02,3.800866e-02
6.000000e-13,3.853514e-02,3.962921e-02
6.150000e-13,4.013357e-02,4.129099e-02
6.300000e-13,4.177076e-02,4.299420e-02
6.450000e-13,4.344681e-02,4.473898e-02
6.600000e-13,4.516176e-02,4.652543e-02
6.750000e-13,4.691561e-02,4.835361e-02
6.900000e-13,4.870832e-02,5.022352e-02
7.050000e-13,5.053978e-02,5.213512e-02
7.200000e-13,5.240986e-02,5.408831e-02
7.350000e-13,5.431837e-02,5.608294e-02
7.500000e-13,5.626509e-02,5.811885e-02
7.650000e-13,5.824974e-02,6.019578e-02
7.800000e-13,6.027200e-02,6.231345e-02
7.950000e-13,6.233152e-02,6.447155e-02
8.100000e-13,6.442790e-02,6.666970e-02
8.250000e-13,6.656070e-02,6.890748e-02
8.400000e-13,6.872943e-02,7.118445e-02
8.550000e-13,7.093358e-02,7.350008e-02
8.700000e-13,7.317260e-02,7.585386e-02
8.850000e-13,7.544588e-02,7.824518e-02
9.000000e-13,7.775281e-02,8.067344e-02
9.150000e-13,8.009271e-02,8.313798e-02
9.300000e-13,8.246490e-02,8.563808e-02
9.450000e-13,8.486866e-02,8.817304e-02
9.600000e-13,8.730322e-02,9.074207e-02
9.750000e-13,8.976780e-02,9.334439e-02
9.900000e-13,9.226159e-02,9.597915e-02
1.005000e-12,9.478376e-02,9.864551e-02
1.020000e-12,9.733344e-02,1.013426e-01
1.035000e-12,9.990974e-02,1.040694e-01
1.050000e-12,1.025118e-01,1.068251e-01
1.065000e-12,1.051386e-01,1.096086e-01
1.080000e-12,1.077893e-01,1.124190e-01
1.095000e-12,1.104629e-01,1.152553e-01
1.110000e-12,1.131584e-01,1.181165e-01
1.125000e-12,1.158748e-01,1.210014e-01
1.140000e-12,1.186112e-01,1.239090e-01
1.155000e-12,1.213665e-01,1.268383e-01
1.170000e-12,1.241396e-01,1.297881e-01
1.185000e-12,1.269297e-01,1.327574e-01
1.200000e-12,1.297356e-01,1.357450e-01
1.215000e-12,1.325564e-01,1.387498e-01
1.230000e-12,1.353908e-01,1.417707e-01
1.245000e-12,1.382381e-01,1.448065e-01
1.260000e-12,1.410970e-01,1.478561e-01
1.275000e-12,1.439666e-01,1.509184e-01
1.290000e-12,1.468458e-01,1.539922e-01
1.305000e-12,1.497336e-01,1.570763e-01
1.320000e-12,1.526289e-01,1.601697e-01
1.335000e-12,1.555308e-01,1.632712e-01
1.350000e-12,1.584383e-01,1.663797e-01
1.365000e-12,1.613504e-01,1.694941e-01
1.380000e-12,1.642660e-01,1.726132e-01
1.395000e-12,1.671842e-01,1.757360e-01
1.410000e-12,1.701041e-01,1.788614e-01
1.425000e-12,1.730247e-01,1.819883e-01
1.440000e-12,1.759450e-01,1.851157e-01
1.455000e-12,1.788643e-01,1.882424e-01
1.470000e-12,1.817816e-01,1.913676e-01
1.485000e-12,1.846960e-01,1.944902e-01
1.500000e-12,1.876067e-01,1.976092e-01
1.515000e-12,1.905129e-01,2.007236e-01
1.530000e-12,1.934137e-01,2.038326e-01
1.545000e-12,1.963085e-01,2.069351e-01
1.560000e-12,1.991964e-01,2.100304e-01
1.575000e-12,2.020767e-01,2.131175e-01
1.590000e-12,2.049487e-01,2.161957e-01
1.605000e-12,2.078118e-01,2.192640e-01
1.620000e-12,2.106653e-01,2.223218e-01
1.635000e-12,2.135086e-01,2.253683e-01
1.650000e-12,2.163411e-01,2.284028e-01
1.665000e-12,2.191622e-01,2.314246e-01
1.680000e-12,2.219715e-01,2.344329e-01
1.695000e-12,2.247684e-01,2.374273e-01
1.710000e-12,2.275524e-01,2.404072e-01
1.725000e-12,2.303232e-01,2.433719e-01
1.740000e-12,2.330802e-01,2.463209e-01
1.755000e-12,2.358233e-01,2.492539e-01
1.770000e-12,2.385519e-01,2.521702e-01
1.785000e-12,2.412658e-01,2.550696e-01
1.800000e-12,2.439647e-01,2.579516e-01
1.815000e-12,2.466484e-01,2.608159e-01
1.830000e-12,2.493167e-01,2.636622e-01
1.845000e-12,2.519693e-01,2.664902e-01
1.860000e-12,2.546061e-01,2.692997e-01
1.875000e-12,2.572271e-01,2.720905e-01
1.890000e-12,2.598320e-01,2.748625e-01
1.905000e-12,2.624210e-01,2.776154e-01
1.920000e-12,2.649938e-01,2.803494e-01
1.935000e-12,2.675506e-01,2.830642e-01
1.950000e-12,2.700914e-01,2.857599e-01
1.965000e-12,2.726163e-01,2.884365e-01
1.980000e-12,2.751252e-01,2.910940e-01
1.995000e-12,2.776185e-01,2.937327e-01
2.010000e-12,2.800962e-01,2.963525e-01
2.025000e-12,2.825585e-01,2.989537e-01
2.040000e-12,2.850056e-01,3.015364e-01
2.055000e-12,2.874377e-01,3.041009e-01
2.070000e-12,2.898552e-01,3.066475e-01
2.085000e-12,2.922583e-01,3.091764e-01
2.100000e-12,2.946473e-01,3.116880e-01
2.115000e-12,2.970225e-01,3.141826e-01
2.130000e-12,2.993844e-01,3.166606e-01
2.145000e-12,3.017333e-01,3.191225e-01
2.160000e-12,3.040696e-01,3.215686e-01
2.175000e-12,3.063938e-01,3.239995e-01
2.190000e-12,3.087062e-01,3.264157e-01
2.205000e-12,3.110074e-01,3.288175e-01
2.220000e-12,3.132978e-01,3.312057e-01
2.235000e-12,3.155780e-01,3.335808e-01
2.250000e-12,3.178484e-01,3.359434e-01
2.265000e-12,3.201096e-01,3.382940e-01
2.280000e-12,3.223622e-01,3.406334e-01
2.295000e-12,3.246067e-01,3.429621e-01
2.310000e-12,3.268437e-01,3.452809e-01
2.325000e-12,3.290737e-01,3.475904e-01
2.340000e-12,3.312975e-01,3.498914e-01
2.355000e-12,3.335155e-01,3.521844e-01
2.370000e-12,3.357284e-01,3.544704e-01
2.385000e-12,3.379369e-01,3.567500e-01
2.400000e-12,3.401415e-01,3.590239e-01
2.415000e-12,3.423429e-01,3.612930e-01
2.430000e-12,3.445417e-01,3.635580e-01
2.445000e-12,3.467386e-01,3.658196e-01
2.460000e-12,3.489342e-01,3.680787e-01
2.475000e-12,3.511292e-01,3.703361e-01
2.490000e-12,3.533242e-01,3.725924e-01
2.505000e-12,3.555199e-01,3.748486e-01
2.520000e-12,3.577169e-01,3.771054e-01
2.535000e-12,3.599158e-01,3.793636e-01
2.550000e-12,3.621174e-01,3.816239e-01
2.565000e-12,3.643221e-01,3.838873e-01
2.580000e-12,3.665307e-01,3.861543e-01
2.595000e-12,3.687438e-01,3.884259e-01
2.610000e-12,3.709619e-01,3.907028e-01
2.625000e-12,3.731858e-01,3.929857e-01
2.640000e-12,3.754159e-01,3.952754e-01
2.655000e-12,3.776528e-01,3.975726e-01
2.670000e-12,3.798972e-01,3.998781e-01
2.685000e-12,3.821496e-01,4.021926e-01
2.700000e-12,3.844106e-01,4.045167e-01
2.715000e-12,3.866806e-01,4.068512e-01
2.730000e-12,3.889602e-01,4.091967e-01
2.745000e-12,3.912498e-01,4.115539e-01
2.760000e-12,3.935501e-01,4.139234e-01
2.775000e-12,3.958614e-01,4.163058e-01
2.790000e-12,3.981843e-01,4.187017e-01
2.805000e-12,4.005190e-01,4.211117e-01
2.820000e-12,4.028661e-01,4.235364e-01
2.835000e-12,4.052260e-01,4.259763e-01
2.850000e-12,4.075990e-01,4.284318e-01
2.865000e-12,4.099855e-01,4.309036e-01
2.880000e-12,4.123858e-01,4.333920e-01
2.895000e-12,4.148003e-01,4.358974e-01
2.910000e-12,4.172292e-01,4.384204e-01
2.925000e-12,4.196728e-01,4.409612e-01
2.940000e-12,4.221314e-01,4.435203e-01
2.955000e-12,4.246052e-01,4.460980e-01
2.970000e-12,4.270944e-01,4.486945e-01
2.985000e-12,4.295992e-01,4.513102e-01
3.000000e-12,4.321197e-01,4.539453e-01
3.015000e-12,4.346562e-01,4.566001e-01
3.030000e-12,4.372086e-01,4.592747e-01
3.045000e-12,4.397772e-01,4.619693e-01
3.060000e-12,4.423620e-01,4.646841e-01
3.075000e-12,4.449630e-01,4.674191e-01
3.090000e-12,4.475803e-01,4.701744e-01
3.105000e-12,4.502138e-01,4.729501e-01
3.120000e-12,4.528636e-01,4.757463e-01
3.135000e-12,4.555297e-01,4.785629e-01
3.150000e-12,4.582119e-01,4.813999e-01
3.165000e-12,4.609102e-01,4.842572e-01
3.180000e-12,4.636246e-01,4.871348e-01
3.195000e-12,4.663547e-01,4.900325e-01
3.210000e-12,4.691007e-01,4.929502e-01
3.225000e-12,4.718622e-01,4.958878e-01
3.240000e-12,4.746391e-01,4.988450e-01
3.255000e-12,4.774312e-01,5.018217e-01
3.270000e-12,4.802382e-01,5.048176e-01
3.285000e-12,4.830601e-01,5.078324e-01
3.300000e-12,4.858964e-01,5.108660e-01
3.315000e-12,4.887470e-01,5.139178e-01
3.330000e-12,4.916116e-01,5.169877e-01
3.345000e-12,4.944898e-01,5.200753e-01
3.360000e-12,4.973814e-01,5.231801e-01
3.375000e-12,5.002860e-01,5.263019e-01
3.390000e-12,5.032033e-01,5.294402e-01
3.405000e-12,5.061329e-01,5.325945e-01
3.420000e-12,5.090745e-01,5.357645e-01
3.435000e-12,5.120278e-01,5.389496e-01
3.450000e-12,5.149922e-01,5.421495e-01
3.465000e-12,5.179675e-01,5.453635e-01
3.480000e-12,5.209533e-01,5.485912e-01
3.495000e-12,5.239491e-01,5.518320e-01
3.510000e-12,5.269545e-01,5.550855e-01
3.525000e-12,5.299691e-01,5.583511e-01
3.540000e-12,5.329924e-01,5.616283e-01
3.555000e-12,5.360241e-01,5.649164e-01
3.570000e-12,5.390638e-01,5.682149e-01
3.585000e-12,5.421109e-01,5.715233e-01
3.600000e-12,5.451650e-01,5.748409e-01
3.615000e-12,5.482257e-01,5.781672e-01
3.630000e-12,5.512926e-01,5.815015e-01
3.645000e-12,5.543651e-01,5.848434e-01
3.660000e-12,5.574430e-01,5.881921e-01
3.675000e-12,5.605256e-01,5.915471e-01
3.690000e-12,5.636127e-01,5.949078e-01
3.705000e-12,5.667037e-01,5.982737e-01
3.720000e-12,5.697982e-01,6.016440e-01
3.735000e-12,5.728958e-01,6.050182e-01
3.750000e-12,5.759961e-01,6.083958e-01
3.765000e-12,5.790986e-01,6.117761e-01
3.780000e-12,5.822030e-01,6.151586e-01
3.795000e-12,5.853088e-01,6.185427e-01
3.810000e-12,5.884156e-01,6.219278e-01
3.825000e-12,5.915231e-01,6.253134e-01
3.840000e-12,5.946309e-01,6.286990e-01
3.855000e-12,5.977385e-01,6.320839e-01
3.870000e-12,6.008457e-01,6.354677e-01
3.885000e-12,6.039521e-01,6.388499e-01
3.900000e-12,6.070573e-01,6.422300e-01
3.915000e-12,6.101610e-01,6.456074e-01
3.930000e-12,6.132629e-01,6.489817e-01
3.945000e-12,6.163626e-01,6.523524e-01
3.960000e-12,6.194599e-01,6.557192e-01
3.975000e-12,6.225545e-01,6.590814e-01
3.990000e-12,6.256460e-01,6.624388e-01
4.005000e-12,6.287343e-01,6.657910e-01
4.020000e-12,6.318191e-01,6.691375e-01
4.035000e-12,6.349002e-01,6.724780e-01
4.050000e-12,6.379772e-01,6.758121e-01
4.065000e-12,6.410501e-01,6.791395e-01
4.080000e-12,6.441186e-01,6.824599e-01
4.095000e-12,6.471825e-01,6.857729e-01
4.110000e-12,6.502416e-01,6.890784e-01
4.125000e-12,6.532958e-01,6.923761e-01
4.140000e-12,6.563450e-01,6.956656e-01
4.155000e-12,6.593890e-01,6.989469e-01
4.170000e-12,6.624276e-01,7.022196e-01
4.185000e-12,6.654609e-01,7.054837e-01
4.200000e-12,6.684886e-01,7.087389e-01
4.215000e-12,6.715108e-01,7.119851e-01
4.230000e-12,6.745273e-01,7.152222e-01
4.245000e-12,6.775380e-01,7.184501e-01
4.260000e-12,6.805431e-01,7.216687e-01
4.275000e-12,6.835423e-01,7.248779e-01
4.290000e-12,6.865357e-01,7.280778e-01
4.305000e-12,6.895234e-01,7.312682e-01
4.320000e-12,6.925052e-01,7.344491e-01
4.335000e-12,6.954813e-01,7.376207e-01
4.350000e-12,6.984516e-01,7.407829e-01
4.365000e-12,7.014162e-01,7.439357e-01
4.380000e-12,7.043751e-01,7.470792e-01
4.395000e-12,7.073285e-01,7.502136e-01
4.410000e-12,7.102764e-01,7.533389e-01
4.425000e-12,7.132188e-01,7.564552e-01
4.440000e-12,7.161559e-01,7.595627e-01
4.455000e-12,7.190878e-01,7.626616e-01
4.470000e-12,7.220145e-01,7.657520e-01
4.485000e-12,7.249363e-01,7.688340e-01
4.500000e-12,7.278532e-01,7.719080e-01
4.515000e-12,7.307654e-01,7.749740e-01
4.530000e-12,7.336730e-01,7.780325e-01
4.545000e-12,7.365762e-01,7.810835e-01
4.560000e-12,7.394751e-01,7.841273e-01
4.575000e-12,7.423699e-01,7.871643e-01
4.590000e-12,7.452609e-01,7.901947e-01
4.605000e-12,7.481480e-01,7.932187e-01
4.620000e-12,7.510317e-01,7.962368e-01
4.635000e-12,7.539120e-01,7.992492e-01
4.650000e-12,7.567891e-01,8.022563e-01
4.665000e-12,7.596634e-01,8.052583e-01
4.680000e-12,7.625348e-01,8.082557e-01
4.695000e-12,7.654038e-01,8.112487e-01
4.710000e-12,7.682704e-01,8.142378e-01
4.725000e-12,7.711349e-01,8.172234e-01
4.740000e-12,7.739976e-01,8.202057e-01
4.755000e-12,7.768587e-01,8.231852e-01
4.770000e-12,7.797183e-01,8.261623e-01
4.785000e-12,7.825767e-01,8.291373e-01
4.800000e-12,7.854342e-01,8.321107e-01
4.815000e-12,7.882910e-01,8.350828e-01
4.830000e-12,7.911474e-01,8.380541e-01
4.845000e-12,7.940035e-01,8.410249e-01
4.860000e-12,7.968596e-01,8.439958e-01
4.875000e-12,7.997159e-01,8.469670e-01
4.890000e-12,8.025727e-01,8.499390e-01
4.905000e-12,8.054303e-01,8.529122e-01
4.920000e-12,8.082888e-01,8.558870e-01
