time,"I(L6|XSOURCEA)","I(L6|XSOURCEB)","P(B3|XDUT)","P(B1|XLOADCIRCUIT)"
0.000000e+00,-1.977038e-07,-1.977038e-07,2.320390e-01,7.383783e-02
2.500000e-13,-1.956892e-07,-1.956892e-07,2.335007e-01,7.703698e-02
5.000000e-13,-1.856023e-07,-1.856023e-07,2.383941e-01,8.677728e-02
7.500000e-13,-1.610971e-07,-1.610971e-07,2.485368e-01,1.047877e-01
1.000000e-12,-1.160351e-07,-1.160351e-07,2.646954e-01,1.305205e-01
1.250000e-12,-4.702135e-08,-4.702135e-08,2.860600e-01,1.615665e-01
1.500000e-12,4.494753e-08,4.494753e-08,3.103427e-01,1.946641e-01
1.750000e-12,1.545938e-07,1.545938e-07,3.345505e-01,2.268019e-01
2.000000e-12,2.741999e-07,2.741999e-07,3.560915e-01,2.560339e-01
2.250000e-12,3.963253e-07,3.963253e-07,3.737104e-01,2.818212e-01
2.500000e-12,5.161645e-07,5.161645e-07,3.878417e-01,3.049105e-01
2.750000e-12,6.325428e-07,6.325428e-07,4.002637e-01,3.268801e-01
3.000000e-12,7.472504e-07,7.472504e-07,4.132647e-01,3.495408e-01
3.250000e-12,8.632323e-07,8.632323e-07,4.287256e-01,3.743725e-01
3.500000e-12,9.826577e-07,9.826577e-07,4.475032e-01,4.021395e-01
3.750000e-12,1.105862e-06,1.105862e-06,4.693081e-01,4.327630e-01
4.000000e-12,1.231617e-06,1.231617e-06,4.930270e-01,4.654565e-01
4.250000e-12,1.358472e-06,1.358472e-06,5.172701e-01,4.990548e-01
4.500000e-12,1.486368e-06,1.486368e-06,5.408889e-01,5.324206e-01
4.750000e-12,1.617646e-06,1.617646e-06,5.632887e-01,5.647950e-01
5.000000e-12,1.756925e-06,1.756925e-06,5.844858e-01,5.959896e-01
5.250000e-12,1.907890e-06,1.907890e-06,6.035056e-01,6.231784e-01
5.500000e-12,2.067176e-06,2.067176e-06,6.189055e-01,6.435019e-01
5.750000e-12,2.225591e-06,2.225591e-06,6.291755e-01,6.555850e-01
6.000000e-12,2.367540e-06,2.367540e-06,6.334745e-01,6.600290e-01
6.250000e-12,2.475337e-06,2.475337e-06,6.322605e-01,6.590210e-01
6.500000e-12,2.535317e-06,2.535317e-06,6.274507e-01,6.554937e-01
6.750000e-12,2.543317e-06,2.543317e-06,6.219125e-01,6.522378e-01
7.000000e-12,2.507103e-06,2.507103e-06,6.184689e-01,6.512433e-01
7.250000e-12,2.444532e-06,2.444532e-06,6.188854e-01,6.533866e-01
7.500000e-12,2.378056e-06,2.378056e-06,6.233116e-01,6.584494e-01
7.750000e-12,2.327730e-06,2.327730e-06,6.304042e-01,6.653816e-01
8.000000e-12,2.305426e-06,2.305426e-06,6.380114e-01,6.727029e-01
8.250000e-12,2.312274e-06,2.312274e-06,6.440635e-01,6.789383e-01
8.500000e-12,2.339938e-06,2.339938e-06,6.472800e-01,6.830027e-01
8.750000e-12,2.374848e-06,2.374848e-06,6.474567e-01,6.844532e-01
9.000000e-12,2.403545e-06,2.403545e-06,6.453144e-01,6.835593e-01
9.250000e-12,2.417144e-06,2.417144e-06,6.420697e-01,6.811720e-01
9.500000e-12,2.413473e-06,2.413473e-06,6.389562e-01,6.784347e-01
9.750000e-12,2.396507e-06,2.396507e-06,6.368727e-01,6.764240e-01
1.000000e-11,2.373735e-06,2.373735e-06,6.362362e-01,6.758388e-01
1.025000e-11,2.352787e-06,2.352787e-06,6.370087e-01,6.768346e-01
1.050000e-11,2.338730e-06,2.338730e-06,6.388258e-01,6.790480e-01
1.075000e-11,2.332904e-06,2.332904e-06,6.411501e-01,6.817831e-01
1.100000e-11,2.333463e-06,2.333463e-06,6.434138e-01,6.842794e-01
1.125000e-11,2.337013e-06,2.337013e-06,6.451351e-01,6.859602e-01
1.150000e-11,2.340471e-06,2.340471e-06,6.460095e-01,6.865813e-01
1.175000e-11,2.342297e-06,2.342297e-06,6.459642e-01,6.862485e-01
1.200000e-11,2.342705e-06,2.342705e-06,6.451615e-01,6.853203e-01
1.225000e-11,2.342964e-06,2.342964e-06,6.439394e-01,6.842500e-01
1.250000e-11,2.344280e-06,2.344280e-06,6.427024e-01,6.834294e-01
1.275000e-11,2.346882e-06,2.346882e-06,6.417962e-01,6.830847e-01
1.300000e-11,2.349742e-06,2.349742e-06,6.414095e-01,6.832455e-01
1.325000e-11,2.351039e-06,2.351039e-06,6.415406e-01,6.837802e-01
1.350000e-11,2.349089e-06,2.349089e-06,6.420320e-01,6.844727e-01
1.375000e-11,2.343281e-06,2.343281e-06,6.426552e-01,6.851064e-01
1.400000e-11,2.334564e-06,2.334564e-06,6.432038e-01,6.855302e-01
1.425000e-11,2.325254e-06,2.325254e-06,6.435577e-01,6.856901e-01
1.450000e-11,2.318227e-06,2.318227e-06,6.437001e-01,6.856250e-01
1.475000e-11,2.315833e-06,2.315833e-06,6.436901e-01,6.854349e-01
1.500000e-11,2.318974e-06,2.318974e-06,6.436131e-01,6.852366e-01
1.525000e-11,2.326710e-06,2.326710e-06,6.435353e-01,6.851222e-01
1.550000e-11,2.336547e-06,2.336547e-06,6.434808e-01,6.851324e-01
1.575000e-11,2.345290e-06,2.345290e-06,6.434341e-01,6.852518e-01
1.600000e-11,2.350132e-06,2.350132e-06,6.433620e-01,6.854230e-01
1.625000e-11,2.349581e-06,2.349581e-06,6.432380e-01,6.855735e-01
1.650000e-11,2.343904e-06,2.343904e-06,6.430596e-01,6.856450e-01
1.675000e-11,2.334948e-06,2.334948e-06,6.428508e-01,6.856128e-01
1.700000e-11,2.325452e-06,2.325452e-06,6.426533e-01,6.854925e-01
1.725000e-11,2.318117e-06,2.318117e-06,6.425116e-01,6.853308e-01
1.750000e-11,2.314762e-06,2.314762e-06,6.424585e-01,6.851864e-01
1.775000e-11,2.315840e-06,2.315840e-06,6.425058e-01,6.851090e-01
1.800000e-11,2.320445e-06,2.320445e-06,6.426415e-01,6.851233e-01
1.825000e-11,2.326746e-06,2.326746e-06,6.428334e-01,6.852234e-01
1.850000e-11,2.332660e-06,2.332660e-06,6.430364e-01,6.853771e-01
1.875000e-11,2.336521e-06,2.336521e-06,6.432026e-01,6.855391e-01
1.900000e-11,2.337517e-06,2.337517e-06,6.432918e-01,6.856652e-01
1.925000e-11,2.335801e-06,2.335801e-06,6.432800e-01,6.857254e-01
1.950000e-11,2.332282e-06,2.332282e-06,6.431655e-01,6.857095e-01
1.975000e-11,2.328210e-06,2.328210e-06,6.429685e-01,6.856275e-01
2.000000e-11,2.324738e-06,2.324738e-06,6.427268e-01,6.855040e-01
2.025000e-11,2.322587e-06,2.322587e-06,6.424864e-01,6.853698e-01
2.050000e-11,2.321924e-06,2.321924e-06,6.422910e-01,6.852538e-01
2.075000e-11,2.322436e-06,2.322436e-06,6.421721e-01,6.851766e-01
2.100000e-11,2.323548e-06,2.323548e-06,6.421434e-01,6.851479e-01
2.125000e-11,2.324674e-06,2.324674e-06,6.421992e-01,6.851661e-01
2.150000e-11,2.325418e-06,2.325418e-06,6.423178e-01,6.852205e-01
2.175000e-11,2.325657e-06,2.325657e-06,6.424674e-01,6.852953e-01
2.200000e-11,2.325504e-06,2.325504e-06,6.426133e-01,6.853729e-01
2.225000e-11,2.325198e-06,2.325198e-06,6.427246e-01,6.854379e-01
2.250000e-11,2.324966e-06,2.324966e-06,6.427793e-01,6.854788e-01
2.275000e-11,2.324921e-06,2.324921e-06,6.427668e-01,6.854897e-01
2.300000e-11,2.325026e-06,2.325026e-06,6.426891e-01,6.854705e-01
2.325000e-11,2.325129e-06,2.325129e-06,6.425596e-01,6.854256e-01
2.350000e-11,2.325047e-06,2.325047e-06,6.423999e-01,6.853633e-01
2.375000e-11,2.324644e-06,2.324644e-06,6.422363e-01,6.852940e-01
2.400000e-11,2.323899e-06,2.323899e-06,6.420948e-01,6.852283e-01
2.425000e-11,2.322914e-06,2.322914e-06,6.419964e-01,6.851757e-01
2.450000e-11,2.321884e-06,2.321884e-06,6.419532e-01,6.851432e-01
2.475000e-11,2.321032e-06,2.321032e-06,6.419671e-01,6.851343e-01
2.500000e-11,2.320539e-06,2.320539e-06,6.420290e-01,6.851483e-01
2.525000e-11,2.320492e-06,2.320492e-06,6.421214e-01,6.851808e-01
2.550000e-11,2.320861e-06,2.320861e-06,6.422221e-01,6.852243e-01
2.575000e-11,2.321517e-06,2.321517e-06,6.423083e-01,6.852693e-01
2.600000e-11,2.322268e-06,2.322268e-06,6.423613e-01,6.853063e-01
2.625000e-11,2.322911e-06,2.322911e-06,6.423695e-01,6.853274e-01
2.650000e-11,2.323282e-06,2.323282e-06,6.423301e-01,6.853280e-01
2.675000e-11,2.323285e-06,2.323285e-06,6.422496e-01,6.853073e-01
2.700000e-11,2.322912e-06,2.322912e-06,6.421415e-01,6.852689e-01
2.725000e-11,2.322230e-06,2.322230e-06,6.420238e-01,6.852192e-01
2.750000e-11,2.321361e-06,2.321361e-06,6.419157e-01,6.851669e-01
2.775000e-11,2.320455e-06,2.320455e-06,6.418334e-01,6.851208e-01
2.800000e-11,2.319661e-06,2.319661e-06,6.417880e-01,6.850881e-01
2.825000e-11,2.319096e-06,2.319096e-06,6.417830e-01,6.850733e-01
2.850000e-11,2.318829e-06,2.318829e-06,6.418144e-01,6.850772e-01
2.875000e-11,2.318870e-06,2.318870e-06,6.418717e-01,6.850971e-01
2.900000e-11,2.319174e-06,2.319174e-06,6.419402e-01,6.851274e-01
2.925000e-11,2.319648e-06,2.319648e-06,6.420039e-01,6.851609e-01
2.950000e-11,2.320170e-06,2.320170e-06,6.420486e-01,6.851900e-01
2.975000e-11,2.320617e-06,2.320617e-06,6.420642e-01,6.852086e-01
3.000000e-11,2.320882e-06,2.320882e-06,6.420467e-01,6.852126e-01
3.025000e-11,2.320899e-06,2.320899e-06,6.419985e-01,6.852011e-01
3.050000e-11,2.320654e-06,2.320654e-06,6.419275e-01,6.851762e-01
3.075000e-11,2.320184e-06,2.320184e-06,6.418455e-01,6.851421e-01
3.100000e-11,2.319571e-06,2.319571e-06,6.417658e-01,6.851049e-01
3.125000e-11,2.318918e-06,2.318918e-06,6.417005e-01,6.850707e-01
3.150000e-11,2.318335e-06,2.318335e-06,6.416588e-01,6.850447e-01
3.175000e-11,2.317909e-06,2.317909e-06,6.416446e-01,6.850306e-01
3.200000e-11,2.317692e-06,2.317692e-06,6.416571e-01,6.850293e-01
3.225000e-11,2.317692e-06,2.317692e-06,6.416903e-01,6.850396e-01
3.250000e-11,2.317876e-06,2.317876e-06,6.417350e-01,6.850581e-01
3.275000e-11,2.318177e-06,2.318177e-06,6.417801e-01,6.850801e-01
3.300000e-11,2.318514e-06,2.318514e-06,6.418153e-01,6.851007e-01
3.325000e-11,2.318804e-06,2.318804e-06,6.418327e-01,6.851153e-01
3.350000e-11,2.318980e-06,2.318980e-06,6.418278e-01,6.851210e-01
3.375000e-11,2.319004e-06,2.319004e-06,6.418008e-01,6.851163e-01
3.400000e-11,2.318864e-06,2.318864e-06,6.417558e-01,6.851020e-01
3.425000e-11,2.318582e-06,2.318582e-06,6.417002e-01,6.850805e-01
3.450000e-11,2.318203e-06,2.318203e-06,6.416429e-01,6.850553e-01
3.475000e-11,2.317784e-06,2.317784e-06,6.415926e-01,6.850305e-01
3.500000e-11,2.317387e-06,2.317387e-06,6.415564e-01,6.850101e-01
3.525000e-11,2.317068e-06,2.317068e-06,6.415387e-01,6.849968e-01
3.550000e-11,2.316863e-06,2.316863e-06,6.415399e-01,6.849921e-01
3.575000e-11,2.316790e-06,2.316790e-06,6.415572e-01,6.849957e-01
3.600000e-11,2.316842e-06,2.316842e-06,6.415851e-01,6.850060e-01
3.625000e-11,2.316991e-06,2.316991e-06,6.416162e-01,6.850202e-01
3.650000e-11,2.317193e-06,2.317193e-06,6.416431e-01,6.850349e-01
3.675000e-11,2.317396e-06,2.317396e-06,6.416595e-01,6.850467e-01
3.700000e-11,2.317551e-06,2.317551e-06,6.416614e-01,6.850531e-01
3.725000e-11,2.317619e-06,2.317619e-06,6.416476e-01,6.850525e-01
3.750000e-11,2.317577e-06,2.317577e-06,6.416200e-01,6.850449e-01
3.775000e-11,2.317426e-06,2.317426e-06,6.415828e-01,6.850314e-01
3.800000e-11,2.317186e-06,2.317186e-06,6.415421e-01,6.850142e-01
3.825000e-11,2.316894e-06,2.316894e-06,6.415040e-01,6.849962e-01
3.850000e-11,2.316593e-06,2.316593e-06,6.414741e-01,6.849802e-01
3.875000e-11,2.316330e-06,2.316330e-06,6.414563e-01,6.849686e-01
3.900000e-11,2.316140e-06,2.316140e-06,6.414517e-01,6.849628e-01
3.925000e-11,2.316045e-06,2.316045e-06,6.414595e-01,6.849630e-01
3.950000e-11,2.316046e-06,2.316046e-06,6.414762e-01,6.849686e-01
3.975000e-11,2.316129e-06,2.316129e-06,6.414971e-01,6.849776e-01
4.000000e-11,2.316262e-06,2.316262e-06,6.415169e-01,6.849879e-01
4.025000e-11,2.316410e-06,2.316410e-06,6.415308e-01,6.849969e-01
4.050000e-11,2.316533e-06,2.316533e-06,6.415355e-01,6.850027e-01
4.075000e-11,2.316600e-06,2.316600e-06,6.415293e-01,6.850039e-01
4.100000e-11,2.316592e-06,2.316592e-06,6.415127e-01,6.850000e-01
4.125000e-11,2.316505e-06,2.316505e-06,6.414884e-01,6.849917e-01
4.150000e-11,2.316350e-06,2.316350e-06,6.414599e-01,6.849802e-01
4.175000e-11,2.316150e-06,2.316150e-06,6.414319e-01,6.849675e-01
4.200000e-11,2.315936e-06,2.315936e-06,6.414083e-01,6.849555e-01
4.225000e-11,2.315738e-06,2.315738e-06,6.413922e-01,6.849461e-01
4.250000e-11,2.315585e-06,2.315585e-06,6.413853e-01,6.849404e-01
4.275000e-11,2.315492e-06,2.315492e-06,6.413873e-01,6.849390e-01
4.300000e-11,2.315467e-06,2.315467e-06,6.413966e-01,6.849414e-01
4.325000e-11,2.315502e-06,2.315502e-06,6.414100e-01,6.849468e-01
4.350000e-11,2.315580e-06,2.315580e-06,6.414240e-01,6.849536e-01
4.375000e-11,2.315677e-06,2.315677e-06,6.414350e-01,6.849602e-01
4.400000e-11,2.315766e-06,2.315766e-06,6.414403e-01,6.849650e-01
4.425000e-11,2.315825e-06,2.315825e-06,6.414383e-01,6.849668e-01
4.450000e-11,2.315836e-06,2.315836e-06,6.414289e-01,6.849653e-01
4.475000e-11,2.315792e-06,2.315792e-06,6.414134e-01,6.849604e-01
4.500000e-11,2.315698e-06,2.315698e-06,6.413940e-01,6.849530e-01
4.525000e-11,2.315566e-06,2.315566e-06,6.413737e-01,6.849442e-01
4.550000e-11,2.315416e-06,2.315416e-06,6.413556e-01,6.849354e-01
4.575000e-11,2.315269e-06,2.315269e-06,6.413420e-01,6.849280e-01
4.600000e-11,2.315146e-06,2.315146e-06,6.413345e-01,6.849229e-01
4.625000e-11,2.315063e-06,2.315063e-06,6.413334e-01,6.849207e-01
4.650000e-11,2.315025e-06,2.315025e-06,6.413379e-01,6.849213e-01
4.675000e-11,2.315032e-06,2.315032e-06,6.413461e-01,6.849243e-01
4.700000e-11,2.315075e-06,2.315075e-06,6.413556e-01,6.849287e-01
4.725000e-11,2.315137e-06,2.315137e-06,6.413639e-01,6.849333e-01
4.750000e-11,2.315200e-06,2.315200e-06,6.413689e-01,6.849370e-01
4.775000e-11,2.315248e-06,2.315248e-06,6.413691e-01,6.849390e-01
4.800000e-11,2.315265e-06,2.315265e-06,6.413641e-01,6.849387e-01
4.825000e-11,2.315246e-06,2.315246e-06,6.413544e-01,6.849360e-01
4.850000e-11,2.315191e-06,2.315191e-06,6.413414e-01,6.849313e-01
4.875000e-11,2.315105e-06,2.315105e-06,6.413271e-01,6.849254e-01
4.900000e-11,2.315001e-06,2.315001e-06,6.413135e-01,6.849191e-01
4.925000e-11,2.314894e-06,2.314894e-06,6.413025e-01,6.849134e-01
4.950000e-11,2.314799e-06,2.314799e-06,6.412954e-01,6.849091e-01
4.975000e-11,2.314728e-06,2.314728e-06,6.412928e-01,6.849067e-01
5.000000e-11,2.314688e-06,2.314688e-06,6.412943e-01,6.849063e-01
5.025000e-11,2.773728e-06,2.314681e-06,6.412996e-01,6.849078e-01
5.050000e-11,3.963014e-06,2.314699e-06,6.413094e-01,6.849107e-01
5.075000e-11,6.397815e-06,2.314735e-06,6.413283e-01,6.849151e-01
5.100000e-11,1.059420e-05,2.314771e-06,6.413679e-01,6.849217e-01
5.125000e-11,1.616877e-05,2.314790e-06,6.414487e-01,6.849337e-01
5.150000e-11,2.302941e-05,2.314767e-06,6.416006e-01,6.849573e-01
5.175000e-11,3.044776e-05,2.314677e-06,6.418584e-01,6.850021e-01
5.200000e-11,3.752300e-05,2.314487e-06,6.422541e-01,6.850807e-01
5.225000e-11,4.373564e-05,2.314165e-06,6.428051e-01,6.852068e-01
5.250000e-11,4.849434e-05,2.313680e-06,6.435029e-01,6.853908e-01
5.275000e-11,5.169622e-05,2.313012e-06,6.443064e-01,6.856353e-01
5.300000e-11,5.354697e-05,2.312163e-06,6.451431e-01,6.859309e-01
5.325000e-11,5.451256e-05,2.311166e-06,6.459205e-01,6.862541e-01
5.350000e-11,5.522803e-05,2.310092e-06,6.465455e-01,6.865693e-01
5.375000e-11,5.637257e-05,2.309048e-06,6.469492e-01,6.868349e-01
