time,"I(L1)"
0.000000e+00,0.000000e+00
1.500000e-14,2.123798e-08
3.000000e-14,4.258281e-08
4.500000e-14,6.404836e-08
6.000000e-14,8.564358e-08
7.500000e-14,1.073760e-07
9.000000e-14,1.292527e-07
1.050000e-13,1.512809e-07
1.200000e-13,1.734680e-07
1.350000e-13,1.958215e-07
1.500000e-13,2.183488e-07
1.650000e-13,2.410576e-07
1.800000e-13,2.639556e-07
1.950000e-13,2.870506e-07
2.100000e-13,3.103501e-07
2.250000e-13,3.338620e-07
2.400000e-13,3.575937e-07
2.550000e-13,3.815526e-07
2.700000e-13,4.057461e-07
2.850000e-13,4.301811e-07
3.000000e-13,4.548646e-07
3.150000e-13,4.798031e-07
3.300000e-13,5.050028e-07
3.450000e-13,5.304697e-07
3.600000e-13,5.562093e-07
3.750000e-13,5.822267e-07
3.900000e-13,6.085266e-07
4.050000e-13,6.351132e-07
4.200000e-13,6.619901e-07
4.350000e-13,6.891606e-07
4.500000e-13,7.166270e-07
4.650000e-13,7.443915e-07
4.800000e-13,7.724553e-07
4.950000e-13,8.008192e-07
5.100000e-13,8.294831e-07
5.250000e-13,8.584464e-07
5.400000e-13,8.877078e-07
5.550000e-13,9.172651e-07
5.700000e-13,9.471155e-07
5.850000e-13,9.772555e-07
6.000000e-13,1.007681e-06
6.150000e-13,1.038386e-06
6.300000e-13,1.069366e-06
6.450000e-13,1.100613e-06
6.600000e-13,1.132121e-06
6.750000e-13,1.163882e-06
6.900000e-13,1.195886e-06
7.050000e-13,1.228125e-06
7.200000e-13,1.260587e-06
7.350000e-13,1.293263e-06
7.500000e-13,1.326140e-06
7.650000e-13,1.359207e-06
7.800000e-13,1.392450e-06
7.950000e-13,1.425857e-06
8.100000e-13,1.459413e-06
8.250000e-13,1.493105e-06
8.400000e-13,1.526917e-06
8.550000e-13,1.560835e-06
8.700000e-13,1.594842e-06
8.850000e-13,1.628922e-06
9.000000e-13,1.663060e-06
9.150000e-13,1.697239e-06
9.300000e-13,1.731443e-06
9.450000e-13,1.765654e-06
9.600000e-13,1.799855e-06
9.750000e-13,1.834031e-06
9.900000e-13,1.868163e-06
1.005000e-12,1.902235e-06
1.020000e-12,1.936231e-06
1.035000e-12,1.970134e-06
