time,"V(A)","V(B)","V(C)","V(D)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-14,3.777361e-07,4.637097e-06,6.262176e-06,1.168980e-07
5.000000e-14,1.243633e-06,3.401663e-06,4.507745e-06,2.328272e-07
7.500000e-14,2.613338e-06,3.826416e-06,4.961342e-06,3.483481e-07
1.000000e-13,4.462309e-06,4.405716e-06,5.580210e-06,4.641701e-07
1.250000e-13,6.744880e-06,5.134187e-06,6.360071e-06,5.810439e-07
1.500000e-13,9.401737e-06,6.003874e-06,7.294239e-06,6.997203e-07
1.750000e-13,1.236375e-05,7.004960e-06,8.374353e-06,8.209328e-07
2.000000e-13,1.555472e-05,8.126117e-06,9.590714e-06,9.453903e-07
2.250000e-13,1.889386e-05,9.354736e-06,1.093249e-05,1.073772e-06
2.500000e-13,2.229822e-05,1.067713e-05,1.238788e-05,1.206723e-06
2.750000e-13,2.568504e-05,1.207875e-05,1.394429e-05,1.344854e-06
3.000000e-13,2.897412e-05,1.354437e-05,1.558851e-05,1.488737e-06
3.250000e-13,3.208993e-05,1.505832e-05,1.730682e-05,1.638904e-06
3.500000e-13,3.496369e-05,1.660470e-05,1.908523e-05,1.795843e-06
3.750000e-13,3.753503e-05,1.816761e-05,2.090960e-05,1.960001e-06
4.000000e-13,3.975353e-05,1.973135e-05,2.276581e-05,2.131777e-06
4.250000e-13,4.157987e-05,2.128067e-05,2.463991e-05,2.311525e-06
4.500000e-13,4.298655e-05,2.280095e-05,2.651827e-05,2.499552e-06
4.750000e-13,4.395841e-05,2.427843e-05,2.838775e-05,2.696117e-06
5.000000e-13,4.449266e-05,2.570040e-05,3.023577e-05,2.901428e-06
5.250000e-13,4.459856e-05,2.705535e-05,3.205049e-05,3.115648e-06
5.500000e-13,4.429685e-05,2.833314e-05,3.382087e-05,3.338888e-06
5.750000e-13,4.361870e-05,2.952517e-05,3.553678e-05,3.571213e-06
6.000000e-13,4.260458e-05,3.062441e-05,3.718909e-05,3.812640e-06
6.250000e-13,4.130272e-05,3.162557e-05,3.876972e-05,4.063135e-06
6.500000e-13,3.976749e-05,3.252511e-05,4.027168e-05,4.322622e-06
6.750000e-13,3.805764e-05,3.332128e-05,4.168914e-05,4.590978e-06
7.000000e-13,3.623440e-05,3.401410e-05,4.301739e-05,4.868034e-06
7.250000e-13,3.435967e-05,3.460534e-05,4.425291e-05,5.153580e-06
7.500000e-13,3.249416e-05,3.509847e-05,4.539331e-05,5.447365e-06
7.750000e-13,3.069566e-05,3.549850e-05,4.643734e-05,5.749098e-06
8.000000e-13,2.901748e-05,3.581194e-05,4.738483e-05,6.058450e-06
8.250000e-13,2.750704e-05,3.604658e-05,4.823666e-05,6.375057e-06
8.500000e-13,2.620468e-05,3.621132e-05,4.899467e-05,6.698521e-06
8.750000e-13,2.514279e-05,3.631602e-05,4.966164e-05,7.028414e-06
9.000000e-13,2.434511e-05,3.637122e-05,5.024117e-05,7.364278e-06
9.250000e-13,2.382640e-05,3.638795e-05,5.073760e-05,7.705630e-06
9.500000e-13,2.359234e-05,3.637745e-05,5.115595e-05,8.051962e-06
9.750000e-13,2.363980e-05,3.635098e-05,5.150177e-05,8.402746e-06
1.000000e-12,2.395723e-05,3.631953e-05,5.178108e-05,8.757434e-06
1.025000e-12,2.452541e-05,3.629362e-05,5.200025e-05,9.115463e-06
1.050000e-12,2.531840e-05,3.628301e-05,5.216589e-05,9.476257e-06
1.075000e-12,2.630461e-05,3.629657e-05,5.228476e-05,9.839229e-06
1.100000e-12,2.744804e-05,3.634201e-05,5.236364e-05,1.020378e-05
1.125000e-12,2.870963e-05,3.642577e-05,5.240926e-05,1.056932e-05
1.150000e-12,3.004860e-05,3.655285e-05,5.242816e-05,1.093524e-05
1.175000e-12,3.142388e-05,3.672670e-05,5.242666e-05,1.130095e-05
1.200000e-12,3.279540e-05,3.694917e-05,5.241069e-05,1.166583e-05
1.225000e-12,3.412540e-05,3.722044e-05,5.238578e-05,1.202930e-05
1.250000e-12,3.537948e-05,3.753903e-05,5.235694e-05,1.239077e-05
1.275000e-12,3.652764e-05,3.790186e-05,5.232864e-05,1.274968e-05
1.300000e-12,3.754507e-05,3.830427e-05,5.230471e-05,1.310544e-05
1.325000e-12,3.841271e-05,3.874019e-05,5.228832e-05,1.345752e-05
1.350000e-12,3.911766e-05,3.920222e-05,5.228193e-05,1.380539e-05
1.375000e-12,3.965332e-05,3.968182e-05,5.228732e-05,1.414853e-05
1.400000e-12,4.001933e-05,4.016955e-05,5.230548e-05,1.448646e-05
1.425000e-12,4.022134e-05,4.065520e-05,5.233671e-05,1.481870e-05
1.450000e-12,4.027050e-05,4.112810e-05,5.238059e-05,1.514481e-05
