time,"I(L1|XDUT)"
0.000000e+00,-0.000000e+00
2.500000e-14,1.802276e-08
5.000000e-14,3.617199e-08
7.500000e-14,5.444356e-08
1.000000e-13,7.282549e-08
1.250000e-13,9.130434e-08
1.500000e-13,1.098674e-07
1.750000e-13,1.285033e-07
2.000000e-13,1.472028e-07
2.250000e-13,1.659583e-07
2.500000e-13,1.847641e-07
2.750000e-13,2.036167e-07
3.000000e-13,2.225144e-07
3.250000e-13,2.414574e-07
3.500000e-13,2.604478e-07
3.750000e-13,2.794895e-07
4.000000e-13,2.985882e-07
4.250000e-13,3.177511e-07
4.500000e-13,3.369872e-07
4.750000e-13,3.563068e-07
5.000000e-13,3.757215e-07
5.250000e-13,3.952440e-07
5.500000e-13,4.148884e-07
5.750000e-13,4.346694e-07
6.000000e-13,4.546027e-07
6.250000e-13,4.747044e-07
6.500000e-13,4.949911e-07
6.750000e-13,5.154800e-07
7.000000e-13,5.361880e-07
7.250000e-13,5.571322e-07
7.500000e-13,5.783295e-07
7.750000e-13,5.997964e-07
8.000000e-13,6.215490e-07
8.250000e-13,6.436025e-07
8.500000e-13,6.659714e-07
8.750000e-13,6.886695e-07
9.000000e-13,7.117091e-07
9.250000e-13,7.351015e-07
9.500000e-13,7.588567e-07
9.750000e-13,7.829832e-07
1.000000e-12,8.074880e-07
1.025000e-12,8.323764e-07
1.050000e-12,8.576520e-07
1.075000e-12,8.833169e-07
1.100000e-12,9.093710e-07
1.125000e-12,9.358127e-07
1.150000e-12,9.626384e-07
1.175000e-12,9.898426e-07
1.200000e-12,1.017418e-06
1.225000e-12,1.045355e-06
1.250000e-12,1.073644e-06
1.275000e-12,1.102270e-06
1.300000e-12,1.131221e-06
1.325000e-12,1.160479e-06
1.350000e-12,1.190027e-06
1.375000e-12,1.219846e-06
1.400000e-12,1.249915e-06
1.425000e-12,1.280212e-06
1.450000e-12,1.310715e-06
1.475000e-12,1.341399e-06
1.500000e-12,1.372240e-06
1.525000e-12,1.403211e-06
1.550000e-12,1.434288e-06
1.575000e-12,1.465442e-06
1.600000e-12,1.496647e-06
1.625000e-12,1.527876e-06
1.650000e-12,1.559102e-06
1.675000e-12,1.590298e-06
1.700000e-12,1.621437e-06
1.725000e-12,1.652493e-06
1.750000e-12,1.683440e-06
1.775000e-12,1.714255e-06
1.800000e-12,1.744912e-06
1.825000e-12,1.775389e-06
1.850000e-12,1.805665e-06
1.875000e-12,1.835720e-06
1.900000e-12,1.865534e-06
1.925000e-12,1.895090e-06
1.950000e-12,1.924374e-06
1.975000e-12,1.953370e-06
2.000000e-12,1.982066e-06
2.025000e-12,2.010453e-06
2.050000e-12,2.038523e-06
2.075000e-12,2.066268e-06
2.100000e-12,2.093684e-06
2.125000e-12,2.120769e-06
2.150000e-12,2.147524e-06
2.175000e-12,2.173949e-06
2.200000e-12,2.200048e-06
2.225000e-12,2.225827e-06
2.250000e-12,2.251294e-06
2.275000e-12,2.276459e-06
2.300000e-12,2.301332e-06
2.325000e-12,2.325928e-06
2.350000e-12,2.350260e-06
2.375000e-12,2.374346e-06
2.400000e-12,2.398204e-06
2.425000e-12,2.421852e-06
2.450000e-12,2.445312e-06
2.475000e-12,2.468606e-06
2.500000e-12,2.491756e-06
2.525000e-12,2.514786e-06
2.550000e-12,2.537721e-06
2.575000e-12,2.560586e-06
2.600000e-12,2.583407e-06
2.625000e-12,2.606209e-06
2.650000e-12,2.629018e-06
2.675000e-12,2.651862e-06
2.700000e-12,2.674766e-06
2.725000e-12,2.697756e-06
2.750000e-12,2.720857e-06
2.775000e-12,2.744095e-06
2.800000e-12,2.767493e-06
2.825000e-12,2.791075e-06
2.850000e-12,2.814864e-06
2.875000e-12,2.838881e-06
2.900000e-12,2.863146e-06
2.925000e-12,2.887679e-06
2.950000e-12,2.912498e-06
2.975000e-12,2.937619e-06
3.000000e-12,2.963056e-06
3.025000e-12,2.988822e-06
3.050000e-12,3.014931e-06
3.075000e-12,3.041390e-06
3.100000e-12,3.068210e-06
3.125000e-12,3.095395e-06
3.150000e-12,3.122951e-06
3.175000e-12,3.150881e-06
3.200000e-12,3.179186e-06
3.225000e-12,3.207865e-06
3.250000e-12,3.236916e-06
3.275000e-12,3.266334e-06
3.300000e-12,3.296115e-06
3.325000e-12,3.326251e-06
3.350000e-12,3.356732e-06
3.375000e-12,3.387549e-06
3.400000e-12,3.418690e-06
3.425000e-12,3.450142e-06
3.450000e-12,3.481890e-06
3.475000e-12,3.513919e-06
3.500000e-12,3.546213e-06
3.525000e-12,3.578754e-06
3.550000e-12,3.611524e-06
3.575000e-12,3.644505e-06
3.600000e-12,3.677675e-06
3.625000e-12,3.711017e-06
3.650000e-12,3.744508e-06
3.675000e-12,3.778130e-06
3.700000e-12,3.811860e-06
3.725000e-12,3.845679e-06
3.750000e-12,3.879565e-06
3.775000e-12,3.913499e-06
3.800000e-12,3.947460e-06
3.825000e-12,3.981429e-06
3.850000e-12,4.015386e-06
3.875000e-12,4.049314e-06
3.900000e-12,4.083193e-06
3.925000e-12,4.117009e-06
3.950000e-12,4.150743e-06
3.975000e-12,4.184382e-06
4.000000e-12,4.217912e-06
4.025000e-12,4.251318e-06
4.050000e-12,4.284590e-06
4.075000e-12,4.317716e-06
4.100000e-12,4.350687e-06
4.125000e-12,4.383495e-06
4.150000e-12,4.416133e-06
4.175000e-12,4.448595e-06
4.200000e-12,4.480877e-06
4.225000e-12,4.512974e-06
4.250000e-12,4.544886e-06
4.275000e-12,4.576611e-06
4.300000e-12,4.608151e-06
4.325000e-12,4.639506e-06
4.350000e-12,4.670679e-06
4.375000e-12,4.701675e-06
4.400000e-12,4.732498e-06
4.425000e-12,4.763154e-06
4.450000e-12,4.793650e-06
4.475000e-12,4.823994e-06
4.500000e-12,4.854195e-06
4.525000e-12,4.884261e-06
4.550000e-12,4.914203e-06
4.575000e-12,4.944032e-06
4.600000e-12,4.973758e-06
4.625000e-12,5.003393e-06
4.650000e-12,5.032950e-06
4.675000e-12,5.062439e-06
4.700000e-12,5.091875e-06
4.725000e-12,5.121269e-06
4.750000e-12,5.150634e-06
4.775000e-12,5.179983e-06
4.800000e-12,5.209329e-06
4.825000e-12,5.238683e-06
4.850000e-12,5.268058e-06
4.875000e-12,5.297466e-06
4.900000e-12,5.326919e-06
4.925000e-12,5.356428e-06
4.950000e-12,5.386003e-06
4.975000e-12,5.415654e-06
5.000000e-12,5.445392e-06
5.025000e-12,5.457203e-06
5.050000e-12,5.468992e-06
5.075000e-12,5.480770e-06
5.100000e-12,5.492557e-06
5.125000e-12,5.504373e-06
5.150000e-12,5.516235e-06
5.175000e-12,5.528161e-06
5.200000e-12,5.540163e-06
5.225000e-12,5.552252e-06
5.250000e-12,5.564436e-06
5.275000e-12,5.576721e-06
5.300000e-12,5.589109e-06
5.325000e-12,5.601599e-06
5.350000e-12,5.614188e-06
5.375000e-12,5.626870e-06
5.400000e-12,5.639637e-06
5.425000e-12,5.652477e-06
5.450000e-12,5.665379e-06
5.475000e-12,5.678325e-06
5.500000e-12,5.691298e-06
5.525000e-12,5.704279e-06
5.550000e-12,5.717247e-06
5.575000e-12,5.730178e-06
5.600000e-12,5.743047e-06
5.625000e-12,5.755830e-06
5.650000e-12,5.768500e-06
5.675000e-12,5.781028e-06
5.700000e-12,5.793388e-06
5.725000e-12,5.805549e-06
5.750000e-12,5.817485e-06
5.775000e-12,5.829166e-06
5.800000e-12,5.840563e-06
5.825000e-12,5.851649e-06
5.850000e-12,5.862396e-06
5.875000e-12,5.872778e-06
5.900000e-12,5.882769e-06
5.925000e-12,5.892345e-06
5.950000e-12,5.901484e-06
5.975000e-12,5.910163e-06
6.000000e-12,5.918364e-06
6.025000e-12,5.926069e-06
6.050000e-12,5.933262e-06
6.075000e-12,5.939929e-06
6.100000e-12,5.946060e-06
6.125000e-12,5.951645e-06
6.150000e-12,5.956678e-06
6.175000e-12,5.961154e-06
6.200000e-12,5.965073e-06
6.225000e-12,5.968435e-06
6.250000e-12,5.971243e-06
6.275000e-12,5.973504e-06
6.300000e-12,5.975226e-06
6.325000e-12,5.976420e-06
6.350000e-12,5.977099e-06
6.375000e-12,5.977281e-06
6.400000e-12,5.976982e-06
6.425000e-12,5.976223e-06
6.450000e-12,5.975027e-06
6.475000e-12,5.973419e-06
6.500000e-12,5.971424e-06
6.525000e-12,5.969070e-06
6.550000e-12,5.966389e-06
6.575000e-12,5.963409e-06
6.600000e-12,5.960165e-06
6.625000e-12,5.956688e-06
6.650000e-12,5.953014e-06
6.675000e-12,5.949177e-06
6.700000e-12,5.945213e-06
6.725000e-12,5.941157e-06
6.750000e-12,5.937046e-06
6.775000e-12,5.932914e-06
6.800000e-12,5.928798e-06
6.825000e-12,5.924731e-06
6.850000e-12,5.920750e-06
6.875000e-12,5.916886e-06
6.900000e-12,5.913173e-06
6.925000e-12,5.909642e-06
6.950000e-12,5.906321e-06
6.975000e-12,5.903241e-06
7.000000e-12,5.900427e-06
7.025000e-12,5.897904e-06
7.050000e-12,5.895695e-06
7.075000e-12,5.893821e-06
7.100000e-12,5.892301e-06
7.125000e-12,5.891151e-06
7.150000e-12,5.890385e-06
7.175000e-12,5.890014e-06
7.200000e-12,5.890050e-06
7.225000e-12,5.890497e-06
7.250000e-12,5.891361e-06
7.275000e-12,5.892644e-06
7.300000e-12,5.894345e-06
7.325000e-12,5.896461e-06
7.350000e-12,5.898986e-06
7.375000e-12,5.901914e-06
7.400000e-12,5.905233e-06
7.425000e-12,5.908932e-06
7.450000e-12,5.912997e-06
7.475000e-12,5.917411e-06
7.500000e-12,5.922155e-06
7.525000e-12,5.927210e-06
7.550000e-12,5.932553e-06
7.575000e-12,5.938162e-06
7.600000e-12,5.944011e-06
7.625000e-12,5.950075e-06
