time,"P(A)","P(B)","P(CLK)","P(ROUT)"
0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-14,6.301073e-04,1.065544e-03,4.847669e-04,1.398926e-05
5.000000e-14,1.287732e-03,2.147894e-03,9.878051e-04,4.654719e-05
7.500000e-14,1.990382e-03,3.252693e-03,1.520594e-03,9.916258e-05
1.000000e-13,2.756325e-03,4.385394e-03,2.095201e-03,1.723526e-04
1.250000e-13,3.603874e-03,5.551430e-03,2.723880e-03,2.663730e-04
1.500000e-13,4.550983e-03,6.756237e-03,3.418857e-03,3.814546e-04
1.750000e-13,5.615015e-03,8.005237e-03,4.192218e-03,5.178812e-04
2.000000e-13,6.812570e-03,9.303813e-03,5.055834e-03,6.760136e-04
2.250000e-13,8.159361e-03,1.065728e-02,6.021310e-03,8.562950e-04
2.500000e-13,9.670101e-03,1.207087e-02,7.099934e-03,1.059250e-03
2.750000e-13,1.135842e-02,1.354969e-02,8.302636e-03,1.285482e-03
3.000000e-13,1.323677e-02,1.509872e-02,9.639953e-03,1.535668e-03
3.250000e-13,1.531641e-02,1.672277e-02,1.112199e-02,1.810555e-03
3.500000e-13,1.760729e-02,1.842647e-02,1.275837e-02,2.110953e-03
3.750000e-13,2.011807e-02,2.021424e-02,1.455823e-02,2.437730e-03
4.000000e-13,2.285609e-02,2.209031e-02,1.653017e-02,2.791810e-03
4.250000e-13,2.582736e-02,2.405862e-02,1.868223e-02,3.174160e-03
4.500000e-13,2.903655e-02,2.612290e-02,2.102186e-02,3.585789e-03
4.750000e-13,3.248704e-02,2.828657e-02,2.355588e-02,4.027742e-03
5.000000e-13,3.618095e-02,3.055280e-02,2.629050e-02,4.501089e-03
5.250000e-13,4.011917e-02,3.292445e-02,2.923127e-02,5.006924e-03
5.500000e-13,4.430142e-02,3.540405e-02,3.238305e-02,5.546356e-03
5.750000e-13,4.872632e-02,3.799385e-02,3.575003e-02,6.120501e-03
6.000000e-13,5.339143e-02,4.069574e-02,3.933569e-02,6.730479e-03
6.250000e-13,5.829339e-02,4.351130e-02,4.314280e-02,7.377404e-03
6.500000e-13,6.342793e-02,4.644176e-02,4.717342e-02,8.062382e-03
6.750000e-13,6.878999e-02,4.948802e-02,5.142887e-02,8.786500e-03
