time,"I(BD)","I(BS)","P(VLEAK)","P(OUT)","P(BD)","P(BS)"
0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,3.160739e-12,2.006569e-11,2.122435e-04,2.122434e-04,8.705942e-12,4.072451e-11
2.000000e-14,9.138789e-12,3.701298e-11,4.252050e-04,4.252048e-04,4.837440e-11,1.836563e-10
3.000000e-14,1.692905e-11,5.199985e-11,6.394180e-04,6.394176e-04,1.542929e-10,4.955523e-10
4.000000e-14,2.572366e-11,6.601519e-11,8.554535e-04,8.554524e-04,3.716570e-10,1.042335e-09
5.000000e-14,3.504331e-11,7.972033e-11,1.073896e-03,1.073894e-03,7.522132e-10,1.888074e-09
6.000000e-14,4.466094e-11,9.351933e-11,1.295335e-03,1.295332e-03,1.351730e-09,3.095790e-09
7.000000e-14,5.450283e-11,1.076580e-10,1.520359e-03,1.520354e-03,2.228472e-09,4.728595e-09
8.000000e-14,6.457643e-11,1.222970e-10,1.749551e-03,1.749544e-03,3.442468e-09,6.850672e-09
9.000000e-14,7.492765e-11,1.375561e-10,1.983493e-03,1.983484e-03,5.055310e-09,9.528037e-09
1.000000e-13,8.561855e-11,1.535370e-10,2.222762e-03,2.222749e-03,7.130259e-09,1.282912e-08
1.100000e-13,9.671687e-11,1.703342e-10,2.467927e-03,2.467911e-03,9.732508e-09,1.682527e-08
1.200000e-13,1.082917e-10,1.880396e-10,2.719555e-03,2.719533e-03,1.292953e-08,2.159115e-08
1.300000e-13,1.204119e-10,2.067450e-10,2.978202e-03,2.978175e-03,1.679143e-08,2.720517e-08
1.400000e-13,1.331457e-10,2.265419e-10,3.244422e-03,3.244388e-03,2.139136e-08,3.374985e-08
1.500000e-13,1.465608e-10,2.475220e-10,3.518757e-03,3.518716e-03,2.680589e-08,4.131223e-08
1.600000e-13,1.607246e-10,2.697775e-10,3.801746e-03,3.801696e-03,3.311538e-08,4.998423e-08
1.700000e-13,1.757041e-10,2.934007e-10,4.093916e-03,4.093856e-03,4.040437e-08,5.986301e-08
1.800000e-13,1.915662e-10,3.184844e-10,4.395788e-03,4.395717e-03,4.876195e-08,7.105141e-08
1.900000e-13,2.083778e-10,3.451220e-10,4.707873e-03,4.707789e-03,5.828215e-08,8.365823e-08
2.000000e-13,2.262060e-10,3.734074e-10,5.030672e-03,5.030574e-03,6.906429e-08,9.779869e-08
2.100000e-13,2.451178e-10,4.034352e-10,5.364679e-03,5.364566e-03,8.121333e-08,1.135948e-07
2.200000e-13,2.651806e-10,4.353005e-10,5.710377e-03,5.710245e-03,9.484029e-08,1.311755e-07
2.300000e-13,2.864624e-10,4.690998e-10,6.068236e-03,6.068086e-03,1.100626e-07,1.506776e-07
2.400000e-13,3.090311e-10,5.049300e-10,6.438721e-03,6.438548e-03,1.270043e-07,1.722454e-07
2.500000e-13,3.329554e-10,5.428893e-10,6.822280e-03,6.822084e-03,1.457968e-07,1.960317e-07
2.600000e-13,3.583045e-10,5.830770e-10,7.219356e-03,7.219134e-03,1.665789e-07,2.221978e-07
2.700000e-13,3.851482e-10,6.255935e-10,7.630376e-03,7.630125e-03,1.894970e-07,2.509142e-07
2.800000e-13,4.135568e-10,6.705404e-10,8.055757e-03,8.055475e-03,2.147061e-07,2.823605e-07
2.900000e-13,4.436014e-10,7.180208e-10,8.495905e-03,8.495589e-03,2.423695e-07,3.167263e-07
3.000000e-13,4.753540e-10,7.681388e-10,8.951214e-03,8.950860e-03,2.726595e-07,3.542110e-07
3.100000e-13,5.088872e-10,8.210003e-10,9.422064e-03,9.421669e-03,3.057578e-07,3.950250e-07
3.200000e-13,5.442746e-10,8.767124e-10,9.908825e-03,9.908386e-03,3.418555e-07,4.393893e-07
3.300000e-13,5.815905e-10,9.353836e-10,1.041185e-02,1.041136e-02,3.811540e-07,4.875360e-07
3.400000e-13,6.209103e-10,9.971244e-10,1.093149e-02,1.093095e-02,4.238650e-07,5.397094e-07
3.500000e-13,6.623103e-10,1.062046e-09,1.146807e-02,1.146747e-02,4.702108e-07,5.961654e-07
3.600000e-13,7.058676e-10,1.130262e-09,1.202190e-02,1.202125e-02,5.204250e-07,6.571724e-07
