time,"V(BB1)","V(OUT)","V(CLK)","P(REF)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-14,2.014717e-05,2.778103e-07,1.960582e-05,1.406784e-05
5.000000e-14,1.373341e-05,5.539806e-07,1.347844e-05,4.680971e-05
7.500000e-14,1.404759e-05,8.294233e-07,1.393872e-05,9.972408e-05
1.000000e-13,1.443532e-05,1.105300e-06,1.452731e-05,1.733323e-04
1.250000e-13,1.489726e-05,1.382846e-06,1.524422e-05,2.678924e-04
1.500000e-13,1.543336e-05,1.663298e-06,1.608806e-05,3.836373e-04
1.750000e-13,1.604310e-05,1.947869e-06,1.705645e-05,5.208529e-04
2.000000e-13,1.672554e-05,2.237731e-06,1.814624e-05,6.799020e-04
2.250000e-13,1.747941e-05,2.534011e-06,1.935356e-05,8.612301e-04
2.500000e-13,1.830310e-05,2.837782e-06,2.067389e-05,1.065364e-03
2.750000e-13,1.919468e-05,3.150056e-06,2.210208e-05,1.292911e-03
3.000000e-13,2.015192e-05,3.471782e-06,2.363242e-05,1.544549e-03
3.250000e-13,2.117230e-05,3.803842e-06,2.525868e-05,1.821028e-03
3.500000e-13,2.225304e-05,4.147044e-06,2.697411e-05,2.123162e-03
3.750000e-13,2.339109e-05,4.502124e-06,2.877156e-05,2.451821e-03
4.000000e-13,2.458316e-05,4.869737e-06,3.064348e-05,2.807931e-03
4.250000e-13,2.582573e-05,5.250459e-06,3.258199e-05,3.192461e-03
4.500000e-13,2.711510e-05,5.644781e-06,3.457891e-05,3.606424e-03
4.750000e-13,2.844737e-05,6.053113e-06,3.662585e-05,4.050865e-03
5.000000e-13,2.981847e-05,6.475776e-06,3.871424e-05,4.526857e-03
5.250000e-13,3.122420e-05,6.913008e-06,4.083536e-05,5.035494e-03
5.500000e-13,3.266022e-05,7.364958e-06,4.298046e-05,5.577885e-03
5.750000e-13,3.412209e-05,7.831690e-06,4.514073e-05,6.155147e-03
6.000000e-13,3.560530e-05,8.313180e-06,4.730743e-05,6.768397e-03
6.250000e-13,3.710524e-05,8.809323e-06,4.947187e-05,7.418749e-03
6.500000e-13,3.861729e-05,9.319927e-06,5.162551e-05,8.107305e-03
6.750000e-13,4.013680e-05,9.844721e-06,5.375998e-05,8.835150e-03
7.000000e-13,4.165911e-05,1.038335e-05,5.586713e-05,9.603343e-03
7.250000e-13,4.317958e-05,1.093540e-05,5.793909e-05,1.041292e-02
7.500000e-13,4.469362e-05,1.150035e-05,5.996828e-05,1.126486e-02
7.750000e-13,4.619667e-05,1.207763e-05,6.194746e-05,1.216014e-02
8.000000e-13,4.768427e-05,1.266661e-05,6.386979e-05,1.309966e-02
8.250000e-13,4.915205e-05,1.326659e-05,6.572881e-05,1.408427e-02
8.500000e-13,5.059573e-05,1.387680e-05,6.751851e-05,1.511478e-02
8.750000e-13,5.201118e-05,1.449642e-05,6.923333e-05,1.619193e-02
9.000000e-13,5.339440e-05,1.512459e-05,7.086822e-05,1.731640e-02
9.250000e-13,5.474157e-05,1.576041e-05,7.241860e-05,1.848881e-02
9.500000e-13,5.604902e-05,1.640291e-05,7.388042e-05,1.970968e-02
9.750000e-13,5.731328e-05,1.705111e-05,7.525015e-05,2.097949e-02
1.000000e-12,5.853107e-05,1.770399e-05,7.652480e-05,2.229863e-02
1.025000e-12,5.969933e-05,1.836052e-05,7.770192e-05,2.366740e-02
1.050000e-12,6.081523e-05,1.901964e-05,7.877958e-05,2.508606e-02
1.075000e-12,6.187614e-05,1.968026e-05,7.975642e-05,2.655474e-02
1.100000e-12,6.287971e-05,2.034131e-05,8.063157e-05,2.807351e-02
1.125000e-12,6.382380e-05,2.100170e-05,8.140473e-05,2.964237e-02
1.150000e-12,6.470654e-05,2.166034e-05,8.207606e-05,3.126123e-02
1.175000e-12,6.552631e-05,2.231617e-05,8.264627e-05,3.292989e-02
1.200000e-12,6.628177e-05,2.296811e-05,8.311650e-05,3.464812e-02
1.225000e-12,6.697182e-05,2.361513e-05,8.348838e-05,3.641556e-02
1.250000e-12,6.759564e-05,2.425619e-05,8.376397e-05,3.823181e-02
1.275000e-12,6.815265e-05,2.489030e-05,8.394577e-05,4.009638e-02
1.300000e-12,6.864257e-05,2.551649e-05,8.403663e-05,4.200869e-02
1.325000e-12,6.906535e-05,2.613384e-05,8.403979e-05,4.396811e-02
1.350000e-12,6.942123e-05,2.674145e-05,8.395883e-05,4.597393e-02
1.375000e-12,6.971067e-05,2.733848e-05,8.379762e-05,4.802538e-02
1.400000e-12,6.993441e-05,2.792413e-05,8.356033e-05,5.012162e-02
1.425000e-12,7.009341e-05,2.849765e-05,8.325135e-05,5.226177e-02
1.450000e-12,7.018888e-05,2.905834e-05,8.287532e-05,5.444487e-02
1.475000e-12,7.022225e-05,2.960556e-05,8.243703e-05,5.666992e-02
1.500000e-12,7.019517e-05,3.013874e-05,8.194145e-05,5.893588e-02
1.525000e-12,7.010951e-05,3.065735e-05,8.139366e-05,6.124167e-02
1.550000e-12,6.996733e-05,3.116094e-05,8.079884e-05,6.358615e-02
1.575000e-12,6.977087e-05,3.164910e-05,8.016221e-05,6.596819e-02
1.600000e-12,6.952255e-05,3.212150e-05,7.948906e-05,6.838658e-02
1.625000e-12,6.922498e-05,3.257788e-05,7.878464e-05,7.084013e-02
1.650000e-12,6.888087e-05,3.301804e-05,7.805422e-05,7.332761e-02
1.675000e-12,6.849312e-05,3.344185e-05,7.730299e-05,7.584780e-02
1.700000e-12,6.806472e-05,3.384922e-05,7.653606e-05,7.839944e-02
1.725000e-12,6.759877e-05,3.424016e-05,7.575847e-05,8.098130e-02
1.750000e-12,6.709849e-05,3.461473e-05,7.497512e-05,8.359212e-02
1.775000e-12,6.656716e-05,3.497304e-05,7.419076e-05,8.623068e-02
1.800000e-12,6.600814e-05,3.531529e-05,7.341000e-05,8.889574e-02
1.825000e-12,6.542483e-05,3.564170e-05,7.263726e-05,9.158611e-02
1.850000e-12,6.482067e-05,3.595258e-05,7.187675e-05,9.430060e-02
1.875000e-12,6.419914e-05,3.624829e-05,7.113251e-05,9.703803e-02
1.900000e-12,6.356371e-05,3.652923e-05,7.040831e-05,9.979729e-02
1.925000e-12,6.291785e-05,3.679586e-05,6.970773e-05,1.025773e-01
1.950000e-12,6.226502e-05,3.704868e-05,6.903408e-05,1.053769e-01
1.975000e-12,6.160863e-05,3.728824e-05,6.839044e-05,1.081952e-01
2.000000e-12,6.095207e-05,3.751513e-05,6.777964e-05,1.110311e-01
2.025000e-12,6.029865e-05,3.772998e-05,6.720423e-05,1.138838e-01
