time,"V(L4|XLOADINA)","V(L4|XLOADINB)","I(R1|XSINKOUTQ)","P(4|XDUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,3.420035e-06,3.419410e-06,3.171440e-08,1.545140e-05
2.000000e-14,2.309499e-06,2.307891e-06,6.327028e-08,2.981645e-05
3.000000e-14,2.335538e-06,2.332932e-06,9.472076e-08,4.319862e-05
4.000000e-14,2.365128e-06,2.361730e-06,1.261381e-07,5.578316e-05
5.000000e-14,2.398491e-06,2.394608e-06,1.576007e-07,6.777433e-05
6.000000e-14,2.435802e-06,2.431764e-06,1.891883e-07,7.937396e-05
7.000000e-14,2.477204e-06,2.473329e-06,2.209804e-07,9.077455e-05
8.000000e-14,2.522810e-06,2.519393e-06,2.530553e-07,1.021575e-04
9.000000e-14,2.572715e-06,2.570024e-06,2.854903e-07,1.136931e-04
1.000000e-13,2.626992e-06,2.625268e-06,3.183610e-07,1.255412e-04
1.100000e-13,2.685696e-06,2.685159e-06,3.517417e-07,1.378522e-04
1.200000e-13,2.748864e-06,2.749710e-06,3.857050e-07,1.507677e-04
1.300000e-13,2.816514e-06,2.818924e-06,4.203217e-07,1.644213e-04
1.400000e-13,2.888648e-06,2.892787e-06,4.556612e-07,1.789399e-04
1.500000e-13,2.965255e-06,2.971270e-06,4.917907e-07,1.944438e-04
1.600000e-13,3.046303e-06,3.054332e-06,5.287760e-07,2.110482e-04
1.700000e-13,3.131752e-06,3.141918e-06,5.666806e-07,2.288635e-04
1.800000e-13,3.221542e-06,3.233961e-06,6.055662e-07,2.479961e-04
1.900000e-13,3.315604e-06,3.330381e-06,6.454927e-07,2.685489e-04
2.000000e-13,3.413854e-06,3.431090e-06,6.865177e-07,2.906225e-04
2.100000e-13,3.516199e-06,3.535985e-06,7.286968e-07,3.143152e-04
2.200000e-13,3.622532e-06,3.644954e-06,7.720836e-07,3.397237e-04
2.300000e-13,3.732736e-06,3.757878e-06,8.167294e-07,3.669442e-04
2.400000e-13,3.846685e-06,3.874625e-06,8.626836e-07,3.960720e-04
2.500000e-13,3.964243e-06,3.995056e-06,9.099930e-07,4.272028e-04
2.600000e-13,4.085266e-06,4.119026e-06,9.587024e-07,4.604327e-04
2.700000e-13,4.209599e-06,4.246378e-06,1.008855e-06,4.958590e-04
2.800000e-13,4.337084e-06,4.376952e-06,1.060490e-06,5.335800e-04
2.900000e-13,4.467552e-06,4.510579e-06,1.113645e-06,5.736963e-04
3.000000e-13,4.600829e-06,4.647085e-06,1.168358e-06,6.163100e-04
3.100000e-13,4.736736e-06,4.786290e-06,1.224661e-06,6.615261e-04
3.200000e-13,4.875087e-06,4.928010e-06,1.282584e-06,7.094523e-04
3.300000e-13,5.015693e-06,5.072055e-06,1.342158e-06,7.601990e-04
3.400000e-13,5.158359e-06,5.218233e-06,1.403408e-06,8.138800e-04
3.500000e-13,5.302888e-06,5.366345e-06,1.466358e-06,8.706128e-04
3.600000e-13,5.449078e-06,5.516192e-06,1.531032e-06,9.305181e-04
3.700000e-13,5.596726e-06,5.667572e-06,1.597447e-06,9.937206e-04
3.800000e-13,5.745625e-06,5.820279e-06,1.665621e-06,1.060349e-03
3.900000e-13,5.895569e-06,5.974108e-06,1.735569e-06,1.130536e-03
4.000000e-13,6.046348e-06,6.128850e-06,1.807304e-06,1.204419e-03
4.100000e-13,6.197752e-06,6.284297e-06,1.880837e-06,1.282138e-03
4.200000e-13,6.349571e-06,6.440241e-06,1.956175e-06,1.363839e-03
4.300000e-13,6.501597e-06,6.596472e-06,2.033325e-06,1.449671e-03
4.400000e-13,6.653619e-06,6.752782e-06,2.112289e-06,1.539788e-03
4.500000e-13,6.805430e-06,6.908964e-06,2.193071e-06,1.634348e-03
4.600000e-13,6.956823e-06,7.064812e-06,2.275669e-06,1.733514e-03
4.700000e-13,7.107594e-06,7.220121e-06,2.360081e-06,1.837450e-03
4.800000e-13,7.257539e-06,7.374689e-06,2.446301e-06,1.946327e-03
4.900000e-13,7.406459e-06,7.528316e-06,2.534324e-06,2.060319e-03
5.000000e-13,7.554157e-06,7.680805e-06,2.624139e-06,2.179605e-03
5.100000e-13,7.700440e-06,7.831963e-06,2.715738e-06,2.304364e-03
5.200000e-13,7.845119e-06,7.981598e-06,2.809106e-06,2.434781e-03
5.300000e-13,7.988006e-06,8.129525e-06,2.904228e-06,2.571045e-03
5.400000e-13,8.128922e-06,8.275560e-06,3.001090e-06,2.713346e-03
5.500000e-13,8.267690e-06,8.419526e-06,3.099671e-06,2.861876e-03
5.600000e-13,8.404138e-06,8.561250e-06,3.199952e-06,3.016833e-03
5.700000e-13,8.538099e-06,8.700563e-06,3.301911e-06,3.178414e-03
5.800000e-13,8.669414e-06,8.837303e-06,3.405524e-06,3.346819e-03
5.900000e-13,8.797926e-06,8.971311e-06,3.510766e-06,3.522249e-03
6.000000e-13,8.923488e-06,9.102437e-06,3.617609e-06,3.704909e-03
6.100000e-13,9.045956e-06,9.230534e-06,3.726027e-06,3.895001e-03
6.200000e-13,9.165194e-06,9.355463e-06,3.835988e-06,4.092730e-03
6.300000e-13,9.281073e-06,9.477091e-06,3.947462e-06,4.298301e-03
6.400000e-13,9.393468e-06,9.595292e-06,4.060414e-06,4.511920e-03
6.500000e-13,9.502266e-06,9.709946e-06,4.174812e-06,4.733791e-03
6.600000e-13,9.607356e-06,9.820940e-06,4.290620e-06,4.964118e-03
6.700000e-13,9.708638e-06,9.928168e-06,4.407800e-06,5.203104e-03
6.800000e-13,9.806016e-06,1.003153e-05,4.526315e-06,5.450950e-03
6.900000e-13,9.899405e-06,1.013094e-05,4.646127e-06,5.707856e-03
7.000000e-13,9.988725e-06,1.022631e-05,4.767194e-06,5.974019e-03
7.100000e-13,1.007390e-05,1.031756e-05,4.889476e-06,6.249634e-03
7.200000e-13,1.015488e-05,1.040463e-05,5.012930e-06,6.534893e-03
