time,"V(L4|XLOADINA)","V(L4|XLOADINB)","V(8000)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,3.420035e-06,3.419410e-06,6.342880e-08
2.000000e-14,2.309499e-06,2.307891e-06,1.265406e-07
3.000000e-14,2.335538e-06,2.332932e-06,1.894415e-07
4.000000e-14,2.365128e-06,2.361730e-06,2.522762e-07
5.000000e-14,2.398491e-06,2.394608e-06,3.152014e-07
6.000000e-14,2.435802e-06,2.431764e-06,3.783766e-07
7.000000e-14,2.477204e-06,2.473329e-06,4.419607e-07
8.000000e-14,2.522810e-06,2.519393e-06,5.061106e-07
9.000000e-14,2.572715e-06,2.570024e-06,5.709805e-07
1.000000e-13,2.626992e-06,2.625268e-06,6.367220e-07
1.100000e-13,2.685696e-06,2.685159e-06,7.034834e-07
1.200000e-13,2.748864e-06,2.749710e-06,7.714099e-07
1.300000e-13,2.816514e-06,2.818924e-06,8.406435e-07
1.400000e-13,2.888648e-06,2.892787e-06,9.113224e-07
1.500000e-13,2.965255e-06,2.971270e-06,9.835815e-07
1.600000e-13,3.046303e-06,3.054332e-06,1.057552e-06
1.700000e-13,3.131752e-06,3.141918e-06,1.133361e-06
1.800000e-13,3.221542e-06,3.233961e-06,1.211132e-06
1.900000e-13,3.315604e-06,3.330381e-06,1.290985e-06
2.000000e-13,3.413854e-06,3.431090e-06,1.373035e-06
2.100000e-13,3.516199e-06,3.535985e-06,1.457394e-06
2.200000e-13,3.622532e-06,3.644954e-06,1.544167e-06
2.300000e-13,3.732736e-06,3.757878e-06,1.633459e-06
2.400000e-13,3.846685e-06,3.874625e-06,1.725367e-06
2.500000e-13,3.964243e-06,3.995056e-06,1.819986e-06
2.600000e-13,4.085266e-06,4.119026e-06,1.917405e-06
2.700000e-13,4.209599e-06,4.246378e-06,2.017709e-06
2.800000e-13,4.337084e-06,4.376952e-06,2.120979e-06
2.900000e-13,4.467552e-06,4.510579e-06,2.227291e-06
3.000000e-13,4.600829e-06,4.647085e-06,2.336716e-06
3.100000e-13,4.736736e-06,4.786290e-06,2.449321e-06
3.200000e-13,4.875087e-06,4.928010e-06,2.565168e-06
3.300000e-13,5.015693e-06,5.072055e-06,2.684316e-06
3.400000e-13,5.158359e-06,5.218233e-06,2.806816e-06
3.500000e-13,5.302888e-06,5.366345e-06,2.932717e-06
3.600000e-13,5.449078e-06,5.516192e-06,3.062063e-06
3.700000e-13,5.596726e-06,5.667572e-06,3.194893e-06
3.800000e-13,5.745625e-06,5.820279e-06,3.331241e-06
3.900000e-13,5.895569e-06,5.974108e-06,3.471138e-06
4.000000e-13,6.046348e-06,6.128850e-06,3.614609e-06
4.100000e-13,6.197752e-06,6.284297e-06,3.761674e-06
4.200000e-13,6.349571e-06,6.440241e-06,3.912350e-06
4.300000e-13,6.501597e-06,6.596472e-06,4.066649e-06
4.400000e-13,6.653619e-06,6.752782e-06,4.224579e-06
4.500000e-13,6.805430e-06,6.908964e-06,4.386142e-06
4.600000e-13,6.956823e-06,7.064812e-06,4.551338e-06
4.700000e-13,7.107594e-06,7.220121e-06,4.720161e-06
4.800000e-13,7.257539e-06,7.374689e-06,4.892602e-06
4.900000e-13,7.406459e-06,7.528316e-06,5.068647e-06
5.000000e-13,7.554157e-06,7.680805e-06,5.248279e-06
5.100000e-13,7.700440e-06,7.831963e-06,5.431475e-06
5.200000e-13,7.845119e-06,7.981598e-06,5.618211e-06
5.300000e-13,7.988006e-06,8.129525e-06,5.808457e-06
5.400000e-13,8.128922e-06,8.275560e-06,6.002179e-06
5.500000e-13,8.267690e-06,8.419526e-06,6.199342e-06
5.600000e-13,8.404138e-06,8.561250e-06,6.399903e-06
5.700000e-13,8.538099e-06,8.700563e-06,6.603821e-06
5.800000e-13,8.669414e-06,8.837303e-06,6.811047e-06
5.900000e-13,8.797926e-06,8.971311e-06,7.021531e-06
6.000000e-13,8.923488e-06,9.102437e-06,7.235219e-06
6.100000e-13,9.045956e-06,9.230534e-06,7.452054e-06
6.200000e-13,9.165194e-06,9.355463e-06,7.671976e-06
6.300000e-13,9.281073e-06,9.477091e-06,7.894923e-06
6.400000e-13,9.393468e-06,9.595292e-06,8.120828e-06
6.500000e-13,9.502266e-06,9.709946e-06,8.349624e-06
6.600000e-13,9.607356e-06,9.820940e-06,8.581239e-06
6.700000e-13,9.708638e-06,9.928168e-06,8.815600e-06
6.800000e-13,9.806016e-06,1.003153e-05,9.052631e-06
6.900000e-13,9.899405e-06,1.013094e-05,9.292254e-06
7.000000e-13,9.988725e-06,1.022631e-05,9.534388e-06
7.100000e-13,1.007390e-05,1.031756e-05,9.778952e-06
7.200000e-13,1.015488e-05,1.040463e-05,1.002586e-05
7.300000e-13,1.023160e-05,1.048745e-05,1.027503e-05
7.400000e-13,1.030400e-05,1.056597e-05,1.052636e-05
7.500000e-13,1.037206e-05,1.064014e-05,1.077978e-05
7.600000e-13,1.043573e-05,1.070992e-05,1.103519e-05
7.700000e-13,1.049500e-05,1.077529e-05,1.129250e-05
7.800000e-13,1.054984e-05,1.083623e-05,1.155161e-05
7.900000e-13,1.060024e-05,1.089270e-05,1.181243e-05
8.000000e-13,1.064621e-05,1.094471e-05,1.207486e-05
8.100000e-13,1.068775e-05,1.099226e-05,1.233881e-05
8.200000e-13,1.072486e-05,1.103535e-05,1.260418e-05
8.300000e-13,1.075758e-05,1.107399e-05,1.287087e-05
8.400000e-13,1.078592e-05,1.110821e-05,1.313878e-05
8.500000e-13,1.080992e-05,1.113803e-05,1.340781e-05
8.600000e-13,1.082962e-05,1.116350e-05,1.367787e-05
8.700000e-13,1.084508e-05,1.118464e-05,1.394884e-05
8.800000e-13,1.085633e-05,1.120152e-05,1.422064e-05
8.900000e-13,1.086346e-05,1.121418e-05,1.449316e-05
9.000000e-13,1.086651e-05,1.122269e-05,1.476629e-05
9.100000e-13,1.086557e-05,1.122711e-05,1.503995e-05
9.200000e-13,1.086072e-05,1.122751e-05,1.531402e-05
9.300000e-13,1.085203e-05,1.122399e-05,1.558842e-05
9.400000e-13,1.083961e-05,1.121662e-05,1.586303e-05
9.500000e-13,1.082353e-05,1.120548e-05,1.613777e-05
9.600000e-13,1.080392e-05,1.119069e-05,1.641252e-05
9.700000e-13,1.078086e-05,1.117233e-05,1.668721e-05
9.800000e-13,1.075448e-05,1.115051e-05,1.696172e-05
9.900000e-13,1.072488e-05,1.112535e-05,1.723596e-05
1.000000e-12,1.069218e-05,1.109695e-05,1.750984e-05
1.010000e-12,1.065650e-05,1.106543e-05,1.778326e-05
1.020000e-12,1.061798e-05,1.103091e-05,1.805613e-05
1.030000e-12,1.057673e-05,1.099352e-05,1.832835e-05
1.040000e-12,1.053289e-05,1.095339e-05,1.859985e-05
1.050000e-12,1.048659e-05,1.091064e-05,1.887052e-05
1.060000e-12,1.043796e-05,1.086541e-05,1.914028e-05
1.070000e-12,1.038716e-05,1.081783e-05,1.940904e-05
1.080000e-12,1.033431e-05,1.076804e-05,1.967673e-05
1.090000e-12,1.027956e-05,1.071618e-05,1.994324e-05
1.100000e-12,1.022305e-05,1.066239e-05,2.020851e-05
1.110000e-12,1.016492e-05,1.060681e-05,2.047246e-05
1.120000e-12,1.010533e-05,1.054959e-05,2.073500e-05
1.130000e-12,1.004440e-05,1.049086e-05,2.099605e-05
1.140000e-12,9.982298e-06,1.043077e-05,2.125555e-05
1.150000e-12,9.919155e-06,1.036946e-05,2.151343e-05
1.160000e-12,9.855118e-06,1.030709e-05,2.176960e-05
1.170000e-12,9.790332e-06,1.024378e-05,2.202401e-05
1.180000e-12,9.724938e-06,1.017968e-05,2.227658e-05
1.190000e-12,9.659079e-06,1.011494e-05,2.252725e-05
1.200000e-12,9.592893e-06,1.004969e-05,2.277596e-05
1.210000e-12,9.526518e-06,9.984065e-06,2.302266e-05
1.220000e-12,9.460091e-06,9.918212e-06,2.326727e-05
1.230000e-12,9.393745e-06,9.852261e-06,2.350974e-05
