time,"P(B5)"
0.000000e+00,0.000000e+00
1.000000e-14,2.801469e-08
2.000000e-14,1.288740e-07
3.000000e-14,3.536471e-07
4.000000e-14,7.539559e-07
5.000000e-14,1.379518e-06
6.000000e-14,2.277310e-06
7.000000e-14,3.491451e-06
8.000000e-14,5.063383e-06
9.000000e-14,7.032167e-06
1.000000e-13,9.434815e-06
1.100000e-13,1.230663e-05
1.200000e-13,1.568154e-05
1.300000e-13,1.959244e-05
1.400000e-13,2.407150e-05
1.500000e-13,2.915046e-05
1.600000e-13,3.486098e-05
1.700000e-13,4.123487e-05
1.800000e-13,4.830441e-05
1.900000e-13,5.610261e-05
2.000000e-13,6.466346e-05
2.100000e-13,7.402221e-05
2.200000e-13,8.421556e-05
2.300000e-13,9.528195e-05
2.400000e-13,1.072617e-04
2.500000e-13,1.201974e-04
2.600000e-13,1.341338e-04
2.700000e-13,1.491183e-04
2.800000e-13,1.652010e-04
2.900000e-13,1.824349e-04
3.000000e-13,2.008759e-04
3.100000e-13,2.205834e-04
3.200000e-13,2.416196e-04
3.300000e-13,2.640508e-04
3.400000e-13,2.879464e-04
3.500000e-13,3.133795e-04
3.600000e-13,3.404273e-04
3.700000e-13,3.691705e-04
3.800000e-13,3.996940e-04
3.900000e-13,4.320864e-04
4.000000e-13,4.664405e-04
4.100000e-13,5.028532e-04
4.200000e-13,5.414254e-04
4.300000e-13,5.822624e-04
4.400000e-13,6.254731e-04
4.500000e-13,6.711711e-04
4.600000e-13,7.194737e-04
4.700000e-13,7.705025e-04
4.800000e-13,8.243831e-04
4.900000e-13,8.812451e-04
5.000000e-13,9.412219e-04
5.100000e-13,1.004451e-03
5.200000e-13,1.071074e-03
5.300000e-13,1.141235e-03
5.400000e-13,1.215083e-03
5.500000e-13,1.292770e-03
5.600000e-13,1.374451e-03
5.700000e-13,1.460286e-03
5.800000e-13,1.550436e-03
5.900000e-13,1.645065e-03
6.000000e-13,1.744342e-03
6.100000e-13,1.848437e-03
6.200000e-13,1.957523e-03
6.300000e-13,2.071775e-03
6.400000e-13,2.191370e-03
6.500000e-13,2.316488e-03
6.600000e-13,2.447310e-03
6.700000e-13,2.584018e-03
6.800000e-13,2.726797e-03
6.900000e-13,2.875831e-03
7.000000e-13,3.031308e-03
7.100000e-13,3.193413e-03
7.200000e-13,3.362335e-03
7.300000e-13,3.538259e-03
7.400000e-13,3.721376e-03
7.500000e-13,3.911870e-03
7.600000e-13,4.109930e-03
7.700000e-13,4.315742e-03
7.800000e-13,4.529490e-03
7.900000e-13,4.751359e-03
8.000000e-13,4.981530e-03
8.100000e-13,5.220186e-03
8.200000e-13,5.467503e-03
8.300000e-13,5.723660e-03
8.400000e-13,5.988829e-03
8.500000e-13,6.263183e-03
8.600000e-13,6.546889e-03
8.700000e-13,6.840112e-03
8.800000e-13,7.143014e-03
8.900000e-13,7.455753e-03
9.000000e-13,7.778481e-03
9.100000e-13,8.111350e-03
9.200000e-13,8.454502e-03
9.300000e-13,8.808080e-03
9.400000e-13,9.172217e-03
9.500000e-13,9.547044e-03
9.600000e-13,9.932686e-03
9.700000e-13,1.032926e-02
9.800000e-13,1.073688e-02
9.900000e-13,1.115566e-02
1.000000e-12,1.158569e-02
1.010000e-12,1.202707e-02
1.020000e-12,1.247988e-02
1.030000e-12,1.294422e-02
1.040000e-12,1.342014e-02
1.050000e-12,1.390772e-02
1.060000e-12,1.440702e-02
1.070000e-12,1.491809e-02
1.080000e-12,1.544096e-02
1.090000e-12,1.597569e-02
1.100000e-12,1.652230e-02
1.110000e-12,1.708080e-02
1.120000e-12,1.765121e-02
1.130000e-12,1.823353e-02
1.140000e-12,1.882777e-02
1.150000e-12,1.943390e-02
1.160000e-12,2.005190e-02
1.170000e-12,2.068175e-02
1.180000e-12,2.132340e-02
1.190000e-12,2.197681e-02
1.200000e-12,2.264192e-02
1.210000e-12,2.331867e-02
1.220000e-12,2.400698e-02
1.230000e-12,2.470677e-02
1.240000e-12,2.541795e-02
1.250000e-12,2.614042e-02
1.260000e-12,2.687407e-02
1.270000e-12,2.761878e-02
1.280000e-12,2.837443e-02
1.290000e-12,2.914089e-02
1.300000e-12,2.991800e-02
1.310000e-12,3.070562e-02
1.320000e-12,3.150358e-02
1.330000e-12,3.231173e-02
1.340000e-12,3.312988e-02
1.350000e-12,3.395785e-02
1.360000e-12,3.479544e-02
1.370000e-12,3.564246e-02
1.380000e-12,3.649870e-02
1.390000e-12,3.736394e-02
1.400000e-12,3.823796e-02
1.410000e-12,3.912053e-02
1.420000e-12,4.001142e-02
1.430000e-12,4.091037e-02
1.440000e-12,4.181715e-02
1.450000e-12,4.273149e-02
1.460000e-12,4.365313e-02
1.470000e-12,4.458181e-02
1.480000e-12,4.551724e-02
1.490000e-12,4.645915e-02
1.500000e-12,4.740726e-02
1.510000e-12,4.836127e-02
1.520000e-12,4.932089e-02
1.530000e-12,5.028582e-02
1.540000e-12,5.125575e-02
1.550000e-12,5.223039e-02
1.560000e-12,5.320941e-02
1.570000e-12,5.419251e-02
1.580000e-12,5.517937e-02
1.590000e-12,5.616966e-02
1.600000e-12,5.716306e-02
1.610000e-12,5.815925e-02
1.620000e-12,5.915791e-02
1.630000e-12,6.015870e-02
1.640000e-12,6.116129e-02
1.650000e-12,6.216535e-02
1.660000e-12,6.317055e-02
1.670000e-12,6.417656e-02
1.680000e-12,6.518305e-02
1.690000e-12,6.618969e-02
1.700000e-12,6.719613e-02
1.710000e-12,6.820206e-02
1.720000e-12,6.920714e-02
1.730000e-12,7.021105e-02
1.740000e-12,7.121346e-02
1.750000e-12,7.221404e-02
