time,"V(L1|XLOADINA)","V(L1|XLOADINB)","V(ROUT)","P(B5|XDUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,-4.657416e-07,-4.657518e-07,4.859353e-08,6.440317e-08
2.000000e-14,-3.049801e-07,-3.050100e-07,9.682594e-08,2.993863e-07
3.000000e-14,-3.007724e-07,-3.008283e-07,1.447232e-07,8.306398e-07
4.000000e-14,-2.964916e-07,-2.965776e-07,1.923403e-07,1.791079e-06
5.000000e-14,-2.921264e-07,-2.922450e-07,2.397419e-07,3.315189e-06
6.000000e-14,-2.876665e-07,-2.878192e-07,2.869955e-07,5.536680e-06
7.000000e-14,-2.831019e-07,-2.832900e-07,3.341690e-07,8.587630e-06
8.000000e-14,-2.784234e-07,-2.786480e-07,3.813304e-07,1.259823e-05
9.000000e-14,-2.736224e-07,-2.738844e-07,4.285465e-07,1.769676e-05
1.000000e-13,-2.686906e-07,-2.689910e-07,4.758838e-07,2.400970e-05
1.100000e-13,-2.636202e-07,-2.639600e-07,5.234076e-07,3.166180e-05
1.200000e-13,-2.584039e-07,-2.587842e-07,5.711823e-07,4.077622e-05
1.300000e-13,-2.530348e-07,-2.534566e-07,6.192716e-07,5.147465e-05
1.400000e-13,-2.475063e-07,-2.479707e-07,6.677377e-07,6.387740e-05
1.500000e-13,-2.418123e-07,-2.423205e-07,7.166422e-07,7.810352e-05
1.600000e-13,-2.359471e-07,-2.365003e-07,7.660452e-07,9.427091e-05
1.700000e-13,-2.299054e-07,-2.305049e-07,8.160060e-07,1.124964e-04
1.800000e-13,-2.236823e-07,-2.243294e-07,8.665825e-07,1.328958e-04
1.900000e-13,-2.172731e-07,-2.179693e-07,9.178313e-07,1.555842e-04
2.000000e-13,-2.106738e-07,-2.114204e-07,9.698079e-07,1.806757e-04
2.100000e-13,-2.038805e-07,-2.046790e-07,1.022566e-06,2.082838e-04
2.200000e-13,-1.968897e-07,-1.977417e-07,1.076160e-06,2.385214e-04
2.300000e-13,-1.896982e-07,-1.906054e-07,1.130639e-06,2.715006e-04
2.400000e-13,-1.823033e-07,-1.832674e-07,1.186055e-06,3.073333e-04
2.500000e-13,-1.747026e-07,-1.757253e-07,1.242456e-06,3.461309e-04
2.600000e-13,-1.668939e-07,-1.679771e-07,1.299889e-06,3.880042e-04
2.700000e-13,-1.588753e-07,-1.600211e-07,1.358400e-06,4.330641e-04
2.800000e-13,-1.506456e-07,-1.518558e-07,1.418034e-06,4.814210e-04
2.900000e-13,-1.422033e-07,-1.434801e-07,1.478832e-06,5.331851e-04
3.000000e-13,-1.335478e-07,-1.348932e-07,1.540836e-06,5.884665e-04
3.100000e-13,-1.246783e-07,-1.260947e-07,1.604085e-06,6.473753e-04
3.200000e-13,-1.155947e-07,-1.170842e-07,1.668619e-06,7.100215e-04
3.300000e-13,-1.062969e-07,-1.078620e-07,1.734472e-06,7.765150e-04
3.400000e-13,-9.678512e-08,-9.842828e-08,1.801680e-06,8.469658e-04
3.500000e-13,-8.706002e-08,-8.878373e-08,1.870276e-06,9.214841e-04
3.600000e-13,-7.712237e-08,-7.892922e-08,1.940292e-06,1.000180e-03
3.700000e-13,-6.697324e-08,-6.886589e-08,2.011758e-06,1.083164e-03
3.800000e-13,-5.661396e-08,-5.859515e-08,2.084701e-06,1.170546e-03
3.900000e-13,-4.604609e-08,-4.811863e-08,2.159149e-06,1.262437e-03
4.000000e-13,-3.527144e-08,-3.743821e-08,2.235125e-06,1.358948e-03
4.100000e-13,-2.429206e-08,-2.655601e-08,2.312654e-06,1.460191e-03
4.200000e-13,-1.311021e-08,-1.547437e-08,2.391757e-06,1.566275e-03
4.300000e-13,-1.728383e-09,-4.195843e-09,2.472454e-06,1.677313e-03
4.400000e-13,9.850717e-09,7.276793e-09,2.554763e-06,1.793417e-03
4.500000e-13,2.162418e-08,1.894056e-08,2.638700e-06,1.914698e-03
4.600000e-13,3.358890e-08,3.079227e-08,2.724280e-06,2.041268e-03
4.700000e-13,4.574156e-08,4.282856e-08,2.811516e-06,2.173241e-03
4.800000e-13,5.807867e-08,5.504587e-08,2.900419e-06,2.310729e-03
4.900000e-13,7.059655e-08,6.744044e-08,2.991000e-06,2.453844e-03
5.000000e-13,8.329136e-08,8.000836e-08,3.083266e-06,2.602700e-03
5.100000e-13,9.615907e-08,9.274556e-08,3.177224e-06,2.757410e-03
5.200000e-13,1.091955e-07,1.056478e-07,3.272878e-06,2.918088e-03
5.300000e-13,1.223963e-07,1.187106e-07,3.370231e-06,3.084846e-03
5.400000e-13,1.357570e-07,1.319295e-07,3.469286e-06,3.257799e-03
5.500000e-13,1.492730e-07,1.452998e-07,3.570041e-06,3.437059e-03
5.600000e-13,1.629395e-07,1.588166e-07,3.672495e-06,3.622742e-03
5.700000e-13,1.767515e-07,1.724749e-07,3.776644e-06,3.814959e-03
5.800000e-13,1.907041e-07,1.862698e-07,3.882484e-06,4.013826e-03
5.900000e-13,2.047922e-07,2.001960e-07,3.990008e-06,4.219454e-03
6.000000e-13,2.190104e-07,2.142482e-07,4.099209e-06,4.431958e-03
6.100000e-13,2.333535e-07,2.284209e-07,4.210075e-06,4.651450e-03
6.200000e-13,2.478159e-07,2.427087e-07,4.322598e-06,4.878044e-03
6.300000e-13,2.623921e-07,2.571060e-07,4.436763e-06,5.111850e-03
6.400000e-13,2.770764e-07,2.716070e-07,4.552558e-06,5.352982e-03
6.500000e-13,2.918632e-07,2.862059e-07,4.669966e-06,5.601550e-03
6.600000e-13,3.067466e-07,3.008970e-07,4.788971e-06,5.857666e-03
6.700000e-13,3.217208e-07,3.156744e-07,4.909554e-06,6.121439e-03
6.800000e-13,3.367799e-07,3.305319e-07,5.031697e-06,6.392979e-03
6.900000e-13,3.519178e-07,3.454636e-07,5.155378e-06,6.672394e-03
7.000000e-13,3.671285e-07,3.604635e-07,5.280575e-06,6.959793e-03
7.100000e-13,3.824059e-07,3.755253e-07,5.407265e-06,7.255281e-03
7.200000e-13,3.977438e-07,3.906430e-07,5.535424e-06,7.558965e-03
7.300000e-13,4.131363e-07,4.058102e-07,5.665024e-06,7.870950e-03
7.400000e-13,4.285769e-07,4.210207e-07,5.796040e-06,8.191337e-03
7.500000e-13,4.440595e-07,4.362684e-07,5.928443e-06,8.520229e-03
7.600000e-13,4.595779e-07,4.515469e-07,6.062203e-06,8.857727e-03
7.700000e-13,4.751257e-07,4.668499e-07,6.197291e-06,9.203930e-03
7.800000e-13,4.906968e-07,4.821711e-07,6.333675e-06,9.558933e-03
7.900000e-13,5.062848e-07,4.975043e-07,6.471323e-06,9.922834e-03
8.000000e-13,5.218836e-07,5.128430e-07,6.610201e-06,1.029572e-02
8.100000e-13,5.374867e-07,5.281811e-07,6.750274e-06,1.067770e-02
8.200000e-13,5.530880e-07,5.435123e-07,6.891508e-06,1.106884e-02
8.300000e-13,5.686812e-07,5.588302e-07,7.033867e-06,1.146924e-02
8.400000e-13,5.842601e-07,5.741286e-07,7.177313e-06,1.187899e-02
8.500000e-13,5.998186e-07,5.894014e-07,7.321809e-06,1.229816e-02
8.600000e-13,6.153503e-07,6.046423e-07,7.467316e-06,1.272684e-02
8.700000e-13,6.308492e-07,6.198451e-07,7.613794e-06,1.316510e-02
8.800000e-13,6.463092e-07,6.350039e-07,7.761205e-06,1.361302e-02
