time,"V(A)","I(ROUT)","P(A)","P(OUT)"
0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,-0.000000e+00
1.000000e-14,1.050473e-05,2.674333e-11,2.127932e-04,2.122650e-04
2.000000e-14,7.038638e-06,5.352052e-11,4.263053e-04,4.252480e-04
3.000000e-14,7.088798e-06,8.050017e-11,6.410730e-04,6.394825e-04
4.000000e-14,7.158506e-06,1.078758e-10,8.576714e-04,8.555394e-04
5.000000e-14,7.247841e-06,1.358496e-10,1.076690e-03,1.074004e-03
6.000000e-14,7.356757e-06,1.646270e-10,1.298721e-03,1.295465e-03
7.000000e-14,7.485150e-06,1.944141e-10,1.524357e-03,1.520510e-03
8.000000e-14,7.632889e-06,2.254173e-10,1.754188e-03,1.749725e-03
9.000000e-14,7.799822e-06,2.578434e-10,1.988798e-03,1.983691e-03
1.000000e-13,7.985778e-06,2.918996e-10,2.228769e-03,2.222984e-03
1.100000e-13,8.190572e-06,3.277940e-10,2.474675e-03,2.468174e-03
1.200000e-13,8.414002e-06,3.657354e-10,2.727085e-03,2.719827e-03
1.300000e-13,8.655851e-06,4.059342e-10,2.986562e-03,2.978501e-03
1.400000e-13,8.915888e-06,4.486024e-10,3.253663e-03,3.244748e-03
1.500000e-13,9.193869e-06,4.939536e-10,3.528936e-03,3.519112e-03
1.600000e-13,9.489535e-06,5.422038e-10,3.812922e-03,3.802130e-03
1.700000e-13,9.802617e-06,5.935713e-10,4.106155e-03,4.094331e-03
1.800000e-13,1.013283e-05,6.482772e-10,4.409159e-03,4.396234e-03
1.900000e-13,1.047988e-05,7.065452e-10,4.722450e-03,4.708352e-03
2.000000e-13,1.084346e-05,7.686026e-10,5.046535e-03,5.031187e-03
2.100000e-13,1.122325e-05,8.346799e-10,5.381912e-03,5.365230e-03
2.200000e-13,1.161892e-05,9.050111e-10,5.729067e-03,5.710965e-03
2.300000e-13,1.203014e-05,9.798344e-10,6.088479e-03,6.068864e-03
2.400000e-13,1.245656e-05,1.059392e-09,6.460614e-03,6.439388e-03
2.500000e-13,1.289782e-05,1.143930e-09,6.845929e-03,6.822990e-03
2.600000e-13,1.335356e-05,1.233699e-09,7.244869e-03,7.220109e-03
2.700000e-13,1.382340e-05,1.328955e-09,7.657868e-03,7.631175e-03
2.800000e-13,1.430696e-05,1.429958e-09,8.085349e-03,8.056603e-03
2.900000e-13,1.480386e-05,1.536974e-09,8.527723e-03,8.496800e-03
3.000000e-13,1.531369e-05,1.650273e-09,8.985389e-03,8.952159e-03
3.100000e-13,1.583607e-05,1.770130e-09,9.458734e-03,9.423061e-03
3.200000e-13,1.637058e-05,1.896828e-09,9.948133e-03,9.909875e-03
3.300000e-13,1.691680e-05,2.030653e-09,1.045395e-02,1.041296e-02
3.400000e-13,1.747433e-05,2.171897e-09,1.097653e-02,1.093265e-02
3.500000e-13,1.804274e-05,2.320859e-09,1.151621e-02,1.146929e-02
3.600000e-13,1.862160e-05,2.477842e-09,1.207332e-02,1.202318e-02
3.700000e-13,1.921048e-05,2.643156e-09,1.264817e-02,1.259464e-02
3.800000e-13,1.980896e-05,2.817119e-09,1.324105e-02,1.318396e-02
3.900000e-13,2.041659e-05,3.000050e-09,1.385226e-02,1.379141e-02
4.000000e-13,2.103293e-05,3.192280e-09,1.448206e-02,1.441725e-02
4.100000e-13,2.165755e-05,3.394141e-09,1.513070e-02,1.506174e-02
4.200000e-13,2.229000e-05,3.605974e-09,1.579845e-02,1.572512e-02
4.300000e-13,2.292985e-05,3.828126e-09,1.648551e-02,1.640761e-02
4.400000e-13,2.357663e-05,4.060949e-09,1.719213e-02,1.710942e-02
4.500000e-13,2.422992e-05,4.304802e-09,1.791849e-02,1.783074e-02
4.600000e-13,2.488926e-05,4.560050e-09,1.866479e-02,1.857176e-02
4.700000e-13,2.555421e-05,4.827062e-09,1.943120e-02,1.933265e-02
4.800000e-13,2.622432e-05,5.106217e-09,2.021790e-02,2.011356e-02
4.900000e-13,2.689915e-05,5.397897e-09,2.102502e-02,2.091464e-02
5.000000e-13,2.757826e-05,5.702490e-09,2.185271e-02,2.173601e-02
5.100000e-13,2.826121e-05,6.020391e-09,2.270110e-02,2.257778e-02
5.200000e-13,2.894756e-05,6.351998e-09,2.357028e-02,2.344007e-02
5.300000e-13,2.963686e-05,6.697718e-09,2.446035e-02,2.432295e-02
5.400000e-13,3.032869e-05,7.057962e-09,2.537141e-02,2.522649e-02
5.500000e-13,3.102261e-05,7.433144e-09,2.630352e-02,2.615077e-02
5.600000e-13,3.171819e-05,7.823687e-09,2.725674e-02,2.709583e-02
5.700000e-13,3.241502e-05,8.230015e-09,2.823110e-02,2.806170e-02
5.800000e-13,3.311266e-05,8.652560e-09,2.922665e-02,2.904840e-02
5.900000e-13,3.381070e-05,9.091756e-09,3.024340e-02,3.005594e-02
6.000000e-13,3.450873e-05,9.548044e-09,3.128136e-02,3.108433e-02
6.100000e-13,3.520633e-05,1.002187e-08,3.234051e-02,3.213353e-02
6.200000e-13,3.590310e-05,1.051367e-08,3.342085e-02,3.320353e-02
6.300000e-13,3.659865e-05,1.102391e-08,3.452234e-02,3.429427e-02
6.400000e-13,3.729257e-05,1.155304e-08,3.564493e-02,3.540572e-02
6.500000e-13,3.798448e-05,1.210151e-08,3.678858e-02,3.653779e-02
6.600000e-13,3.867399e-05,1.266978e-08,3.795321e-02,3.769042e-02
6.700000e-13,3.936074e-05,1.325833e-08,3.913874e-02,3.886351e-02
6.800000e-13,4.004433e-05,1.386761e-08,4.034510e-02,4.005697e-02
6.900000e-13,4.072442e-05,1.449810e-08,4.157217e-02,4.127067e-02
7.000000e-13,4.140064e-05,1.515025e-08,4.281984e-02,4.250451e-02
7.100000e-13,4.207264e-05,1.582455e-08,4.408799e-02,4.375833e-02
7.200000e-13,4.274008e-05,1.652146e-08,4.537649e-02,4.503201e-02
7.300000e-13,4.340260e-05,1.724146e-08,4.668519e-02,4.632538e-02
7.400000e-13,4.405990e-05,1.798502e-08,4.801394e-02,4.763828e-02
7.500000e-13,4.471163e-05,1.875261e-08,4.936258e-02,4.897053e-02
7.600000e-13,4.535748e-05,1.954470e-08,5.073092e-02,5.032195e-02
7.700000e-13,4.599715e-05,2.036177e-08,5.211880e-02,5.169234e-02
7.800000e-13,4.663033e-05,2.120429e-08,5.352601e-02,5.308150e-02
7.900000e-13,4.725673e-05,2.207272e-08,5.495236e-02,5.448922e-02
8.000000e-13,4.787606e-05,2.296753e-08,5.639762e-02,5.591527e-02
8.100000e-13,4.848805e-05,2.388919e-08,5.786160e-02,5.735943e-02
8.200000e-13,4.909242e-05,2.483816e-08,5.934405e-02,5.882145e-02
8.300000e-13,4.968892e-05,2.581490e-08,6.084474e-02,6.030108e-02
8.400000e-13,5.027728e-05,2.681986e-08,6.236344e-02,6.179808e-02
8.500000e-13,5.085728e-05,2.785350e-08,6.389988e-02,6.331218e-02
8.600000e-13,5.142866e-05,2.891626e-08,6.545381e-02,6.484311e-02
8.700000e-13,5.199120e-05,3.000858e-08,6.702497e-02,6.639060e-02
8.800000e-13,5.254469e-05,3.113090e-08,6.861308e-02,6.795436e-02
8.900000e-13,5.308891e-05,3.228366e-08,7.021787e-02,6.953410e-02
9.000000e-13,5.362365e-05,3.346727e-08,7.183905e-02,7.112952e-02
9.100000e-13,5.414873e-05,3.468216e-08,7.347632e-02,7.274033e-02
9.200000e-13,5.466397e-05,3.592873e-08,7.512941e-02,7.436621e-02
9.300000e-13,5.516918e-05,3.720739e-08,7.679799e-02,7.600686e-02
