time,"P(LIN)","P(RL)","P(BD)","P(BH)","P(2)","I(BH)"
0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00
1.000000e-14,1.746767e-04,-5.074147e-08,7.148475e-08,2.074328e-08,2.074328e-08,1.075851e-08
2.000000e-14,3.498822e-04,-2.135915e-07,3.188575e-07,1.052660e-07,1.052660e-07,2.592337e-08
3.000000e-14,5.260011e-04,-5.364219e-07,8.508113e-07,3.143894e-07,3.143894e-07,4.382515e-08
4.000000e-14,7.034394e-04,-1.048790e-06,1.769709e-06,7.209189e-07,7.209189e-07,6.311308e-08
5.000000e-14,8.826085e-04,-1.765670e-06,3.170342e-06,1.404672e-06,1.404672e-06,8.296364e-08
6.000000e-14,1.063920e-03,-2.692778e-06,5.141759e-06,2.448981e-06,2.448981e-06,1.029564e-07
7.000000e-14,1.247785e-03,-3.830823e-06,7.769377e-06,3.938554e-06,3.938554e-06,1.229148e-07
8.000000e-14,1.434609e-03,-5.178217e-06,1.113655e-05,5.958334e-06,5.958334e-06,1.427908e-07
9.000000e-14,1.624797e-03,-6.732600e-06,1.532558e-05,8.592977e-06,8.592977e-06,1.625965e-07
1.000000e-13,1.818750e-03,-8.491590e-06,2.041828e-05,1.192669e-05,1.192669e-05,1.823688e-07
1.100000e-13,2.016863e-03,-1.045313e-05,2.649639e-05,1.604326e-05,1.604326e-05,2.021533e-07
1.200000e-13,2.219529e-03,-1.261562e-05,3.364175e-05,2.102613e-05,2.102613e-05,2.219968e-07
1.300000e-13,2.427133e-03,-1.497794e-05,4.193652e-05,2.695859e-05,2.695859e-05,2.419452e-07
1.400000e-13,2.640057e-03,-1.753944e-05,5.146331e-05,3.392387e-05,3.392387e-05,2.620427e-07
1.500000e-13,2.858675e-03,-2.029996e-05,6.230533e-05,4.200536e-05,4.200536e-05,2.823315e-07
1.600000e-13,3.083356e-03,-2.325978e-05,7.454646e-05,5.128669e-05,5.128669e-05,3.028521e-07
1.700000e-13,3.314461e-03,-2.641957e-05,8.827146e-05,6.185189e-05,6.185189e-05,3.236435e-07
1.800000e-13,3.552342e-03,-2.978043e-05,1.035660e-04,7.378554e-05,7.378554e-05,3.447427e-07
1.900000e-13,3.797347e-03,-3.334382e-05,1.205167e-04,8.717289e-05,8.717289e-05,3.661854e-07
2.000000e-13,4.049812e-03,-3.711158e-05,1.392115e-04,1.020999e-04,1.020999e-04,3.880055e-07
2.100000e-13,4.310067e-03,-4.108585e-05,1.597395e-04,1.186536e-04,1.186536e-04,4.102354e-07
2.200000e-13,4.578431e-03,-4.526913e-05,1.821909e-04,1.369218e-04,1.369218e-04,4.329057e-07
2.300000e-13,4.855214e-03,-4.966419e-05,2.066576e-04,1.569934e-04,1.569934e-04,4.560454e-07
2.400000e-13,5.140718e-03,-5.427407e-05,2.332328e-04,1.789587e-04,1.789587e-04,4.796821e-07
