time,"I(LD)","I(BD)","I(BS)","I(ROUT)"
0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00
1.000000e-14,2.388965e-11,3.450205e-13,2.318825e-11,2.388965e-11
2.000000e-14,4.781037e-11,1.126655e-12,4.550464e-11,4.781037e-11
3.000000e-14,7.191344e-11,2.353422e-12,6.706221e-11,7.191344e-11
4.000000e-14,9.637252e-11,4.009084e-12,8.804524e-11,9.637252e-11
5.000000e-14,1.213693e-10,6.072490e-12,1.086561e-10,1.213693e-10
6.000000e-14,1.470882e-10,8.524153e-12,1.290969e-10,1.470882e-10
7.000000e-14,1.737144e-10,1.134829e-11,1.495640e-10,1.737144e-10
8.000000e-14,2.014336e-10,1.453329e-11,1.702458e-10,2.014336e-10
9.000000e-14,2.304319e-10,1.807168e-11,1.913233e-10,2.304319e-10
1.000000e-13,2.608959e-10,2.195989e-11,2.129701e-10,2.608959e-10
1.100000e-13,2.930128e-10,2.619807e-11,2.353530e-10,2.930128e-10
1.200000e-13,3.269710e-10,3.078972e-11,2.586329e-10,3.269710e-10
1.300000e-13,3.629602e-10,3.574158e-11,2.829649e-10,3.629602e-10
1.400000e-13,4.011715e-10,4.106331e-11,3.084993e-10,4.011715e-10
1.500000e-13,4.417980e-10,4.676733e-11,3.353819e-10,4.417980e-10
1.600000e-13,4.850347e-10,5.286858e-11,3.637547e-10,4.850347e-10
1.700000e-13,5.310788e-10,5.938442e-11,3.937561e-10,5.310788e-10
1.800000e-13,5.801303e-10,6.633441e-11,4.255215e-10,5.801303e-10
1.900000e-13,6.323918e-10,7.374014e-11,4.591840e-10,6.323918e-10
2.000000e-13,6.880689e-10,8.162518e-11,4.948740e-10,6.880689e-10
2.100000e-13,7.473704e-10,9.001487e-11,5.327206e-10,7.473704e-10
2.200000e-13,8.105086e-10,9.893625e-11,5.728513e-10,8.105086e-10
2.300000e-13,8.776995e-10,1.084179e-10,6.153922e-10,8.776995e-10
2.400000e-13,9.491628e-10,1.184900e-10,6.604689e-10,9.491628e-10
2.500000e-13,1.025122e-09,1.291841e-10,7.082063e-10,1.025122e-09
2.600000e-13,1.105806e-09,1.405330e-10,7.587291e-10,1.105806e-09
2.700000e-13,1.191446e-09,1.525707e-10,8.121619e-10,1.191446e-09
2.800000e-13,1.282280e-09,1.653327e-10,8.686293e-10,1.282280e-09
2.900000e-13,1.378549e-09,1.788553e-10,9.282567e-10,1.378549e-09
3.000000e-13,1.480500e-09,1.931760e-10,9.911697e-10,1.480500e-09
3.100000e-13,1.588384e-09,2.083334e-10,1.057495e-09,1.588384e-09
3.200000e-13,1.702458e-09,2.243672e-10,1.127359e-09,1.702458e-09
3.300000e-13,1.822984e-09,2.413176e-10,1.200891e-09,1.822984e-09
3.400000e-13,1.950229e-09,2.592263e-10,1.278221e-09,1.950229e-09
3.500000e-13,2.084466e-09,2.781355e-10,1.359478e-09,2.084466e-09
3.600000e-13,2.225973e-09,2.980884e-10,1.444796e-09,2.225973e-09
3.700000e-13,2.375034e-09,3.191290e-10,1.534308e-09,2.375034e-09
3.800000e-13,2.531939e-09,3.413021e-10,1.628149e-09,2.531939e-09
3.900000e-13,2.696983e-09,3.646533e-10,1.726455e-09,2.696983e-09
4.000000e-13,2.870467e-09,3.892291e-10,1.829365e-09,2.870467e-09
4.100000e-13,3.052698e-09,4.150765e-10,1.937018e-09,3.052698e-09
4.200000e-13,3.243990e-09,4.422433e-10,2.049557e-09,3.243990e-09
4.300000e-13,3.444661e-09,4.707783e-10,2.167124e-09,3.444661e-09
4.400000e-13,3.655036e-09,5.007305e-10,2.289865e-09,3.655036e-09
4.500000e-13,3.875445e-09,5.321499e-10,2.417925e-09,3.875445e-09
4.600000e-13,4.106225e-09,5.650872e-10,2.551453e-09,4.106225e-09
4.700000e-13,4.347718e-09,5.995935e-10,2.690600e-09,4.347718e-09
4.800000e-13,4.600272e-09,6.357206e-10,2.835515e-09,4.600272e-09
4.900000e-13,4.864241e-09,6.735211e-10,2.986353e-09,4.864241e-09
5.000000e-13,5.139985e-09,7.130478e-10,3.143267e-09,5.139985e-09
5.100000e-13,5.427869e-09,7.543545e-10,3.306414e-09,5.427869e-09
5.200000e-13,5.728264e-09,7.974952e-10,3.475951e-09,5.728264e-09
5.300000e-13,6.041545e-09,8.425245e-10,3.652036e-09,6.041545e-09
5.400000e-13,6.368094e-09,8.894976e-10,3.834830e-09,6.368094e-09
5.500000e-13,6.708299e-09,9.384701e-10,4.024492e-09,6.708299e-09
5.600000e-13,7.062551e-09,9.894980e-10,4.221186e-09,7.062551e-09
5.700000e-13,7.431246e-09,1.042638e-09,4.425073e-09,7.431246e-09
5.800000e-13,7.814787e-09,1.097946e-09,4.636319e-09,7.814787e-09
5.900000e-13,8.213579e-09,1.155480e-09,4.855086e-09,8.213579e-09
6.000000e-13,8.628034e-09,1.215298e-09,5.081541e-09,8.628034e-09
6.100000e-13,9.058567e-09,1.277457e-09,5.315850e-09,9.058567e-09
6.200000e-13,9.505596e-09,1.342015e-09,5.558177e-09,9.505596e-09
6.300000e-13,9.969546e-09,1.409031e-09,5.808690e-09,9.969546e-09
6.400000e-13,1.045084e-08,1.478563e-09,6.067555e-09,1.045084e-08
6.500000e-13,1.094992e-08,1.550669e-09,6.334939e-09,1.094992e-08
6.600000e-13,1.146720e-08,1.625409e-09,6.611008e-09,1.146720e-08
6.700000e-13,1.200313e-08,1.702841e-09,6.895927e-09,1.200313e-08
6.800000e-13,1.255815e-08,1.783024e-09,7.189864e-09,1.255815e-08
6.900000e-13,1.313270e-08,1.866016e-09,7.492983e-09,1.313270e-08
7.000000e-13,1.372721e-08,1.951876e-09,7.805448e-09,1.372721e-08
7.100000e-13,1.434215e-08,2.040664e-09,8.127424e-09,1.434215e-08
7.200000e-13,1.497796e-08,2.132436e-09,8.459073e-09,1.497796e-08
7.300000e-13,1.563508e-08,2.227251e-09,8.800556e-09,1.563508e-08
7.400000e-13,1.631396e-08,2.325168e-09,9.152034e-09,1.631396e-08
7.500000e-13,1.701506e-08,2.426243e-09,9.513666e-09,1.701506e-08
7.600000e-13,1.773883e-08,2.530534e-09,9.885609e-09,1.773883e-08
7.700000e-13,1.848572e-08,2.638096e-09,1.026802e-08,1.848572e-08
7.800000e-13,1.925618e-08,2.748987e-09,1.066105e-08,1.925618e-08
7.900000e-13,2.005066e-08,2.863262e-09,1.106485e-08,2.005066e-08
8.000000e-13,2.086960e-08,2.980976e-09,1.147957e-08,2.086960e-08
8.100000e-13,2.171347e-08,3.102183e-09,1.190536e-08,2.171347e-08
8.200000e-13,2.258271e-08,3.226936e-09,1.234236e-08,2.258271e-08
8.300000e-13,2.347775e-08,3.355288e-09,1.279071e-08,2.347775e-08
8.400000e-13,2.439905e-08,3.487291e-09,1.325056e-08,2.439905e-08
8.500000e-13,2.534703e-08,3.622996e-09,1.372203e-08,2.534703e-08
8.600000e-13,2.632215e-08,3.762452e-09,1.420527e-08,2.632215e-08
8.700000e-13,2.732482e-08,3.905708e-09,1.470039e-08,2.732482e-08
8.800000e-13,2.835549e-08,4.052812e-09,1.520753e-08,2.835549e-08
8.900000e-13,2.941457e-08,4.203810e-09,1.572681e-08,2.941457e-08
9.000000e-13,3.050248e-08,4.358747e-09,1.625834e-08,3.050248e-08
9.100000e-13,3.161963e-08,4.517667e-09,1.680224e-08,3.161963e-08
9.200000e-13,3.276645e-08,4.680612e-09,1.735862e-08,3.276645e-08
9.300000e-13,3.394332e-08,4.847623e-09,1.792759e-08,3.394332e-08
9.400000e-13,3.515064e-08,5.018740e-09,1.850924e-08,3.515064e-08
9.500000e-13,3.638881e-08,5.194000e-09,1.910368e-08,3.638881e-08
9.600000e-13,3.765820e-08,5.373439e-09,1.971099e-08,3.765820e-08
9.700000e-13,3.895919e-08,5.557092e-09,2.033127e-08,3.895919e-08
9.800000e-13,4.029215e-08,5.744990e-09,2.096460e-08,4.029215e-08
9.900000e-13,4.165743e-08,5.937165e-09,2.161104e-08,4.165743e-08
1.000000e-12,4.305537e-08,6.133644e-09,2.227069e-08,4.305537e-08
1.010000e-12,4.448633e-08,6.334456e-09,2.294360e-08,4.448633e-08
1.020000e-12,4.595063e-08,6.539624e-09,2.362983e-08,4.595063e-08
1.030000e-12,4.744858e-08,6.749171e-09,2.432944e-08,4.744858e-08
1.040000e-12,4.898049e-08,6.963117e-09,2.504248e-08,4.898049e-08
1.050000e-12,5.054667e-08,7.181481e-09,2.576900e-08,5.054667e-08
1.060000e-12,5.214739e-08,7.404277e-09,2.650903e-08,5.214739e-08
1.070000e-12,5.378293e-08,7.631520e-09,2.726260e-08,5.378293e-08
1.080000e-12,5.545355e-08,7.863220e-09,2.802975e-08,5.545355e-08
1.090000e-12,5.715949e-08,8.099386e-09,2.881049e-08,5.715949e-08
1.100000e-12,5.890100e-08,8.340024e-09,2.960483e-08,5.890100e-08
1.110000e-12,6.067829e-08,8.585137e-09,3.041279e-08,6.067829e-08
1.120000e-12,6.249156e-08,8.834727e-09,3.123437e-08,6.249156e-08
1.130000e-12,6.434101e-08,9.088790e-09,3.206955e-08,6.434101e-08
1.140000e-12,6.622682e-08,9.347323e-09,3.291833e-08,6.622682e-08
1.150000e-12,6.814915e-08,9.610319e-09,3.378069e-08,6.814915e-08
1.160000e-12,7.010815e-08,9.877766e-09,3.465661e-08,7.010815e-08
1.170000e-12,7.210394e-08,1.014965e-08,3.554604e-08,7.210394e-08
1.180000e-12,7.413663e-08,1.042596e-08,3.644896e-08,7.413663e-08
1.190000e-12,7.620634e-08,1.070668e-08,3.736532e-08,7.620634e-08
1.200000e-12,7.831313e-08,1.099178e-08,3.829507e-08,7.831313e-08
1.210000e-12,8.045707e-08,1.128123e-08,3.923814e-08,8.045707e-08
1.220000e-12,8.263820e-08,1.157502e-08,4.019447e-08,8.263820e-08
1.230000e-12,8.485656e-08,1.187311e-08,4.116399e-08,8.485656e-08
1.240000e-12,8.711214e-08,1.217546e-08,4.214661e-08,8.711214e-08
1.250000e-12,8.940494e-08,1.248204e-08,4.314226e-08,8.940494e-08
1.260000e-12,9.173494e-08,1.279281e-08,4.415083e-08,9.173494e-08
1.270000e-12,9.410207e-08,1.310773e-08,4.517223e-08,9.410207e-08
1.280000e-12,9.650628e-08,1.342675e-08,4.620635e-08,9.650628e-08
1.290000e-12,9.894747e-08,1.374982e-08,4.725308e-08,9.894747e-08
1.300000e-12,1.014255e-07,1.407689e-08,4.831229e-08,1.014255e-07
1.310000e-12,1.039404e-07,1.440791e-08,4.938385e-08,1.039404e-07
1.320000e-12,1.064918e-07,1.474281e-08,5.046764e-08,1.064918e-07
1.330000e-12,1.090797e-07,1.508153e-08,5.156351e-08,1.090797e-07
1.340000e-12,1.117038e-07,1.542401e-08,5.267131e-08,1.117038e-07
1.350000e-12,1.143639e-07,1.577019e-08,5.379090e-08,1.143639e-07
1.360000e-12,1.170599e-07,1.611998e-08,5.492210e-08,1.170599e-07
1.370000e-12,1.197913e-07,1.647332e-08,5.606475e-08,1.197913e-07
1.380000e-12,1.225581e-07,1.683013e-08,5.721868e-08,1.225581e-07
1.390000e-12,1.253599e-07,1.719033e-08,5.838371e-08,1.253599e-07
1.400000e-12,1.281963e-07,1.755384e-08,5.955965e-08,1.281963e-07
1.410000e-12,1.310670e-07,1.792057e-08,6.074631e-08,1.310670e-07
1.420000e-12,1.339717e-07,1.829043e-08,6.194350e-08,1.339717e-07
1.430000e-12,1.369100e-07,1.866332e-08,6.315101e-08,1.369100e-07
1.440000e-12,1.398814e-07,1.903917e-08,6.436863e-08,1.398814e-07
1.450000e-12,1.428856e-07,1.941786e-08,6.559615e-08,1.428856e-07
1.460000e-12,1.459221e-07,1.979930e-08,6.683334e-08,1.459221e-07
1.470000e-12,1.489905e-07,2.018338e-08,6.807999e-08,1.489905e-07
1.480000e-12,1.520901e-07,2.057001e-08,6.933586e-08,1.520901e-07
1.490000e-12,1.552206e-07,2.095906e-08,7.060072e-08,1.552206e-07
1.500000e-12,1.583814e-07,2.135043e-08,7.187432e-08,1.583814e-07
1.510000e-12,1.615720e-07,2.174401e-08,7.315643e-08,1.615720e-07
1.520000e-12,1.647917e-07,2.213968e-08,7.444679e-08,1.647917e-07
1.530000e-12,1.680399e-07,2.253733e-08,7.574516e-08,1.680399e-07
1.540000e-12,1.713161e-07,2.293682e-08,7.705127e-08,1.713161e-07
1.550000e-12,1.746196e-07,2.333805e-08,7.836486e-08,1.746196e-07
1.560000e-12,1.779497e-07,2.374088e-08,7.968567e-08,1.779497e-07
