time,"I(LD)","I(RD)","I(BS)","I(RS)","P(VLEAK)","P(OUT)","V(OUT)","I(RCON)"
0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,-0.000000e+00
1.000000e-14,2.556881e-11,3.260690e-12,2.178619e-11,5.184102e-13,2.122572e-04,2.122572e-04,1.047827e-05,2.556881e-11
2.000000e-14,5.117105e-11,9.415506e-12,4.009521e-11,1.644499e-12,4.252325e-04,4.252324e-04,7.020956e-06,5.117105e-11
3.000000e-14,7.696897e-11,1.741197e-11,5.616063e-11,3.353863e-12,6.394595e-04,6.394589e-04,7.070917e-06,7.696897e-11
4.000000e-14,1.031489e-10,2.640304e-11,7.104752e-11,5.609418e-12,8.555090e-04,8.555079e-04,7.140288e-06,1.031489e-10
5.000000e-14,1.299059e-10,3.588488e-11,8.547400e-11,8.386805e-12,1.073966e-03,1.073964e-03,7.229146e-06,1.299059e-10
6.000000e-14,1.574379e-10,4.561819e-11,9.988214e-11,1.167629e-11,1.295420e-03,1.295417e-03,7.337444e-06,1.574379e-10
7.000000e-14,1.859437e-10,5.552535e-11,1.145423e-10,1.547930e-11,1.520459e-03,1.520454e-03,7.465079e-06,1.859437e-10
8.000000e-14,2.156225e-10,6.561480e-11,1.296313e-10,1.980502e-11,1.749667e-03,1.749660e-03,7.611921e-06,2.156225e-10
9.000000e-14,2.466742e-10,7.593595e-11,1.452799e-10,2.466821e-11,1.983626e-03,1.983617e-03,7.777816e-06,2.466742e-10
1.000000e-13,2.792986e-10,8.655539e-11,1.615979e-10,3.008788e-11,2.222913e-03,2.222900e-03,7.962593e-06,2.792986e-10
1.100000e-13,3.136970e-10,9.754568e-11,1.786860e-10,3.608673e-11,2.468097e-03,2.468080e-03,8.166067e-06,3.136970e-10
1.200000e-13,3.500713e-10,1.089805e-10,1.966413e-10,4.269077e-11,2.719744e-03,2.719722e-03,8.388033e-06,3.500713e-10
1.300000e-13,3.886249e-10,1.209332e-10,2.155596e-10,4.992923e-11,2.978412e-03,2.978385e-03,8.628275e-06,3.886249e-10
1.400000e-13,4.295629e-10,1.334758e-10,2.355358e-10,5.783445e-11,3.244654e-03,3.244620e-03,8.886560e-06,4.295629e-10
1.500000e-13,4.730922e-10,1.466797e-10,2.566645e-10,6.644182e-11,3.519013e-03,3.518972e-03,9.162642e-06,4.730922e-10
1.600000e-13,5.194222e-10,1.606153e-10,2.790398e-10,7.578981e-11,3.802027e-03,3.801977e-03,9.456261e-06,5.194222e-10
1.700000e-13,5.687643e-10,1.753526e-10,3.027557e-10,8.591985e-11,4.094224e-03,4.094164e-03,9.767144e-06,5.687643e-10
1.800000e-13,6.213330e-10,1.909610e-10,3.279058e-10,9.687636e-11,4.396124e-03,4.396053e-03,1.009501e-05,6.213330e-10
1.900000e-13,6.773456e-10,2.075099e-10,3.545841e-10,1.087067e-10,4.708240e-03,4.708156e-03,1.043955e-05,6.773456e-10
2.000000e-13,7.370228e-10,2.250683e-10,3.828840e-10,1.214612e-10,5.031072e-03,5.030974e-03,1.080046e-05,7.370228e-10
2.100000e-13,8.005886e-10,2.437054e-10,4.128997e-10,1.351930e-10,5.365113e-03,5.365000e-03,1.117743e-05,8.005886e-10
2.200000e-13,8.682707e-10,2.634903e-10,4.447253e-10,1.499583e-10,5.710847e-03,5.710717e-03,1.157011e-05,8.682707e-10
2.300000e-13,9.403009e-10,2.844925e-10,4.784555e-10,1.658159e-10,6.068746e-03,6.068596e-03,1.197818e-05,9.403009e-10
2.400000e-13,1.016915e-09,3.067818e-10,5.141853e-10,1.828277e-10,6.439272e-03,6.439101e-03,1.240127e-05,1.016915e-09
2.500000e-13,1.098353e-09,3.304283e-10,5.520105e-10,2.010583e-10,6.822876e-03,6.822681e-03,1.283904e-05,1.098353e-09
2.600000e-13,1.184860e-09,3.555026e-10,5.920275e-10,2.205753e-10,7.219999e-03,7.219778e-03,1.329110e-05,1.184860e-09
2.700000e-13,1.276685e-09,3.820761e-10,6.343336e-10,2.414490e-10,7.631068e-03,7.630820e-03,1.375709e-05,1.276685e-09
2.800000e-13,1.374083e-09,4.102207e-10,6.790267e-10,2.637526e-10,8.056502e-03,8.056223e-03,1.423661e-05,1.374083e-09
2.900000e-13,1.477313e-09,4.400089e-10,7.262060e-10,2.875621e-10,8.496707e-03,8.496394e-03,1.472929e-05,1.477313e-09
3.000000e-13,1.586640e-09,4.715144e-10,7.759714e-10,3.129564e-10,8.952075e-03,8.951726e-03,1.523471e-05,1.586640e-09
3.100000e-13,1.702334e-09,5.048115e-10,8.284241e-10,3.400171e-10,9.422988e-03,9.422599e-03,1.575247e-05,1.702334e-09
3.200000e-13,1.824671e-09,5.399754e-10,8.836663e-10,3.688287e-10,9.909815e-03,9.909383e-03,1.628216e-05,1.824671e-09
3.300000e-13,1.953931e-09,5.770827e-10,9.418013e-10,3.994786e-10,1.041291e-02,1.041243e-02,1.682337e-05,1.953931e-09
3.400000e-13,2.090403e-09,6.162105e-10,1.002934e-09,4.320570e-10,1.093262e-02,1.093209e-02,1.737566e-05,2.090403e-09
3.500000e-13,2.234379e-09,6.574376e-10,1.067170e-09,4.666568e-10,1.146928e-02,1.146870e-02,1.793863e-05,2.234379e-09
3.600000e-13,2.386158e-09,7.008435e-10,1.134617e-09,5.033740e-10,1.202320e-02,1.202255e-02,1.851183e-05,2.386158e-09
3.700000e-13,2.546046e-09,7.465092e-10,1.205383e-09,5.423073e-10,1.259468e-02,1.259398e-02,1.909483e-05,2.546046e-09
3.800000e-13,2.714353e-09,7.945167e-10,1.279578e-09,5.835582e-10,1.318403e-02,1.318325e-02,1.968719e-05,2.714353e-09
3.900000e-13,2.891398e-09,8.449494e-10,1.357314e-09,6.272312e-10,1.379151e-02,1.379066e-02,2.028847e-05,2.891398e-09
4.000000e-13,3.077503e-09,8.978919e-10,1.438703e-09,6.734334e-10,1.441739e-02,1.441646e-02,2.089824e-05,3.077503e-09
4.100000e-13,3.272999e-09,9.534303e-10,1.523858e-09,7.222751e-10,1.506192e-02,1.506091e-02,2.151603e-05,3.272999e-09
4.200000e-13,3.478222e-09,1.011652e-09,1.612897e-09,7.738692e-10,1.572535e-02,1.572424e-02,2.214141e-05,3.478222e-09
4.300000e-13,3.693515e-09,1.072645e-09,1.705934e-09,8.283315e-10,1.640788e-02,1.640668e-02,2.277392e-05,3.693515e-09
4.400000e-13,3.919228e-09,1.136500e-09,1.803088e-09,8.857806e-10,1.710974e-02,1.710844e-02,2.341313e-05,3.919228e-09
4.500000e-13,4.155715e-09,1.203309e-09,1.904479e-09,9.463381e-10,1.783113e-02,1.782971e-02,2.405857e-05,4.155715e-09
4.600000e-13,4.403339e-09,1.273163e-09,2.010228e-09,1.010128e-09,1.857221e-02,1.857068e-02,2.470979e-05,4.403339e-09
4.700000e-13,4.662468e-09,1.346157e-09,2.120456e-09,1.077278e-09,1.933317e-02,1.933151e-02,2.536636e-05,4.662468e-09
4.800000e-13,4.933476e-09,1.422387e-09,2.235286e-09,1.147918e-09,2.011416e-02,2.011236e-02,2.602781e-05,4.933476e-09
