time,"P(R1|XSINKOUTQ)"
0.000000e+00,0.000000e+00
1.000000e-14,1.289890e-06
2.000000e-14,4.293248e-06
3.000000e-14,9.147064e-06
4.000000e-14,1.589576e-05
5.000000e-14,2.455612e-05
6.000000e-14,3.513897e-05
7.000000e-14,4.765640e-05
8.000000e-14,6.212417e-05
9.000000e-14,7.856238e-05
1.000000e-13,9.699572e-05
1.100000e-13,1.174534e-04
1.200000e-13,1.399693e-04
1.300000e-13,1.645813e-04
1.400000e-13,1.913322e-04
1.500000e-13,2.202684e-04
1.600000e-13,2.514409e-04
1.700000e-13,2.849044e-04
1.800000e-13,3.207174e-04
1.900000e-13,3.589425e-04
2.000000e-13,3.996455e-04
2.100000e-13,4.428962e-04
2.200000e-13,4.887673e-04
2.300000e-13,5.373350e-04
2.400000e-13,5.886786e-04
2.500000e-13,6.428804e-04
2.600000e-13,7.000256e-04
2.700000e-13,7.602020e-04
2.800000e-13,8.235000e-04
2.900000e-13,8.900126e-04
3.000000e-13,9.598350e-04
3.100000e-13,1.033065e-03
3.200000e-13,1.109801e-03
3.300000e-13,1.190145e-03
3.400000e-13,1.274200e-03
3.500000e-13,1.362071e-03
3.600000e-13,1.453864e-03
3.700000e-13,1.549686e-03
3.800000e-13,1.649647e-03
3.900000e-13,1.753856e-03
4.000000e-13,1.862423e-03
4.100000e-13,1.975461e-03
4.200000e-13,2.093082e-03
4.300000e-13,2.215397e-03
4.400000e-13,2.342522e-03
4.500000e-13,2.474567e-03
4.600000e-13,2.611649e-03
4.700000e-13,2.753878e-03
4.800000e-13,2.901370e-03
4.900000e-13,3.054238e-03
5.000000e-13,3.212593e-03
5.100000e-13,3.376548e-03
5.200000e-13,3.546216e-03
5.300000e-13,3.721706e-03
5.400000e-13,3.903130e-03
5.500000e-13,4.090595e-03
5.600000e-13,4.284210e-03
5.700000e-13,4.484083e-03
5.800000e-13,4.690318e-03
5.900000e-13,4.903021e-03
6.000000e-13,5.122293e-03
6.100000e-13,5.348235e-03
6.200000e-13,5.580949e-03
6.300000e-13,5.820531e-03
6.400000e-13,6.067077e-03
6.500000e-13,6.320681e-03
6.600000e-13,6.581436e-03
6.700000e-13,6.849431e-03
6.800000e-13,7.124754e-03
6.900000e-13,7.407491e-03
7.000000e-13,7.697725e-03
7.100000e-13,7.995537e-03
7.200000e-13,8.301005e-03
7.300000e-13,8.614206e-03
7.400000e-13,8.935214e-03
7.500000e-13,9.264098e-03
7.600000e-13,9.600928e-03
7.700000e-13,9.945769e-03
7.800000e-13,1.029868e-02
7.900000e-13,1.065973e-02
8.000000e-13,1.102897e-02
8.100000e-13,1.140646e-02
8.200000e-13,1.179224e-02
8.300000e-13,1.218637e-02
8.400000e-13,1.258890e-02
8.500000e-13,1.299986e-02
8.600000e-13,1.341929e-02
8.700000e-13,1.384724e-02
8.800000e-13,1.428373e-02
8.900000e-13,1.472881e-02
9.000000e-13,1.518249e-02
9.100000e-13,1.564480e-02
9.200000e-13,1.611576e-02
9.300000e-13,1.659540e-02
9.400000e-13,1.708373e-02
9.500000e-13,1.758076e-02
9.600000e-13,1.808651e-02
9.700000e-13,1.860098e-02
9.800000e-13,1.912417e-02
9.900000e-13,1.965610e-02
1.000000e-12,2.019675e-02
1.010000e-12,2.074612e-02
1.020000e-12,2.130421e-02
1.030000e-12,2.187101e-02
1.040000e-12,2.244650e-02
1.050000e-12,2.303068e-02
1.060000e-12,2.362352e-02
1.070000e-12,2.422500e-02
1.080000e-12,2.483510e-02
1.090000e-12,2.545380e-02
1.100000e-12,2.608106e-02
1.110000e-12,2.671687e-02
1.120000e-12,2.736118e-02
1.130000e-12,2.801396e-02
1.140000e-12,2.867517e-02
1.150000e-12,2.934477e-02
1.160000e-12,3.002273e-02
1.170000e-12,3.070900e-02
1.180000e-12,3.140353e-02
1.190000e-12,3.210628e-02
1.200000e-12,3.281719e-02
1.210000e-12,3.353621e-02
1.220000e-12,3.426329e-02
1.230000e-12,3.499838e-02
1.240000e-12,3.574142e-02
1.250000e-12,3.649234e-02
1.260000e-12,3.725109e-02
1.270000e-12,3.801761e-02
1.280000e-12,3.879184e-02
1.290000e-12,3.957370e-02
1.300000e-12,4.036313e-02
1.310000e-12,4.116007e-02
1.320000e-12,4.196444e-02
1.330000e-12,4.277618e-02
1.340000e-12,4.359522e-02
1.350000e-12,4.442148e-02
1.360000e-12,4.525489e-02
1.370000e-12,4.609538e-02
1.380000e-12,4.694287e-02
1.390000e-12,4.779728e-02
1.400000e-12,4.865855e-02
1.410000e-12,4.952659e-02
1.420000e-12,5.040133e-02
1.430000e-12,5.128269e-02
1.440000e-12,5.217059e-02
1.450000e-12,5.306496e-02
1.460000e-12,5.396570e-02
1.470000e-12,5.487275e-02
1.480000e-12,5.578603e-02
1.490000e-12,5.670545e-02
1.500000e-12,5.763093e-02
1.510000e-12,5.856240e-02
1.520000e-12,5.949978e-02
1.530000e-12,6.044298e-02
1.540000e-12,6.139193e-02
1.550000e-12,6.234654e-02
1.560000e-12,6.330674e-02
1.570000e-12,6.427245e-02
1.580000e-12,6.524359e-02
1.590000e-12,6.622008e-02
1.600000e-12,6.720185e-02
1.610000e-12,6.818881e-02
1.620000e-12,6.918089e-02
1.630000e-12,7.017801e-02
1.640000e-12,7.118010e-02
1.650000e-12,7.218708e-02
1.660000e-12,7.319888e-02
1.670000e-12,7.421542e-02
1.680000e-12,7.523663e-02
1.690000e-12,7.626243e-02
