time,"V(A)","I(L4|XLOADINA)","I(RL|XSTORAGE)","V(Q)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,8.624454e-06,5.747632e-09,6.012060e-09,3.006030e-09
2.000000e-14,5.779645e-06,1.151035e-08,1.876516e-08,9.382579e-09
3.000000e-14,5.821900e-06,1.730006e-08,3.740436e-08,1.870218e-08
4.000000e-14,5.880411e-06,2.312997e-08,6.078007e-08,3.039003e-08
5.000000e-14,5.955146e-06,2.901409e-08,8.785710e-08,4.392855e-08
6.000000e-14,6.045991e-06,3.496685e-08,1.178115e-07,5.890577e-08
7.000000e-14,6.152804e-06,4.100297e-08,1.500245e-07,7.501223e-08
8.000000e-14,6.275435e-06,4.713728e-08,1.840474e-07,9.202369e-08
9.000000e-14,6.413729e-06,5.338468e-08,2.195656e-07,1.097828e-07
1.000000e-13,6.567524e-06,5.976004e-08,2.563663e-07,1.281831e-07
1.100000e-13,6.736653e-06,6.627816e-08,2.943135e-07,1.471567e-07
1.200000e-13,6.920940e-06,7.295372e-08,3.333282e-07,1.666641e-07
1.300000e-13,7.120200e-06,7.980124e-08,3.733742e-07,1.866871e-07
1.400000e-13,7.334239e-06,8.683510e-08,4.144462e-07,2.072231e-07
1.500000e-13,7.562855e-06,9.406943e-08,4.565620e-07,2.282810e-07
1.600000e-13,7.805835e-06,1.015182e-07,4.997561e-07,2.498781e-07
1.700000e-13,8.062954e-06,1.091950e-07,5.440749e-07,2.720375e-07
1.800000e-13,8.333983e-06,1.171135e-07,5.895732e-07,2.947866e-07
1.900000e-13,8.618677e-06,1.252866e-07,6.363114e-07,3.181557e-07
2.000000e-13,8.916786e-06,1.337274e-07,6.843541e-07,3.421770e-07
2.100000e-13,9.228050e-06,1.424484e-07,7.337677e-07,3.668838e-07
2.200000e-13,9.552199e-06,1.514620e-07,7.846200e-07,3.923100e-07
2.300000e-13,9.888958e-06,1.607802e-07,8.369789e-07,4.184895e-07
2.400000e-13,1.023804e-05,1.704147e-07,8.909122e-07,4.454561e-07
2.500000e-13,1.059915e-05,1.803768e-07,9.464863e-07,4.732432e-07
2.600000e-13,1.097199e-05,1.906775e-07,1.003767e-06,5.018834e-07
2.700000e-13,1.135626e-05,2.013277e-07,1.062818e-06,5.314088e-07
2.800000e-13,1.175163e-05,2.123376e-07,1.123700e-06,5.618502e-07
2.900000e-13,1.215780e-05,2.237173e-07,1.186475e-06,5.932377e-07
3.000000e-13,1.257442e-05,2.354764e-07,1.251200e-06,6.256002e-07
3.100000e-13,1.300118e-05,2.476242e-07,1.317931e-06,6.589655e-07
3.200000e-13,1.343774e-05,2.601698e-07,1.386720e-06,6.933602e-07
3.300000e-13,1.388375e-05,2.731216e-07,1.457620e-06,7.288098e-07
3.400000e-13,1.433887e-05,2.864878e-07,1.530677e-06,7.653384e-07
3.500000e-13,1.480275e-05,3.002765e-07,1.605938e-06,8.029688e-07
3.600000e-13,1.527504e-05,3.144949e-07,1.683446e-06,8.417228e-07
3.700000e-13,1.575538e-05,3.291502e-07,1.763241e-06,8.816205e-07
3.800000e-13,1.624342e-05,3.442491e-07,1.845362e-06,9.226810e-07
3.900000e-13,1.673878e-05,3.597980e-07,1.929844e-06,9.649220e-07
4.000000e-13,1.724112e-05,3.758028e-07,2.016719e-06,1.008360e-06
4.100000e-13,1.775006e-05,3.922691e-07,2.106018e-06,1.053009e-06
4.200000e-13,1.826523e-05,4.092021e-07,2.197768e-06,1.098884e-06
4.300000e-13,1.878627e-05,4.266066e-07,2.291993e-06,1.145996e-06
4.400000e-13,1.931281e-05,4.444871e-07,2.388715e-06,1.194358e-06
4.500000e-13,1.984449e-05,4.628476e-07,2.487954e-06,1.243977e-06
4.600000e-13,2.038092e-05,4.816918e-07,2.589725e-06,1.294863e-06
4.700000e-13,2.092174e-05,5.010230e-07,2.694044e-06,1.347022e-06
4.800000e-13,2.146658e-05,5.208442e-07,2.800920e-06,1.400460e-06
4.900000e-13,2.201508e-05,5.411578e-07,2.910363e-06,1.455182e-06
5.000000e-13,2.256687e-05,5.619661e-07,3.022379e-06,1.511189e-06
5.100000e-13,2.312157e-05,5.832710e-07,3.136970e-06,1.568485e-06
5.200000e-13,2.367883e-05,6.050738e-07,3.254138e-06,1.627069e-06
5.300000e-13,2.423829e-05,6.273756e-07,3.373881e-06,1.686941e-06
5.400000e-13,2.479957e-05,6.501772e-07,3.496195e-06,1.748097e-06
5.500000e-13,2.536234e-05,6.734789e-07,3.621072e-06,1.810536e-06
5.600000e-13,2.592622e-05,6.972808e-07,3.748503e-06,1.874252e-06
5.700000e-13,2.649087e-05,7.215825e-07,3.878477e-06,1.939239e-06
