time,"I(L1|XDUT)"
0.000000e+00,-0.000000e+00
2.500000e-14,2.722033e-08
5.000000e-14,5.460903e-08
7.500000e-14,8.214627e-08
1.000000e-13,1.098002e-07
1.250000e-13,1.375370e-07
1.500000e-13,1.653244e-07
1.750000e-13,1.931329e-07
2.000000e-13,2.209364e-07
2.250000e-13,2.487121e-07
2.500000e-13,2.764412e-07
2.750000e-13,3.041085e-07
3.000000e-13,3.317027e-07
3.250000e-13,3.592162e-07
3.500000e-13,3.866451e-07
3.750000e-13,4.139893e-07
4.000000e-13,4.412521e-07
4.250000e-13,4.684402e-07
4.500000e-13,4.955640e-07
4.750000e-13,5.226366e-07
5.000000e-13,5.496742e-07
5.250000e-13,5.766957e-07
5.500000e-13,6.037226e-07
5.750000e-13,6.307785e-07
6.000000e-13,6.578891e-07
6.250000e-13,6.850817e-07
6.500000e-13,7.123852e-07
6.750000e-13,7.398294e-07
7.000000e-13,7.674452e-07
7.250000e-13,7.952638e-07
7.500000e-13,8.233167e-07
7.750000e-13,8.516355e-07
8.000000e-13,8.802511e-07
8.250000e-13,9.091941e-07
8.500000e-13,9.384938e-07
8.750000e-13,9.681784e-07
9.000000e-13,9.982748e-07
9.250000e-13,1.028808e-06
9.500000e-13,1.059801e-06
9.750000e-13,1.091274e-06
1.000000e-12,1.123246e-06
1.025000e-12,1.155732e-06
1.050000e-12,1.188747e-06
1.075000e-12,1.222298e-06
1.100000e-12,1.256395e-06
1.125000e-12,1.291041e-06
1.150000e-12,1.326236e-06
1.175000e-12,1.361978e-06
1.200000e-12,1.398263e-06
1.225000e-12,1.435079e-06
1.250000e-12,1.472417e-06
1.275000e-12,1.510260e-06
1.300000e-12,1.548590e-06
1.325000e-12,1.587387e-06
1.350000e-12,1.626625e-06
1.375000e-12,1.666278e-06
1.400000e-12,1.706316e-06
1.425000e-12,1.746709e-06
1.450000e-12,1.787421e-06
1.475000e-12,1.828417e-06
1.500000e-12,1.869659e-06
1.525000e-12,1.911109e-06
1.550000e-12,1.952725e-06
1.575000e-12,1.994467e-06
1.600000e-12,2.036293e-06
1.625000e-12,2.078159e-06
1.650000e-12,2.120023e-06
1.675000e-12,2.161844e-06
1.700000e-12,2.203577e-06
1.725000e-12,2.245183e-06
1.750000e-12,2.286619e-06
1.775000e-12,2.327848e-06
1.800000e-12,2.368830e-06
1.825000e-12,2.409530e-06
1.850000e-12,2.449912e-06
1.875000e-12,2.489946e-06
1.900000e-12,2.529599e-06
1.925000e-12,2.568846e-06
1.950000e-12,2.607662e-06
1.975000e-12,2.646024e-06
2.000000e-12,2.683913e-06
2.025000e-12,2.721314e-06
2.050000e-12,2.758214e-06
2.075000e-12,2.794604e-06
2.100000e-12,2.830477e-06
2.125000e-12,2.865832e-06
2.150000e-12,2.900667e-06
