time,"I(L1|XDUT)","V(10|XDUT)","I(R1|XDUT)","P(B1|XDUT)","P(B3|XDUT)","I(LMEASURE|XDUT)","I(LMEASURE2|XDUT)","P(QQ)","P(L1|XDUT)"
0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-14,2.722033e-08,5.168276e-06,1.444076e-09,2.925250e-07,1.076984e-07,2.722033e-08,5.444067e-08,1.399844e-05,5.789695e-04
5.000000e-14,5.460903e-08,3.630341e-06,4.472665e-09,1.296057e-06,5.674476e-07,5.460903e-08,1.092181e-07,4.657738e-05,1.161520e-03
7.500000e-14,8.214627e-08,3.872708e-06,8.960062e-09,3.445598e-06,1.721633e-06,8.214627e-08,1.642925e-07,9.922568e-05,1.747230e-03
1.000000e-13,1.098002e-07,4.200154e-06,1.477692e-08,7.155457e-06,3.958357e-06,1.098002e-07,2.196004e-07,1.724594e-04,2.335422e-03
1.250000e-13,1.375370e-07,4.612074e-06,2.182133e-08,1.281240e-05,7.673003e-06,1.375370e-07,2.750741e-07,2.665321e-04,2.925378e-03
1.500000e-13,1.653244e-07,5.107086e-06,3.000552e-08,2.077624e-05,1.324711e-05,1.653244e-07,3.306489e-07,3.816721e-04,3.516409e-03
1.750000e-13,1.931329e-07,5.683290e-06,3.924533e-08,3.138074e-05,2.103904e-05,1.931329e-07,3.862659e-07,5.181598e-04,4.107888e-03
2.000000e-13,2.209364e-07,6.338371e-06,4.945672e-08,4.493397e-05,3.138072e-05,2.209364e-07,4.418727e-07,6.763519e-04,4.699260e-03
2.250000e-13,2.487121e-07,7.069645e-06,6.055575e-08,6.171843e-05,4.457692e-05,2.487121e-07,4.974241e-07,8.566868e-04,5.290042e-03
2.500000e-13,2.764412e-07,7.874094e-06,7.245942e-08,8.199128e-05,6.090549e-05,2.764412e-07,5.528823e-07,1.059684e-03,5.879833e-03
2.750000e-13,3.041085e-07,8.748393e-06,8.508648e-08,1.059848e-04,8.061786e-05,3.041085e-07,6.082170e-07,1.285940e-03,6.468310e-03
3.000000e-13,3.317027e-07,9.688935e-06,9.835792e-08,1.339069e-04,1.039397e-04,3.317027e-07,6.634054e-07,1.536125e-03,7.055232e-03
3.250000e-13,3.592162e-07,1.069185e-05,1.121974e-07,1.659420e-04,1.310715e-04,3.592162e-07,7.184324e-07,1.810979e-03,7.640437e-03
3.500000e-13,3.866451e-07,1.175305e-05,1.265313e-07,2.022516e-04,1.621898e-04,3.866451e-07,7.732903e-07,2.111302e-03,8.223843e-03
3.750000e-13,4.139893e-07,1.286822e-05,1.412893e-07,2.429757e-04,1.974474e-04,4.139893e-07,8.279786e-07,2.437955e-03,8.805446e-03
4.000000e-13,4.412521e-07,1.403287e-05,1.564043e-07,2.882330e-04,2.369749e-04,4.412521e-07,8.825041e-07,2.791848e-03,9.385318e-03
4.250000e-13,4.684402e-07,1.524236e-05,1.718128e-07,3.381227e-04,2.808817e-04,4.684402e-07,9.368805e-07,3.173940e-03,9.963604e-03
4.500000e-13,4.955640e-07,1.649191e-05,1.874549e-07,3.927252e-04,3.292567e-04,4.955640e-07,9.911280e-07,3.585227e-03,1.054052e-02
4.750000e-13,5.226366e-07,1.777663e-05,2.032744e-07,4.521031e-04,3.821697e-04,5.226366e-07,1.045273e-06,4.026738e-03,1.111635e-02
5.000000e-13,5.496742e-07,1.909156e-05,2.192189e-07,5.163027e-04,4.396725e-04,5.496742e-07,1.099348e-06,4.499532e-03,1.169143e-02
5.250000e-13,5.766957e-07,2.043170e-05,2.352402e-07,5.853549e-04,5.018003e-04,5.766957e-07,1.153391e-06,5.004686e-03,1.226617e-02
5.500000e-13,6.037226e-07,2.179199e-05,2.512939e-07,6.592767e-04,5.685725e-04,6.037226e-07,1.207445e-06,5.543291e-03,1.284103e-02
5.750000e-13,6.307785e-07,2.316739e-05,2.673394e-07,7.380719e-04,6.399944e-04,6.307785e-07,1.261557e-06,6.116447e-03,1.341650e-02
6.000000e-13,6.578891e-07,2.455287e-05,2.833403e-07,8.217330e-04,7.160581e-04,6.578891e-07,1.315778e-06,6.725252e-03,1.399313e-02
6.250000e-13,6.850817e-07,2.594346e-05,2.992640e-07,9.102416e-04,7.967440e-04,6.850817e-07,1.370163e-06,7.370803e-03,1.457151e-02
6.500000e-13,7.123852e-07,2.733423e-05,3.150818e-07,1.003570e-03,8.820217e-04,7.123852e-07,1.424770e-06,8.054180e-03,1.515225e-02
6.750000e-13,7.398294e-07,2.872036e-05,3.307688e-07,1.101683e-03,9.718515e-04,7.398294e-07,1.479659e-06,8.776449e-03,1.573598e-02
7.000000e-13,7.674452e-07,3.009713e-05,3.463036e-07,1.204538e-03,1.066186e-03,7.674452e-07,1.534890e-06,9.538650e-03,1.632336e-02
7.250000e-13,7.952638e-07,3.145996e-05,3.616685e-07,1.312086e-03,1.164969e-03,7.952638e-07,1.590528e-06,1.034179e-02,1.691506e-02
7.500000e-13,8.233167e-07,3.280441e-05,3.768489e-07,1.424273e-03,1.268141e-03,8.233167e-07,1.646633e-06,1.118685e-02,1.751174e-02
7.750000e-13,8.516355e-07,3.412619e-05,3.918338e-07,1.541042e-03,1.375635e-03,8.516355e-07,1.703271e-06,1.207476e-02,1.811407e-02
8.000000e-13,8.802511e-07,3.542123e-05,4.066149e-07,1.662333e-03,1.487382e-03,8.802511e-07,1.760502e-06,1.300641e-02,1.872272e-02
8.250000e-13,9.091941e-07,3.668562e-05,4.211869e-07,1.788082e-03,1.603309e-03,9.091941e-07,1.818388e-06,1.398263e-02,1.933833e-02
8.500000e-13,9.384938e-07,3.791567e-05,4.355469e-07,1.918227e-03,1.723342e-03,9.384938e-07,1.876988e-06,1.500421e-02,1.996152e-02
8.750000e-13,9.681784e-07,3.910793e-05,4.496946e-07,2.052703e-03,1.847404e-03,9.681784e-07,1.936357e-06,1.607186e-02,2.059291e-02
9.000000e-13,9.982748e-07,4.025915e-05,4.636318e-07,2.191446e-03,1.975420e-03,9.982748e-07,1.996550e-06,1.718624e-02,2.123305e-02
9.250000e-13,1.028808e-06,4.136636e-05,4.773623e-07,2.334392e-03,2.107314e-03,1.028808e-06,2.057616e-06,1.834794e-02,2.188248e-02
9.500000e-13,1.059801e-06,4.242681e-05,4.908914e-07,2.481480e-03,2.243010e-03,1.059801e-06,2.119601e-06,1.955748e-02,2.254169e-02
9.750000e-13,1.091274e-06,4.343801e-05,5.042260e-07,2.632650e-03,2.382436e-03,1.091274e-06,2.182548e-06,2.081531e-02,2.321112e-02
1.000000e-12,1.123246e-06,4.439776e-05,5.173742e-07,2.787844e-03,2.525519e-03,1.123246e-06,2.246492e-06,2.212179e-02,2.389115e-02
1.025000e-12,1.155732e-06,4.530408e-05,5.303451e-07,2.947007e-03,2.672190e-03,1.155732e-06,2.311465e-06,2.347721e-02,2.458213e-02
1.050000e-12,1.188747e-06,4.615530e-05,5.431482e-07,3.110086e-03,2.822383e-03,1.188747e-06,2.377493e-06,2.488180e-02,2.528434e-02
1.075000e-12,1.222298e-06,4.694998e-05,5.557940e-07,3.277032e-03,2.976035e-03,1.222298e-06,2.444597e-06,2.633567e-02,2.599798e-02
1.100000e-12,1.256395e-06,4.768698e-05,5.682928e-07,3.447800e-03,3.133085e-03,1.256395e-06,2.512790e-06,2.783887e-02,2.672320e-02
1.125000e-12,1.291041e-06,4.836542e-05,5.806552e-07,3.622345e-03,3.293475e-03,1.291041e-06,2.582081e-06,2.939139e-02,2.746011e-02
1.150000e-12,1.326236e-06,4.898466e-05,5.928915e-07,3.800628e-03,3.457153e-03,1.326236e-06,2.652472e-06,3.099310e-02,2.820870e-02
1.175000e-12,1.361978e-06,4.954435e-05,6.050116e-07,3.982612e-03,3.624067e-03,1.361978e-06,2.723957e-06,3.264381e-02,2.896893e-02
1.200000e-12,1.398263e-06,5.004437e-05,6.170248e-07,4.168264e-03,3.794170e-03,1.398263e-06,2.796525e-06,3.434324e-02,2.974069e-02
1.225000e-12,1.435079e-06,5.048486e-05,6.289398e-07,4.357551e-03,3.967419e-03,1.435079e-06,2.870159e-06,3.609104e-02,3.052377e-02
1.250000e-12,1.472417e-06,5.086620e-05,6.407643e-07,4.550446e-03,4.143770e-03,1.472417e-06,2.944834e-06,3.788677e-02,3.131793e-02
1.275000e-12,1.510260e-06,5.118899e-05,6.525047e-07,4.746922e-03,4.323186e-03,1.510260e-06,3.020520e-06,3.972993e-02,3.212285e-02
1.300000e-12,1.548590e-06,5.145407e-05,6.641666e-07,4.946953e-03,4.505630e-03,1.548590e-06,3.097181e-06,4.161994e-02,3.293812e-02
